entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://cmt_cz#c-0075317-8076564,Source,Class,konference,"The term ""konference"" appears to be a variation or misspelling of ""conference."" In the context of a conference, it refers to a formal meeting or gathering where individuals come together to discuss specific topics, share information, and collaborate. Conferences can be academic, professional, or industry-specific, and they often include presentations, workshops, and networking opportunities.","Here are the verbalized phrases based on the provided triples:

1. ""Akceptovány příspěvky konference pro tisk"" je doménou konference.
2. ""Brožury vytištěny kým"" je doménou konference.
3. ""Datum konference"" je doménou konference.
4. ""Dokončit přidělení příspěvků konference"" je rozsahem konference.
5. ""Konference má recenzí na článek"" je doménou konference.
6. ""Logo konference má URL"" je doménou konference.
7. ""Má člena konference"" je doménou konference.
8. ""Nástroj pro přídělení příspěvků spuštěn kým"" je doménou konference.
9. ""Podrobnosti vloženy kým"" je doménou konference.
10. ""Přidělení příspěvků dokončeno kým"" je doménou konference.
11. ""Spustil přidělování článků konference"" je rozsahem konference.
12. ""Tisk brožur konference"" je rozsahem konference.
13. ""Umožnit virtuální schůzku konferenci"" je rozsahem konference.
14. ""Virtuální schůzka konference umožněna kým"" je doménou konference.
15. ""Vložit kritéria recenze"" je rozsahem konference.
16. ""Vložit podrobnosti konference"" je rozsahem konference.
17. ""Vyjadření zájmu spuštěno kým"" je doménou konference.
18. ""Webová stránka konference má URL"" je doménou konference.
19. ""Zadání kritérií recenzí kým"" je doménou konference.
20. ""Zahájil vyjadřování zájmu recenzentů"" je rozsahem konference.
21. ""Člen konference"" je rozsahem konference.
22. ""Konference"" je disjunktní s ""dokument"", ""osoba"", ""preference"", ""programový výbor"", ""rozhodnutí"" a ""vyjádření zájmu"".The subgraph describes a structured representation of a domain related to conferences and their attributes. Here’s a natural language description of the elements and relationships depicted in the subgraph:

1. There is a class called ""konference"" (conference) which is defined as a subclass of two restrictions. 
2. The first restriction specifies that every instance of ""konference"" must have a property called ""datum konference"" (conference date) with a minimum cardinality of 1, meaning that each conference must have at least one date associated with it.
3. The second restriction indicates that each conference must also have a property called ""má jméno"" (has name) with a cardinality of 1, ensuring that every conference has exactly one name.
4. Additionally, there is a property ""konference má recenzí na článek"" (conference has reviews on an article) that is also subject to a restriction, indicating that it must be present for each conference.
5. The subgraph also includes a class that is defined as a union of instances, which includes a specific instance of ""konference"" and an instance of ""osoba"" (person), suggesting that there may be a relationship between conferences and individuals, possibly indicating who is associated with or attending the conference.

Overall, the subgraph outlines the requirements and relationships for defining a conference within a structured framework, emphasizing the necessity of certain properties and their cardinalities."
http://cmt_cz#c-0128535-7854643,Source,Class,autor kter nen recenzent,"In the context of a conference, ""autor který není recenzent"" translates from Czech to ""author who is not a reviewer."" This typically refers to a situation where an individual has submitted a paper or presentation for consideration but is not involved in the peer review process for other submissions. This distinction is important in academic conferences, as it helps clarify roles and responsibilities, ensuring that authors can focus on their own work while reviewers assess the submissions of others.","The phrase can be verbalized as follows:

""The class of 'authors who are not reviewers' is a subclass of 'authors' and is disjoint with both 'reviewers' and 'members of the program committee'."""
http://cmt_cz#c-0452574-2080354,Source,Class,dokument,"In the context of a conference, ""dokument"" typically refers to a document or written material that is shared or presented during the event. This could include agendas, research papers, presentations, reports, or any other formal written content that supports the discussions and activities taking place at the conference. It serves as a reference for attendees and can facilitate better understanding and engagement with the topics being addressed.","1. The term ""konference"" is disjoint with the term ""dokument,"" meaning they cannot overlap in meaning or classification.

2. The phrase ""má konflikt zájmu s příspěvkem"" has a range that is defined as ""dokument,"" indicating that it pertains to or is applicable within the context of documents.

3. The term ""recenze"" is a subclass of ""dokument,"" meaning that every instance of ""recenze"" is also considered an instance of ""dokument.""

4. The term ""článek"" is a subclass of ""dokument,"" indicating that every instance of ""článek"" is also classified as a ""dokument.""

5. The term ""dokument"" is disjoint with the terms ""osoba,"" ""preference,"" ""programový výbor,"" ""rozhodnutí,"" and ""vyjádření zájmu,"" meaning that ""dokument"" cannot overlap with any of these terms in meaning or classification."
http://cmt_cz#c-0578733-1857190,Source,Class,osoba,"In the context of a conference, ""osoba"" is a term that means ""person"" in several Slavic languages, including Polish and Croatian. It may refer to an individual attending the conference, such as a speaker, participant, or organizer. Understanding this term can be important for networking and communication during the event.","Here are the verbalized phrases based on the provided triples:

1. The class ""dokument"" is disjoint with the class ""osoba.""
2. The class ""externí recenzent"" is a subclass of the class ""osoba.""
3. The class ""konference"" is disjoint with the class ""osoba.""
4. The property ""má email"" has the domain ""osoba.""
5. The property ""má konflikt zájmu s příspěvkem"" has the domain ""osoba.""
6. The class ""osoba s účastí na konferenci"" is a subclass of the class ""osoba.""
7. The class ""předseda"" is a subclass of the class ""osoba.""
8. The class ""uživatel"" is a subclass of the class ""osoba.""
9. The class ""člen programového výboru"" is a subclass of the class ""osoba.""
10. The class ""osoba"" is disjoint with the classes ""preference,"" ""programový výbor,"" ""rozhodnutí,"" and ""vyjádření zájmu.""The subgraph describes a class that represents a collection of elements. This class is identified by a unique identifier. Within this class, there is a sequence that begins with the term ""konference"" and is followed by another element, which is ""osoba."" The sequence ends with a nil value, indicating that there are no further elements. Additionally, the term ""má jméno"" is associated with this class, suggesting that it has a name or label. The class is defined as a union of the sequence that starts with ""konference."""
http://cmt_cz#c-0754816-7898339,Source,Class,preference,"In the context of a conference, ""preference"" refers to the choices or inclinations of attendees regarding various aspects of the event. This could include preferences for specific sessions or topics they wish to attend, preferred speakers, networking opportunities, or even logistical aspects such as meal options or seating arrangements. Understanding attendee preferences can help organizers tailor the conference experience to better meet the needs and interests of participants, ultimately enhancing engagement and satisfaction.","Here are the verbalized phrases for the given triples:

1. The class ""dokument"" is disjoint with the class ""preference.""
2. The class ""konference"" is disjoint with the class ""preference.""
3. The class ""osoba"" is disjoint with the class ""preference.""
4. The class ""preference"" is disjoint with the classes ""programový výbor,"" ""rozhodnutí,"" and ""vyjádření zájmu."""
http://cmt_cz#c-0978466-4762816,Source,Class,p edm tn oblast,"In the context of a conference, ""předmětná oblast"" translates to ""subject area"" or ""topic area."" It refers to the specific field or domain of discussion that the conference is focused on, encompassing the themes, issues, or topics that will be addressed during the event.","The phrase can be verbalized as: ""The subject matter pertains to the thematic area."""
http://cmt_cz#c-1109430-9892691,Source,Class,p edseda,"In the context of a conference, ""předseda"" is a Czech term that translates to ""chairman"" or ""chairperson"" in English. It refers to the individual who presides over the conference, leading discussions, managing the agenda, and ensuring that the proceedings run smoothly.","The phrase can be verbalized as: ""The class of 'předseda' is a subclass of the class 'osoba'.""The subgraph describes a structured relationship among various entities, primarily focusing on roles and classifications within a conference setting. 

1. There are several roles identified, including ""předseda konference"" (conference chair), ""předseda programového výboru"" (chair of the program committee), ""spolupředseda"" (co-chair), and ""autor"" (author). Each of these roles is linked to a specific entity, indicating their position within the conference structure.

2. The term ""předseda"" (chair) is defined as an equivalent class to a certain type, which is classified as ""Class."" This suggests that ""předseda"" is a formal role that fits within a broader category.

3. The graph also indicates that there is a ""unionOf"" relationship, suggesting that certain roles or classes are combined or related to one another. For instance, one union includes the roles of ""předseda"" and ""spolupředseda.""

4. Additionally, there is a mention of a ""conflict of interest"" which is associated with one of the classes, indicating that this is a relevant concern within the context of the conference.

5. The relationships also include a ""rest"" property, which implies that there are additional elements or roles that follow the primary ones listed, although they are not explicitly detailed in this subgraph.

Overall, the subgraph outlines a hierarchy and classification of roles within a conference, emphasizing the importance of structure, potential conflicts of interest, and the relationships between different positions."
http://cmt_cz#c-1435667-7309116,Source,Class,dn l nek,"In the context of a conference, ""řádný článek"" translates to ""regular article"" in English. It typically refers to a formal written piece that is presented or published as part of the conference proceedings. This could include research findings, theoretical discussions, or reviews that contribute to the academic discourse within the conference's theme. Regular articles are usually peer-reviewed and are expected to meet specific standards of quality and relevance to the conference audience.","The phrase can be verbalized as: ""The class 'řádný článek' is a subclass of the class 'článek'."""
http://cmt_cz#c-1710596-1174205,Source,Class,vyj d en z jmu,"""Vyjádření zájmu"" translates to ""expression of interest"" in English. In the context of a conference, it typically refers to a formal indication from individuals or organizations that they are interested in participating, attending, or contributing to the event. This could involve submitting proposals for presentations, workshops, or other forms of engagement, signaling their intent to be involved in the conference activities.","Here are the verbalized phrases based on the provided triples:

1. ""Dokument is disjoint with vyjádření zájmu.""
2. ""Konference is disjoint with vyjádření zájmu.""
3. ""Má vyjádření zájmu has a range of vyjádření zájmu.""
4. ""Osoba is disjoint with vyjádření zájmu.""
5. ""Preference is disjoint with vyjádření zájmu.""
6. ""Upravit vyjádření zájmu has a range of vyjádření zájmu.""
7. ""Vyjádření zájmu upraveno has a domain of vyjádření zájmu.""
8. ""Vyjádření zájmu is disjoint with programový výbor.""
9. ""Vyjádření zájmu is disjoint with rozhodnutí."""
http://cmt_cz#c-2063214-6676250,Source,Class,spolup edseda,"In the context of a conference, ""spolupředseda"" is a Czech term that translates to ""co-chair"" in English. It refers to a person who shares the leadership responsibilities of a conference or meeting with another individual, helping to facilitate discussions, manage the agenda, and ensure that the event runs smoothly.","The term ""spolupředseda"" is a subclass of ""osoba s účastí na konferenci"" and is disjoint with ""předseda konference.""The subgraph describes a structure involving various roles and their relationships. It begins with a node representing a list that contains two elements: the first element is ""předseda konference"" (which translates to ""chairman of the conference""), and the second element is ""předseda programového výboru"" (meaning ""chairman of the program committee""). The list is structured such that the first element is ""předseda konference,"" and the rest of the list leads to another node that is nil, indicating the end of the list.

Additionally, there is a union of classes represented by a node that includes the role of ""spolupředseda"" (which means ""co-chair""). This union is linked to the previously mentioned list of roles, indicating that these roles are part of a broader classification.

Furthermore, the term ""předseda"" is defined as an equivalent class to the union of the roles, suggesting that it encompasses the roles of both the chairman of the conference and the chairman of the program committee, as well as the co-chair. The entire structure is categorized under a class type, indicating that these roles are part of a defined classification system."
