entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://cmt_fr#c-0218338-0979990,Source,Class,document,"In the context of a conference, a ""document"" typically refers to any written or digital material that is presented, distributed, or referenced during the event. This can include agendas, research papers, presentation slides, handouts, reports, or any other materials that provide information or support the discussions and activities taking place at the conference. Documents serve to facilitate communication, share knowledge, and provide attendees with resources to enhance their understanding of the topics being addressed.","Here are the verbalized phrases based on the provided triples:

1. The class ""Article"" is a subclass of the class ""Document.""
2. The class ""Rapport d'examen"" is a subclass of the class ""Document.""
3. The phrase ""a un conflit d'intérêt à propos de"" has a range that includes the class ""Document.""
4. The class ""Document"" is disjoint with the classes ""Comité de programme,"" ""Conférence,"" ""Décision,"" ""Personne,"" ""Proposition de relecture,"" and ""Préférence."""
http://cmt_fr#c-0480911-0003886,Source,Class,auteur,"In the context of a conference, the term ""auteur"" refers to a filmmaker or creator who has a distinct and recognizable style, vision, or thematic focus that permeates their body of work. This concept emphasizes the idea that the director or creator is the primary author of the film, shaping its narrative, visual style, and overall artistic direction. Discussions at the conference might explore how the auteur theory influences filmmaking, the role of individual creativity in collaborative environments, and the impact of an auteur's vision on audience reception and critical analysis.","Here are the verbalized phrases based on the provided RDF triples:

1. ""An author who is not a reviewer is a subclass of an author.""
2. ""A co-author is a subclass of an author.""
3. ""The property 'has an author' has a range of authors.""
4. ""The property 'submits the article' has a domain of authors.""
5. ""The property 'writes the article' has a domain of authors.""
6. ""An author is a subclass of both a conference member and a user.""The subgraph describes a relationship involving a conflict of interest. It identifies a ""Relecteur"" (Reviewer) who signals a conflict of interest related to a specific domain, which is classified as a ""Class."" This class is associated with an ""Auteur"" (Author) and is part of a union that includes this author. Additionally, the subgraph indicates that the ""Président"" (President) is also related to the conflict of interest, but there are no further details provided beyond this point, as indicated by the term ""nil."" 

In summary, the structure outlines a scenario where a reviewer has flagged a conflict of interest concerning an author, with the president also being involved in the context of this issue."
http://cmt_fr#c-0712755-6034378,Source,Class,acceptation,"In the context of a conference, ""acceptation"" refers to the formal acceptance or approval of ideas, proposals, or papers presented by participants. It signifies that the content has been recognized as valuable or relevant by the conference organizers or attendees. This can involve the acceptance of research findings, discussions, or collaborative initiatives that contribute to the overall goals of the conference.","The class ""Acceptation"" is a subclass of the class ""Décision,"" and it is disjoint with the class ""Rejet."""
http://cmt_fr#c-0743498-8291005,Source,Class,m ta relecteur,"In the context of a conference, ""Méta-relecteur"" can be understood as a term that refers to a meta-reviewer or a person who evaluates the evaluations of others. This role typically involves overseeing the review process, ensuring that the assessments of submitted works (such as papers or presentations) are fair, consistent, and of high quality. The méta-relecteur may provide additional insights or feedback on the reviews submitted by other reviewers, helping to maintain the integrity and rigor of the conference's selection process.","Here are the verbalized phrases based on the provided RDF triples:

1. ""The meta-reviewer is read by the meta-reviewer.""
2. ""The meta-reviewer is a subclass of the reviewer."""
http://cmt_fr#c-0752747-4444619,Source,Class,relecteur,"In the context of a conference, ""Relecteur"" typically refers to a reviewer or an individual responsible for evaluating submissions, such as research papers or presentations. This person assesses the quality, relevance, and originality of the work, providing feedback to the authors and helping the conference organizers determine which submissions should be accepted for presentation or publication. The role of a ""Relecteur"" is crucial in maintaining the academic standards of the conference.","Here are the verbalized phrases based on the provided triples:

1. ""Méta-relecteur"" is a subclass of ""Relecteur.""
2. ""A été associé à"" has a domain of ""Relecteur.""
3. ""Affecte le rôle de relecteur externe à"" has a domain of ""Relecteur.""
4. ""Affecte le rôle de relecteur à"" has a range of ""Relecteur.""
5. ""Ajuste la proposition de relecture"" has a domain of ""Relecteur.""
6. ""Est affecté par l'administrateur"" has a domain of ""Relecteur.""
7. ""Est affecté par le relecteur"" has a range of ""Relecteur.""
8. ""Est ajusté par"" has a range of ""Relecteur.""
9. ""Est assigné à"" has a range of ""Relecteur.""
10. ""Est lu par le relecteur"" has a range of ""Relecteur.""
11. ""Est écrit par"" has a range of ""Relecteur.""
12. ""Lit l'article"" has a domain of ""Relecteur.""
13. ""Écrit le rapport d'examen"" has a domain of ""Relecteur.""
14. ""Relecteur"" is a subclass of ""Membre de conférence"" and ""Utilisateur.""
15. ""Relecteur"" is disjoint with ""Auteur qui n'est pas relecteur"" and ""Relecteur externe.""The subgraph describes a relationship involving a conflict of interest. It identifies a ""Relecteur"" (Reviewer) who signals a conflict of interest related to a specific domain, which is classified as a ""Class."" This domain is associated with an ""Auteur"" (Author) and is part of a union that includes this author. Additionally, the subgraph indicates that the ""Président"" (President) is also involved in the context, but there are no further elements connected to this role. The structure suggests a hierarchy or relationship where the reviewer, author, and president are interconnected through the theme of conflict of interest."
http://cmt_fr#c-0917731-1974635,Source,Class,pr sident de comit de programme,"In the context of a conference, ""Président de comité de programme"" refers to the ""Chair of the Program Committee."" This individual is responsible for overseeing the development and organization of the conference program, which includes selecting topics, inviting speakers, and ensuring the quality and relevance of the presentations and sessions. The chair plays a crucial role in shaping the conference's content and ensuring that it meets the objectives and interests of the attendees.","1. The role of ""Président de comité de programme"" involves finalizing the proofreading process.
  
2. The ""Président de comité de programme"" is a subclass of ""Membre de comité de programme.""The subgraph describes a hierarchy of roles related to conference leadership. 

1. There is a class labeled ""Président,"" which is defined as equivalent to another class represented by the identifier `_:N7174a56f307044af84cf9c045e40c9b4`. This class is categorized as a ""Class.""

2. Within this class, there are specific roles that are identified:
   - The first role is ""Président de comité de programme,"" which translates to ""Chair of the Program Committee.""
   - The second role is ""Président de conférence,"" meaning ""Chair of the Conference.""

3. Additionally, there is a role identified as ""Président adjoint de conférence,"" which translates to ""Vice Chair of the Conference."" 

4. The relationships between these roles are structured such that:
   - The ""Président de conférence"" has a subsequent role represented by `_:N8ab6c56b1b9d4ce29ea2cfa730668ec3`, which is the ""Président adjoint de conférence.""
   - The ""Président de conférence"" and ""Président de comité de programme"" are both part of a union represented by `_:Na5b4dfe1f06c4781aaa4adc19951d8b8`, which serves as a collective representation of these roles.

5. The role of ""Président adjoint de conférence"" does not have any further roles associated with it, as indicated by its relationship to ""nil.""

In summary, the subgraph outlines a structured classification of conference leadership roles, highlighting the relationships and hierarchy among the positions of Chair of the Conference, Vice Chair of the Conference, and Chair of the Program Committee."
http://cmt_fr#c-1646923-7206967,Source,Class,m ta rapport d examen,"In the context of a conference, ""Méta-rapport d'examen"" refers to a comprehensive report that synthesizes and analyzes the findings from various presentations, discussions, and research presented during the event. It serves as an overarching document that highlights key themes, insights, and recommendations derived from the collective contributions of participants. This type of report is valuable for summarizing the conference's outcomes and providing a framework for future discussions or actions based on the gathered knowledge.","The phrase can be verbalized as: ""The 'Méta-rapport d'examen' is a subclass of 'Rapport d'examen'."""
http://cmt_fr#c-2724520-3587324,Source,Class,membre de conf rence,"In the context of a conference, ""Membre de conférence"" is a French term that translates to ""Conference Member"" in English. It typically refers to an individual who is a participant or a member of a conference, often involved in discussions, presentations, or workshops. This role may include sharing expertise, contributing to the agenda, or engaging with other attendees to foster collaboration and knowledge exchange.","1. The class ""Auteur"" is a subclass of the class ""Membre de conférence.""
2. The class ""Membre de comité de programme"" is a subclass of the class ""Membre de conférence.""
3. The class ""Président adjoint de conférence"" is a subclass of the class ""Membre de conférence.""
4. The class ""Président de conférence"" is a subclass of the class ""Membre de conférence.""
5. The class ""Relecteur"" is a subclass of the class ""Membre de conférence.""
6. The property ""a pour membre de conférence"" has a range of ""Membre de conférence.""
7. The class ""Membre de conférence"" has a domain of ""Membre de conférence"" and is a subclass of the class ""Personne."""
http://cmt_fr#c-2745207-1642565,Source,Class,pr sident,"In the context of a conference, ""Président"" typically refers to the person who presides over the meeting or session. This individual is responsible for leading discussions, managing the agenda, ensuring that the conference runs smoothly, and facilitating interactions among participants. The role may also involve making decisions about the order of speakers, addressing questions, and maintaining decorum during the proceedings.","The phrase can be verbalized as: ""The class of 'Président' is a subclass of the class 'Personne'.""The subgraph describes a hierarchy of roles and relationships within a conference or academic setting. 

At the top level, there are several key positions: 

1. **Auteur** (Author) is identified as a member of a class that signals a conflict of interest.
2. **Président** (President) is equivalent to a specific class, which is part of a union that includes the role of **Président de comité de programme** (Program Committee Chair).
3. **Président de conférence** (Conference Chair) is also part of this hierarchy, indicating a leadership role within the conference structure.
4. **Président adjoint de conférence** (Vice Chair of the Conference) is another key position, indicating a supportive role to the Conference Chair.

The relationships indicate that the **Auteur** is a member of a class that has a conflict of interest, while the **Président** and **Président de comité de programme** are part of a union that includes the **Président de conférence**. The structure suggests a clear hierarchy where the **Président** oversees the **Président de comité de programme**, and both roles are integral to the functioning of the conference.

Overall, the subgraph outlines the roles and their interconnections, emphasizing the importance of leadership and the potential for conflicts of interest within the academic conference framework."
http://cmt_fr#c-3407699-0090940,Source,Class,version compl te d article,"In the context of a conference, ""Version complète d'article"" translates to ""Full version of the article."" This typically refers to the complete text of a research paper or article that has been presented or discussed at the conference, providing all the details, findings, and analyses that may not be included in a summary or abstract. Attendees may seek the ""version complète"" to gain a deeper understanding of the research presented.","The phrase can be verbalized as: ""The complete version of an article is a subclass of an article."""
