entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://thesauri.dainst.org/_003b194e,Source,Class,geneigt,"In the context of archaeology, the term ""geneigt"" is a German word that translates to ""inclined"" or ""sloped"" in English. It is often used to describe the angle or orientation of an archaeological feature, such as a wall, a layer of sediment, or an artifact, that is not horizontal but rather tilted or slanted. This inclination can provide important information about the processes that affected the site, such as natural events or human activities.","The term ""Bautechnische Merkmale"" has a narrower concept, which is ""geneigt"".

The term ""geneigt"" has a broader concept, which is ""Bautechnische Merkmale""."
http://thesauri.dainst.org/_00433119,Source,Class,nebenorte,"In the context of archaeology, ""Nebenorte"" refers to secondary or subsidiary sites that are associated with a primary archaeological site. These secondary sites may include smaller settlements, outposts, or specialized activity areas that are functionally or administratively linked to the main site. They provide additional context and information about the broader cultural and social landscape of the primary site, helping archaeologists to understand the full extent of human activity and organization in a given region.","The term ""Nebenorte"" is a broader concept within the category of ""Siedlungstypen/- areale.""

The term ""Siedlungstypen/- areale"" is a narrower concept within the category of ""Nebenorte."""
http://thesauri.dainst.org/_0043df4f,Source,Class,fundamentschnitte,"In the context of archaeology, ""Fundamentschnitte"" refers to foundational cuts or trenches. These are specific types of excavations or trenches that are dug to investigate the foundational layers of a site. The purpose of these cuts is to uncover and study the structural foundations of ancient buildings or other constructions, providing insights into the construction techniques, chronological phases, and historical context of the site.","The term ""Bauteile"" has a narrower concept, which is ""Fundamentschnitte.""

The term ""Fundamentschnitte"" has a broader concept, which is ""Bauteile."""
http://thesauri.dainst.org/_00a5ac27,Source,Class,paneele,"In the context of archaeology, ""Paneele"" (German for ""panels"") typically refers to sections or segments of a larger artifact, structure, or site that are studied or displayed. These panels can be parts of wall paintings, mosaics, or other decorative elements that have been divided into manageable pieces for analysis, conservation, or exhibition purposes. Each panel may contain important information about the techniques, materials, and cultural significance of the archaeological find.","The term ""Objektkomponenten"" has a narrower concept, which is ""Paneele"".

The term ""Paneele"" has a broader concept, which is ""Objektkomponenten""."
http://thesauri.dainst.org/_00b63a49,Source,Class,scheinkalypter,"In the context of archaeology, ""Scheinkalypter"" is a German term that translates to ""false lid"" or ""pseudo-lid."" It refers to a type of covering or lid that appears to be functional but is actually non-functional or serves a different purpose. This term is often used to describe artifacts or components of archaeological finds that mimic the appearance of a functional lid but do not serve the typical purpose of sealing or covering an object. Instead, they might have been used for decorative, symbolic, or ritualistic purposes.","The term ""Scheinkalypter"" is a broader concept of ""Ziegel"".

The term ""Ziegel"" is a narrower concept of ""Scheinkalypter""."
http://thesauri.dainst.org/_010e418a,Source,Class,schriftrollen,"In the context of archaeology, ""Schriftrollen"" is a German term that translates to ""scrolls"" in English. These are typically ancient documents made from materials such as papyrus, parchment, or vellum, which are rolled up for storage. Scrolls often contain important historical, religious, or literary texts and are significant artifacts in the study of ancient civilizations.","The concept ""Bild- und Schriftträger"" has a narrower concept ""Schriftrollen"".

The concept ""Schriftrollen"" has a broader concept ""Bild- und Schriftträger""."
http://thesauri.dainst.org/_010e95a0,Source,Class,turmh gel,"In the context of archaeology, ""Turmhügel"" is a German term that translates to ""motte"" in English. It refers to a type of fortification that consists of a raised earthwork or mound (the ""hügel"") on which a wooden or stone tower (the ""turm"") was constructed. These structures were commonly built during the medieval period as defensive strongholds. The motte was often accompanied by a bailey, which was an enclosed courtyard typically surrounded by a protective ditch and palisade.","Sure, here are the triples verbalised into phrases:

1. ""Siedlungstypen/- areale"" has a narrower concept ""Turmhügel"".
2. ""Turmhügel"" has a broader concept ""Siedlungstypen/- areale""."
http://thesauri.dainst.org/_0151189b,Source,Class,gewunden,"In the context of archaeology, ""gewunden"" is a German word that translates to ""wound"" or ""twisted"" in English. It is often used to describe objects or artifacts that have a spiral or twisted shape. For example, a ""gewunden"" piece of jewelry might refer to a twisted or coiled bracelet or necklace. This term helps to describe the physical characteristics of artifacts that have a helical or spiral form, which can be significant in understanding the techniques and styles used by ancient cultures.","The concept ""Merkmale der Form"" has a narrower concept ""gewunden"".

The concept ""gewunden"" has a broader concept ""Merkmale der Form""."
http://thesauri.dainst.org/_0159d808,Source,Class,diadumenos,"In the context of archaeology, ""Diadumenos"" refers to a specific type of ancient Greek statue that depicts a young athlete tying a victory ribbon, or diadem, around his head. The most famous example of this type of statue is the ""Diadumenos"" created by the ancient Greek sculptor Polykleitos around 430 BCE. This statue is celebrated for its depiction of idealized human proportions and its representation of youthful athleticism. The term ""Diadumenos"" itself is derived from the Greek word ""διαδούμενος,"" which means ""the one who binds"" or ""the one who ties.""","The concept ""<nach Typ>"" has a narrower concept, which is ""Diadumenos"".

The concept ""Diadumenos"" has a broader concept, which is ""<nach Typ>""."
http://thesauri.dainst.org/_019df4e5,Source,Class,sockel,"In the context of archaeology, ""Sockel"" is a German term that translates to ""plinth"" or ""base"" in English. It refers to the base or platform upon which a statue, column, or other structure is mounted. The Sockel serves both a functional and aesthetic purpose, providing stability to the structure and often contributing to its overall visual impact.","The term ""Bauteile"" has a narrower concept, which is ""Sockel"".

The term ""Sockel"" has a broader concept, which is ""Bauteile""."
http://thesauri.dainst.org/_01ad4a56,Source,Class,aneinandersto end,"In the context of archaeology, the German term ""aneinanderstoßend"" translates to ""abutting"" or ""adjoining"" in English. It describes objects, structures, or layers that are directly next to each other or touching. For example, in an archaeological site, you might find walls or layers of sediment that are ""aneinanderstoßend,"" indicating that they were constructed or deposited in direct contact with one another. This term helps archaeologists describe the spatial relationships between different elements within a site.","The term ""Bautechnische Merkmale"" has a narrower concept, which is ""aneinanderstoßend.""

The term ""aneinanderstoßend"" has a broader concept, which is ""Bautechnische Merkmale."""
http://thesauri.dainst.org/_01ae2dab,Source,Class,kollonaden,"In the context of archaeology, ""Kollonaden"" refers to a series of columns set at regular intervals, often supporting a roof or entablature. This architectural feature is commonly found in ancient Greek and Roman buildings, such as temples, courtyards, and public spaces. The term is derived from the German word ""Kolonnade,"" which itself comes from the French ""colonnade,"" meaning a row of columns. These structures not only provided structural support but also added to the aesthetic and functional aspects of the buildings, creating covered walkways and grand entrances.","The term ""Bauteile"" has a narrower concept, which is ""Kollonaden.""

The term ""Kollonaden"" has a broader concept, which is ""Bauteile."""
http://thesauri.dainst.org/_01c505d2,Source,Class,kopfgef e,"In the context of archaeology, ""Kopfgefäße"" refers to ""head vessels"" or ""head-shaped vessels."" These are ceramic or other types of containers that are crafted in the shape of a human head. The term ""Kopf- und Büstengefässe"" expands this to include both head-shaped vessels and bust-shaped vessels, indicating that these artifacts can represent either just the head or the head and upper torso of a human figure. These types of vessels are often found in various ancient cultures and can serve both practical and ceremonial purposes.","The concept ""<nach Formen>"" has a narrower concept ""Kopfgefäße"".

The concept ""Kopfgefäße"" has a broader concept ""<nach Formen>""."
http://thesauri.dainst.org/_01c86444,Source,Class,h tten,"In the context of archaeology, ""Hütten"" is a German term that translates to ""huts"" or ""shelters"" in English. It typically refers to simple, often temporary structures that were used by ancient or prehistoric peoples for living, working, or storage purposes. These huts can provide valuable insights into the daily lives, social structures, and technological capabilities of past cultures. Archaeologists study the remains of such structures to understand more about the habitation patterns, construction techniques, and material culture of the societies that built them.","Sure, here are the triples verbalized into phrases:

1. ""Hütten"" is a broader concept of ""Wohnbauten"".
2. ""Wohnbauten"" is a narrower concept of ""Hütten""."
http://thesauri.dainst.org/_01cbb854,Source,Class,lotuskapitelle,"In the context of archaeology, ""Lotuskapitelle"" refers to lotus capitals, which are architectural elements found in ancient structures. These capitals are the topmost part of a column and are often decorated with motifs inspired by the lotus flower. The lotus is a significant symbol in various ancient cultures, particularly in Egyptian and Greek architecture, where it represents purity, creation, and the cycle of life. Lotus capitals are characterized by their stylized representation of the lotus flower, often featuring petals and other floral elements.","Sure, here are the triples verbalised into phrases:

1. ""Lotuskapitelle"" is a narrower concept of ""Kapitelle"".
2. ""Kapitelle"" is a broader concept of ""Lotuskapitelle""."
http://thesauri.dainst.org/_0201175e,Source,Class,schuhn gel,"In the context of archaeology, ""Schuhnägel"" refers to hobnails, which are small, durable nails or studs that were historically used to reinforce the soles of shoes or boots. These nails provided additional traction and durability, especially for footwear used by soldiers or laborers. Hobnails are often found in archaeological sites, particularly those related to Roman military camps, as they were commonly used in the construction of Roman military footwear, known as caligae. The presence of hobnails can provide valuable information about the movement and activities of past populations.","The concept ""Militaria/Waffen"" has a narrower concept ""Schuhnägel"".

The concept ""Schuhnägel"" has a broader concept ""Militaria/Waffen""."
http://thesauri.dainst.org/_024b5f92,Source,Class,zickzackdurchg nge,"In the context of archaeology, ""Zickzackdurchgänge"" refers to ""zigzag passages"" or ""zigzag corridors."" These are architectural features found in some ancient structures, characterized by their zigzagging or winding pathways. Such passages might have been designed for various purposes, including defensive strategies, ritualistic significance, or to control the flow of people within a site. The term is of German origin, with ""Zickzack"" meaning ""zigzag"" and ""Durchgänge"" meaning ""passages"" or ""corridors.""","The term ""Bauteile"" has a narrower concept, which is ""Zickzackdurchgänge.""

The term ""Zickzackdurchgänge"" has a broader concept, which is ""Bauteile."""
http://thesauri.dainst.org/_0264b718,Source,Class,k nstliche teiche,"In the context of archaeology, ""Künstliche Teiche"" is a German term that translates to ""artificial ponds"" in English. These are man-made water bodies that were often created for various purposes such as irrigation, fish farming, or as part of landscape design in historical settings. In archaeological studies, the presence of künstliche Teiche can provide insights into the water management practices, agricultural techniques, and environmental modifications of past societies.","The concept ""Installationen/Infrastruktur"" has a narrower concept, which is ""Künstliche Teiche"".

The concept ""Künstliche Teiche"" has a broader concept, which is ""Installationen/Infrastruktur""."
