entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://cmt_es#c-0082809-9639382,Source,Class,rea tem tica,"In the context of a conference, ""área temática"" refers to a specific thematic area or topic of focus within the event. It typically designates a particular subject or field that the conference will address, guiding the discussions, presentations, and workshops. Participants may choose to engage with content that aligns with their interests or expertise within these defined thematic areas.","The phrase can be verbalized as: ""The property 'tiene área temática' has a range of 'área temática'."""
http://cmt_es#c-0291674-8366353,Source,Class,coautor,"In the context of a conference, a ""coautor"" refers to a co-author, which is an individual who collaborates with one or more authors to contribute to a research paper, presentation, or project. Co-authors share responsibility for the content and findings, and their contributions can include research, writing, data analysis, and other aspects of the work. In conference settings, co-authors often present their joint work together, highlighting their collaborative efforts in the research process.","Here are the verbalized phrases based on the provided RDF triples:

1. ""Es coautor de un artículo"" is associated with the domain of ""coautor.""
2. ""Tiene coautor"" is associated with the range of ""coautor.""
3. ""Coautor"" is a subclass of ""autor."" 

These phrases convey the relationships and classifications defined in the RDF triples."
http://cmt_es#c-0796534-0846894,Source,Class,preferencia,"In the context of a conference, ""preferencia"" typically refers to a preference or priority given to certain topics, speakers, or sessions. It may indicate the choices or inclinations of attendees regarding which presentations or discussions they find most relevant or interesting. This could also relate to the selection of participants for specific panels or workshops based on their expertise or the relevance of their work to the conference theme.","The term ""preferencia"" is distinct from the following concepts: ""comité de programa,"" ""conferencia,"" ""decisión,"" ""documento,"" ""persona,"" and ""puja."""
http://cmt_es#c-0967878-0642860,Source,Class,resumen del art culo,"""Resumen del artículo"" translates to ""summary of the article"" in English. In the context of a conference, it typically refers to a brief overview or synopsis of a research paper or presentation that highlights the main points, findings, and conclusions. This summary is often provided to give attendees a quick understanding of the content and significance of the work being presented, allowing them to decide which sessions to attend or to facilitate discussions during the conference.","The phrase can be verbalized as: ""The summary of the article is a subclass of the article."""
http://cmt_es#c-1092610-2413708,Source,Class,miembro del comit de programa,"In the context of a conference, ""miembro del comité de programa"" translates to ""member of the program committee."" This refers to an individual who is part of a group responsible for planning and organizing the conference's agenda, including selecting topics, reviewing submissions, and determining the schedule of presentations and sessions. Their role is crucial in ensuring the quality and relevance of the content presented at the conference.","Here are the verbalized phrases based on the provided triples:

1. ""Asigna un número máximo de artículos a un miembro del comité de programa.""
2. ""Añade un miembro de comité de programa.""
3. ""Un miembro del comité de programa es añadido por.""
4. ""Es miembro del comité de programa.""
5. ""El número máximo de artículos es un atributo de un miembro del comité de programa.""
6. ""El presidente del comité de programa es una subclase de miembro del comité de programa.""
7. ""Tiene un miembro del comité de programa.""
8. ""Un miembro del comité de programa es una subclase de miembro de la conferencia y de persona.""
9. ""Un miembro del comité de programa es disjunto con autor, no revisor."""
http://cmt_es#c-2100185-3996442,Source,Class,usuario,"In the context of a conference, ""usuario"" is a Spanish term that translates to ""user"" in English. It typically refers to an individual who utilizes a service, product, or system being discussed or presented at the conference. For example, in a technology conference, ""usuario"" might refer to attendees who are using software or applications being showcased.","Here are the verbalized phrases for the given RDF triples:

1. The class ""administrador"" is a subclass of the class ""usuario.""
2. The class ""autor"" is a subclass of the class ""usuario.""
3. The class ""revisor"" is a subclass of the class ""usuario.""
4. The class ""usuario"" is a subclass of the class ""persona."""
http://cmt_es#c-2113698-8203323,Source,Class,vice presidente,"In the context of a conference, ""vice presidente"" refers to the position of a vice president, who is typically responsible for assisting the president or chairperson of the conference. This role may involve overseeing specific sessions, managing logistics, or stepping in for the president when necessary. The vice president often plays a key role in facilitating discussions and ensuring that the conference runs smoothly.","The phrase can be verbalized as follows:

""The vice president is a subclass of a member of the conference and is disjoint from the president of the conference.""The subgraph describes a classification of roles within a committee. It defines a class called ""presidente,"" which is equivalent to a specific union of roles. This union includes three positions: ""presidente de la conferencia,"" ""vice presidente,"" and ""presidente del comité de programa."" 

The structure indicates that the first role in this union is ""presidente de la conferencia,"" followed by ""vice presidente,"" and concludes with ""presidente del comité de programa."" The last role is followed by a nil value, indicating the end of the list. 

Overall, the subgraph illustrates the hierarchical relationship and categorization of these leadership roles within a committee context."
http://cmt_es#c-2265323-9937316,Source,Class,administrador,"In the context of a conference, ""administrador"" typically refers to an administrator or manager who is responsible for overseeing the organization and logistics of the event. This person may handle tasks such as coordinating schedules, managing registrations, ensuring that the venue is prepared, and facilitating communication among speakers, attendees, and staff. The role is crucial for the smooth operation of the conference.","Here are the verbalized phrases based on the provided RDF triples:

1. El administrador acepta el artículo.
2. El artículo es aceptado por el administrador.
3. El administrador asigna un número máximo de artículos a.
4. El artículo es asignado por el administrador.
5. El administrador asigna un revisor.
6. El administrador añade un miembro al comité de programa.
7. El miembro del comité de programa es añadido por el administrador.
8. El administrador gestiona copias en papel de los manifiestos de envío.
9. Los detalles son introducidos por el administrador.
10. El administrador finaliza la asignación de artículos.
11. El administrador gestiona las herramientas para la asignación de artículos.
12. El administrador inicia la puja de los artículos.
13. El administrador introduce criterios de revisión.
14. El administrador introduce detalles de la conferencia.
15. La asignación de artículos ha sido finalizada por el administrador.
16. La puja de los revisores ha sido iniciada por el administrador.
17. Las copias en papel de los manifiestos de envío han sido impresas por el administrador.
18. Las herramientas para la asignación de artículos han sido gestionadas por el administrador.
19. Los criterios de revisión han sido introducidos por el administrador.
20. El administrador permite reuniones virtuales.
21. El administrador rechaza el artículo.
22. El artículo ha sido rechazado por el administrador.
23. La reunión virtual se realiza mediante el administrador.
24. El administrador es un tipo de usuario."
http://cmt_es#c-2467658-7386622,Source,Class,autor,"In the context of a conference, ""autor"" typically refers to the author or creator of a paper, presentation, or research work being discussed or presented. It signifies the individual or group responsible for the content being shared at the conference.","Here are the verbalized phrases based on the provided RDF triples:

1. ""The author is not the reviewer.""
2. ""The co-author is a subclass of the author.""
3. ""The author sends the article.""
4. ""The author writes the article.""
5. ""The article has an author.""
6. ""The author is a subclass of both a conference member and a user.""The subgraph describes a structure related to a conflict of interest. It indicates that there is a specific domain labeled as ""ha señalado conflicto de intereses,"" which is categorized as a class. This class is defined as a union of certain elements, one of which includes an entity that has two roles: ""autor"" (author) and ""revisor"" (reviewer), along with another role labeled ""presidente"" (president). 

In summary, the description outlines a situation where a conflict of interest is identified, involving an author, a reviewer, and a president, all of which are part of a defined class that represents this conflict."
http://cmt_es#c-3087064-8732762,Source,Class,versi n completa del art culo,"In the context of a conference, ""versión completa del artículo"" translates to ""full version of the article."" This typically refers to the complete text of a research paper or article that provides detailed information, findings, and discussions presented at the conference. Attendees may be interested in accessing the full version to gain a deeper understanding of the research presented, including methodologies, results, and conclusions that may not be fully covered in a summary or abstract.","The phrase can be verbalized as: ""The complete version of the article is a subclass of the article."""
