entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://cmt_ar#c-0197956-6725851,Source,Class,رئيس اللجنة العلمية,"In the context of a conference, ""رئيس اللجنة العلمية"" translates to ""Chair of the Scientific Committee."" This individual is responsible for overseeing the scientific aspects of the conference, including the review of submitted papers, organizing sessions, and ensuring the overall quality and integrity of the scientific content presented.","1. ""وقت إنتهاء مراجعة"" هو مجال ""رئيس اللجنة العلمية"".
2. ""رئيس اللجنة العلمية"" هو نوع من ""عضو في اللجنة العلمية"".The subgraph describes a hierarchical structure involving various leadership roles within an organization. 

1. The first entity is the ""رئيس اللجنة العلمية"" (Chair of the Scientific Committee), which is linked to another entity, ""رئيس المرتبطة"" (Chair of the Associated Committee).
2. The ""رئيس المرتبطة"" is then connected to the ""رئيس المؤتمر"" (Chair of the Conference).
3. The term ""رئيس"" (Chair) is defined as equivalent to a specific class represented by the identifier ""_:Nd91a459526f04ad1a3f8d095cc04e603"".
4. This class is characterized as a union of the ""رئيس اللجنة العلمية"" and is classified as a type of ""Class"".

In summary, the structure outlines a relationship where the Chair of the Scientific Committee is connected to the Chair of the Associated Committee, who in turn is connected to the Chair of the Conference, all under the broader classification of ""Chair""."
http://cmt_ar#c-0471234-6892254,Source,Class,لاشيء,"In the context of a conference, the phrase ""لاشيء"" translates to ""nothing"" in English. It could imply a lack of content, significance, or substance in a particular discussion or presentation. For example, if someone were to say ""لاشيء"" during a conference, they might be expressing disappointment or indicating that a topic or presentation did not meet expectations or lacked meaningful information.","The phrase can be verbalized as: ""The class 'مؤتمر' is a subclass of 'لاشيء'.""The subgraph describes a set of restrictions and class hierarchies related to a concept referred to as ""البحث"" (which translates to ""Research"" in English). 

1. **Class Definitions and Restrictions**:
   - There are several restrictions defined, all of which are associated with the class ""لاشيء"" (which translates to ""Nothing"" or ""None"").
   - The restriction identified by the identifier `_:Nb8541daf0d844294bf337d2ad7698121` specifies that the property `(... ،تم تقرير (ليكون مقبول، مرفوض)` (which translates to ""(... was reported to be accepted, rejected)"") can have a minimum of 0 and a maximum of 1 qualified cardinality.
   - Another restriction identified by `_:N95b445d9a8a6496cbeb330d4d3e7bd6b` indicates that the same property can have a minimum of 1 qualified cardinality.
   - The restriction identified by `_:N012605590fe94aed8f9d1f43af6b8d07` specifies that the property `قراءته من قبل مراجع` (which translates to ""read by a reviewer"") must have a minimum of 1 qualified cardinality.

2. **Subclass Relationships**:
   - The class ""البحث"" is defined as a subclass of the restrictions `_:N012605590fe94aed8f9d1f43af6b8d07`, `_:Nb8541daf0d844294bf337d2ad7698121`, and `_:N4a56c587ee744c07a41c2b3e953f8d5e`.
   - The class ""المراجع خارجي"" (which translates to ""External Reviewer"") is also defined as a subclass of the restriction `_:N4e80e451e0394c4fa0409fe48e831c06`, which has a property restriction indicating it must be ""مسند من قبل مراجع"" (translated as ""endorsed by a reviewer"").

3. **Summary of Cardinality**:
   - The restrictions collectively indicate that the properties associated with the class ""البحث"" must adhere to specific cardinality constraints, ensuring that certain properties are either required or limited in their occurrences.

In summary, the subgraph outlines a structured framework for the class ""البحث"" and its relationships with various restrictions and properties, emphasizing the importance of cardinality in defining how these properties can be utilized within the context of research and review processes."
http://cmt_ar#c-0625239-2425775,Source,Class,موضوع المحور,"In the context of a conference, ""موضوع المحور"" translates to ""the main topic"" or ""the central theme."" It refers to the primary subject or focus around which the conference discussions, presentations, and activities are organized. This topic is typically chosen to guide the agenda and ensure that all participants are aligned on the key issues being addressed during the event.","The phrase can be verbalized as: ""The subject has a range of the main topic."""
http://cmt_ar#c-0634254-3328105,Source,Class,رئيس المرتبطة,"In the context of a conference, ""رئيس المرتبطة"" translates to ""Chair of the Committee"" or ""Chair of the Associated Group."" This title typically refers to the individual who leads or oversees a specific committee or group that is connected to the main conference agenda. The chair is responsible for facilitating discussions, guiding the committee's work, and ensuring that objectives are met during the conference proceedings.","The phrase can be verbalized as follows:

""The 'رئيس المرتبطة' (Chair of the Associated) is a subclass of 'عضو المؤتمر' (Member of the Conference) and is disjoint with 'رئيس المؤتمر' (Chair of the Conference).""The subgraph describes a hierarchical structure involving various leadership roles within an organization. 

1. The first entity is the ""رئيس اللجنة العلمية"" (Chair of the Scientific Committee), which is linked as the first element in a sequence.
2. The second entity is the ""رئيس المرتبطة"" (Chair of the Associated), which follows the first entity in the sequence.
3. The third entity is the ""رئيس المؤتمر"" (Chair of the Conference), which is linked as the first element in another sequence that follows the ""رئيس المرتبطة.""
4. The ""رئيس المرتبطة"" is connected to the ""رئيس المؤتمر"" as the next element in the sequence.
5. The term ""رئيس"" (Chair) is defined as equivalent to a specific class represented by the identifier ""_:Nd91a459526f04ad1a3f8d095cc04e603.""
6. The class identified by ""_:Nd91a459526f04ad1a3f8d095cc04e603"" is a union of the first entity, ""رئيس اللجنة العلمية.""
7. The last entity in the sequence, ""رئيس المؤتمر,"" has no further connections, indicated by the term ""nil.""

Overall, this structure illustrates a relationship among different leadership roles, emphasizing their connections and classifications within a broader organizational framework."
http://cmt_ar#c-1031803-6530562,Source,Class,قرار,"In the context of a conference, the word ""قرار"" (qarar) typically means ""resolution"" or ""decision."" It refers to a formal agreement or conclusion reached by the participants during the conference, often outlining actions to be taken or policies to be adopted.","Here are the verbalized phrases based on the provided RDF triples:

1. ""تم تقرير أن يكون مقبول أو مرفوض هو نوع من القرار.""
2. ""الرفض هو نوع من القرار.""
3. ""القبول هو نوع من القرار.""
4. ""القرار هو متعارض مع أفضلية، شخص، لجنة العلمية، مؤتمر، مزايدة، و وثيقة."""
http://cmt_ar#c-1232161-0048624,Source,Class,لجنة العلمية,"In the context of a conference, ""لجنة العلمية"" translates to ""Scientific Committee"" in English. This committee is typically responsible for overseeing the academic and scientific aspects of the conference, including the review of submitted papers, organizing sessions, and ensuring the quality and relevance of the content presented.","Here are the verbalized phrases based on the provided triples:

1. ""عضو في اللجنة العلمية"" is a member of the ""لجنة العلمية"".
2. ""قرار"" is disjoint with ""لجنة العلمية"", meaning they do not overlap.
3. ""لديه عضو"" pertains to the ""لجنة العلمية"", indicating that the committee has members.
4. ""لجنة العلمية"" is disjoint with ""أفضلية"", ""شخص"", ""مؤتمر"", ""مزايدة"", and ""وثيقة"", indicating that the committee does not overlap with these entities."
http://cmt_ar#c-1708774-9125777,Source,Class,مشرف,"In the context of a conference, the term ""مشرف"" (mushrif) typically refers to a supervisor or overseer. This person is responsible for overseeing the proceedings of the conference, ensuring that everything runs smoothly, and managing various aspects such as scheduling, coordination, and participant engagement. The مشرف plays a crucial role in facilitating discussions and maintaining order during the event.","Here are the verbalized phrases based on the provided RDF triples:

1. ""أضافته من قبل"" هو نطاقه ""مشرف"".
2. ""إدخال التفاصيل حول"" هو مجاله ""مشرف"".
3. ""إدخال معايير المراجعة"" هو مجاله ""مشرف"".
4. ""اجتماع الظاهري ممكن من قبل"" هو نطاقه ""مشرف"".
5. ""احالة أدوات البحث مشغل من قبل"" هو نطاقه ""مشرف"".
6. ""احالة البحث منتهي من قبل"" هو نطاقه ""مشرف"".
7. ""استكمال احالة البحث"" هو مجاله ""مشرف"".
8. ""بحث مرفوض"" هو مجاله ""مشرف"".
9. ""بدء تقديم العطاءات المراجع"" هو مجاله ""مشرف"".
10. ""بدأ تقديم العطاءات المراجع من قبل"" هو نطاقه ""مشرف"".
11. ""تحديد مجموعة عدد أقصى من الابحاث المسندة"" هو مجاله ""مشرف"".
12. ""تشغيل أدوات احالة البحث"" هو مجاله ""مشرف"".
13. ""تعيينه من قبل مشرف"" هو نطاقه ""مشرف"".
14. ""تفاصيل مدخلة من قبل"" هو نطاقه ""مشرف"".
15. ""تمكين الاجتماع الظاهري"" هو مجاله ""مشرف"".
16. ""رفض من قبل"" هو نطاقه ""مشرف"".
17. ""طباعة نسخة من البريد الالكتروني للمظاهرات"" هو مجاله ""مشرف"".
18. ""قبوله من قبل"" هو نطاقه ""مشرف"".
19. ""معايير مراجعة أدخلت من قبل"" هو نطاقه ""مشرف"".
20. ""نسخة من البريد الالكتروني للمظاهرات مطبوعة من قبل"" هو نطاقه ""مشرف"".
21. ""يضيف"" هو مجاله ""مشرف"".
22. ""يعيين"" هو مجاله ""مشرف"".
23. ""يقبل"" هو مجاله ""مشرف"".
24. ""مشرف"" هو فئة فرعية من ""المستخدم"". 

These phrases articulate the relationships and properties defined in the RDF triples."
http://cmt_ar#c-1753052-0526039,Source,Class,ملخص البحث,"ملخص البحث translates to ""research summary"" in English. In the context of a conference, it refers to a brief overview or abstract of a research study that highlights the main objectives, methods, results, and conclusions. This summary is often presented to give attendees a quick understanding of the research being discussed and to help them decide which presentations or papers to attend.","The phrase can be verbalized as: ""The research summary is a subclass of research."""
http://cmt_ar#c-1776859-6098962,Source,Class,أفضلية,"In the context of a conference, ""أفضلية"" (which translates to ""preference"" or ""advantage"" in English) could refer to the prioritization of certain topics, speakers, or sessions that are deemed more important or beneficial for the attendees. It may also relate to the advantages of attending the conference, such as networking opportunities, gaining insights from industry leaders, or accessing exclusive information. Overall, it signifies the aspects that are considered superior or more desirable within the conference setting.","Here are the verbalized phrases for the given triples:

1. ""قرار"" is disjoint with ""أفضلية"".
2. ""لجنة العلمية"" is disjoint with ""أفضلية"".
3. ""أفضلية"" is disjoint with ""شخص"".
4. ""أفضلية"" is disjoint with ""مؤتمر"".
5. ""أفضلية"" is disjoint with ""مزايدة"".
6. ""أفضلية"" is disjoint with ""وثيقة""."
http://cmt_ar#c-2220987-5331821,Source,Class,عضو المؤتمر,"In the context of a conference, ""عضو المؤتمر"" translates to ""conference member"" or ""conference participant."" It refers to an individual who is a part of the conference, either as an attendee, speaker, or contributor to the discussions and activities taking place during the event.","Here are the verbalized phrases based on the provided RDF triples:

1. ""الكاتب"" هو نوع من ""عضو المؤتمر"".
2. ""المراجع"" هو نوع من ""عضو المؤتمر"".
3. ""رئيس المؤتمر"" هو نوع من ""عضو المؤتمر"".
4. ""رئيس المرتبطة"" هو نوع من ""عضو المؤتمر"".
5. ""عضو في اللجنة العلمية"" هو نوع من ""عضو المؤتمر"".
6. ""لديه عضو"" يشير إلى ""عضو المؤتمر"".
7. ""عضو المؤتمر"" هو نوع من ""شخص""."
