entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://cmt_ar#c-0197956-6725851,Source,Class,رئيس اللجنة العلمية,"In the context of a conference, ""رئيس اللجنة العلمية"" translates to ""Chair of the Scientific Committee."" This individual is responsible for overseeing the scientific aspects of the conference, including the review of submitted papers, organizing sessions, and ensuring the quality and relevance of the scientific content presented.","1. ""وقت إنتهاء مراجعة"" هو مجال ""رئيس اللجنة العلمية"".
2. ""رئيس اللجنة العلمية"" هو نوع من ""عضو في اللجنة العلمية"".The subgraph describes a hierarchical structure involving various roles and their relationships. At the top level, there is a position referred to as ""رئيس اللجنة العلمية"" (Chair of the Scientific Committee), which is linked to another position, ""رئيس المرتبطة"" (Chair of the Associated), through a connection that indicates a continuation of roles. 

The ""رئيس المرتبطة"" is further connected to ""رئيس المؤتمر"" (Chair of the Conference), suggesting a sequence of leadership roles. The term ""رئيس"" (Chair) is defined as equivalent to a specific class, which is represented by a unique identifier. This class encompasses the role of ""رئيس اللجنة العلمية"" as part of its union, indicating that it includes this position within a broader category of leadership roles.

Overall, the description outlines a structured relationship among various leadership positions, emphasizing their connections and classifications within an organizational framework."
http://cmt_ar#c-0471234-6892254,Source,Class,لاشيء,"In the context of a conference, the phrase ""لاشيء"" translates to ""nothing"" in English. It could imply a lack of content, substance, or significance in a particular discussion or presentation. For example, if someone were to say ""لاشيء"" during a conference, they might be expressing disappointment or indicating that a topic or presentation did not meet expectations or lacked meaningful information.","The phrase can be verbalized as: ""The conference is a subclass of nothing.""The subgraph describes a set of relationships and restrictions related to the concept of ""البحث"" (which translates to ""research"" in English) and its classifications. 

1. **Research Classifications**: The term ""البحث"" is classified under several restrictions and subclasses. It is a subclass of a restriction that requires a minimum qualified cardinality of 1 for the property ""قراءته من قبل مراجع"" (translated as ""read by a reviewer""). This means that for any instance of ""البحث,"" there must be at least one associated reviewer.

2. **Restrictions on Properties**: There are multiple restrictions defined:
   - One restriction specifies that the property ""قراءته من قبل مراجع الفوقي"" (translated as ""read by the upper reviewer"") must have a maximum qualified cardinality of 1, indicating that each research instance can be read by at most one upper reviewer.
   - Another restriction involves the property ""مسند من قبل مراجع"" (translated as ""endorsed by a reviewer""), which also has a qualified cardinality of 1, meaning each research instance must be endorsed by exactly one reviewer.

3. **Subclasses and Cardinalities**: The subgraph also indicates that ""البحث"" is a subclass of another restriction that has a maximum qualified cardinality of 1 for the property ""(... ،تم تقرير (ليكون مقبول، مرفوض"" (translated as ""(... reported to be accepted or rejected""). This suggests that each research instance can only have one status regarding acceptance or rejection.

4. **General Structure**: The overall structure indicates that ""البحث"" is subject to various restrictions that govern how it interacts with reviewers and the properties associated with it. The restrictions ensure that there is a controlled and defined relationship between research instances and their reviewers, emphasizing the importance of having specific reviewers for each research work.

In summary, the subgraph outlines a framework for how research is classified and the cardinality restrictions that apply to its relationships with reviewers, ensuring that each research instance is properly reviewed and endorsed."
http://cmt_ar#c-0625239-2425775,Source,Class,موضوع المحور,"In the context of a conference, ""موضوع المحور"" translates to ""the main topic"" or ""the central theme."" It refers to the primary subject or focus around which the conference discussions, presentations, and activities are organized. This topic is typically chosen to guide the agenda and ensure that all participants are aligned in their discussions and contributions.","The phrase can be verbalized as: ""The subject has a range of the main topic."""
http://cmt_ar#c-0634254-3328105,Source,Class,رئيس المرتبطة,"In the context of a conference, ""رئيس المرتبطة"" translates to ""Chair of the Committee"" or ""Chair of the Associated Group."" This title typically refers to the person who leads or oversees a specific committee or group that is connected to the main conference activities. The chair is responsible for guiding discussions, facilitating meetings, and ensuring that the objectives of the committee are met.","The phrase can be verbalized as follows:

""The 'رئيس المرتبطة' (Chair of the Association) is a subclass of 'عضو المؤتمر' (Member of the Conference) and is disjoint with 'رئيس المؤتمر' (Chair of the Conference).""The subgraph describes a hierarchical structure involving various roles and their relationships. At the top level, there is a position referred to as ""رئيس اللجنة العلمية"" (Chair of the Scientific Committee), which is linked to another position, ""رئيس المرتبطة"" (Chair of the Associated), through a connection that indicates a continuation or sequence. 

The ""رئيس المرتبطة"" is further connected to ""رئيس المؤتمر"" (Chair of the Conference), which suggests a relationship where the latter is part of the former's responsibilities or context. 

Additionally, there is a classification aspect where ""رئيس"" (Chair) is defined as equivalent to a certain class, which is represented by a unique identifier. This class encompasses the ""رئيس اللجنة العلمية"" and indicates that it is part of a broader category of roles or positions.

Overall, the subgraph outlines a structured relationship between different leadership roles within an organization, emphasizing their connections and classifications."
http://cmt_ar#c-1031803-6530562,Source,Class,قرار,"In the context of a conference, the word ""قرار"" (qarar) typically means ""resolution"" or ""decision."" It refers to a formal agreement or conclusion reached by the participants during the conference, often outlining actions to be taken or policies to be adopted.","Here are the verbalized phrases based on the provided RDF triples:

1. ""تم تقرير أن يكون مقبول أو مرفوض هو نوع من القرار.""
2. ""الرفض هو نوع من القرار.""
3. ""القبول هو نوع من القرار.""
4. ""القرار هو متعارض مع أفضلية، شخص، لجنة العلمية، مؤتمر، مزايدة، و وثيقة."""
http://cmt_ar#c-1232161-0048624,Source,Class,لجنة العلمية,"In the context of a conference, ""لجنة العلمية"" translates to ""Scientific Committee"" in English. This committee is typically responsible for overseeing the academic and scientific aspects of the conference, including the review of submitted papers, organizing sessions, and ensuring the quality and relevance of the content presented.","Here are the verbalized phrases based on the provided triples:

1. ""عضو في اللجنة العلمية"" is a member of the ""لجنة العلمية"".
2. ""قرار"" is disjoint with ""لجنة العلمية"", meaning they do not overlap.
3. ""لديه عضو"" indicates that there is a member associated with the ""لجنة العلمية"".
4. The ""لجنة العلمية"" is disjoint with ""أفضلية"", ""شخص"", ""مؤتمر"", ""مزايدة"", and ""وثيقة"", indicating that it does not share any members or characteristics with these entities."
http://cmt_ar#c-1708774-9125777,Source,Class,مشرف,"In the context of a conference, the term ""مشرف"" (mushrif) typically means ""supervisor"" or ""overseer."" It refers to a person who is responsible for overseeing the proceedings, ensuring that the conference runs smoothly, and managing various aspects of the event. This role may involve coordinating speakers, facilitating discussions, and addressing any issues that arise during the conference.","Here are the verbalized phrases based on the provided RDF triples:

1. ""أضافته من قبل"" هو نطاقه ""مشرف"".
2. ""إدخال التفاصيل حول"" هو مجال ""مشرف"".
3. ""إدخال معايير المراجعة"" هو مجال ""مشرف"".
4. ""اجتماع الظاهري ممكن من قبل"" هو نطاقه ""مشرف"".
5. ""احالة أدوات البحث مشغل من قبل"" هو نطاقه ""مشرف"".
6. ""احالة البحث منتهي من قبل"" هو نطاقه ""مشرف"".
7. ""استكمال احالة البحث"" هو مجال ""مشرف"".
8. ""بحث مرفوض"" هو مجال ""مشرف"".
9. ""بدء تقديم العطاءات المراجع"" هو مجال ""مشرف"".
10. ""بدأ تقديم العطاءات المراجع من قبل"" هو نطاقه ""مشرف"".
11. ""تحديد مجموعة عدد أقصى من الابحاث المسندة"" هو مجال ""مشرف"".
12. ""تشغيل أدوات احالة البحث"" هو مجال ""مشرف"".
13. ""تعيينه من قبل مشرف"" هو نطاقه ""مشرف"".
14. ""تفاصيل مدخلة من قبل"" هو نطاقه ""مشرف"".
15. ""تمكين الاجتماع الظاهري"" هو مجال ""مشرف"".
16. ""رفض من قبل"" هو نطاقه ""مشرف"".
17. ""طباعة نسخة من البريد الالكتروني للمظاهرات"" هو مجال ""مشرف"".
18. ""قبوله من قبل"" هو نطاقه ""مشرف"".
19. ""معايير مراجعة أدخلت من قبل"" هو نطاقه ""مشرف"".
20. ""نسخة من البريد الالكتروني للمظاهرات مطبوعة من قبل"" هو نطاقه ""مشرف"".
21. ""يضيف"" هو مجال ""مشرف"".
22. ""يعيين"" هو مجال ""مشرف"".
23. ""يقبل"" هو مجال ""مشرف"".
24. ""مشرف"" هو فئة فرعية من ""المستخدم"". 

These phrases articulate the relationships and properties defined in the RDF triples."
http://cmt_ar#c-1753052-0526039,Source,Class,ملخص البحث,"ملخص البحث translates to ""research summary"" in English. In the context of a conference, it refers to a brief overview or abstract of a research paper or presentation that outlines the main objectives, methods, results, and conclusions of the research. This summary is typically provided to give attendees a quick understanding of the research being presented and to help them decide which sessions to attend.","The phrase can be verbalized as: ""ملخص البحث هو نوع من أنواع البحث."" 

In English, this translates to: ""The research summary is a subclass of research."""
http://cmt_ar#c-1776859-6098962,Source,Class,أفضلية,"In the context of a conference, ""أفضلية"" (which translates to ""preference"" or ""advantage"" in English) can refer to the prioritization of certain topics, speakers, or sessions over others. It may also indicate the advantages or benefits that certain participants or ideas have in discussions or presentations. For example, a conference agenda might highlight the ""أفضلية"" of certain keynote speakers or workshops that are deemed more relevant or impactful for the audience.","Here are the verbalized phrases for the given triples:

1. ""قرار"" is disjoint with ""أفضلية"".
2. ""لجنة العلمية"" is disjoint with ""أفضلية"".
3. ""أفضلية"" is disjoint with ""شخص"".
4. ""أفضلية"" is disjoint with ""مؤتمر"".
5. ""أفضلية"" is disjoint with ""مزايدة"".
6. ""أفضلية"" is disjoint with ""وثيقة""."
http://cmt_ar#c-2220987-5331821,Source,Class,عضو المؤتمر,"In the context of a conference, ""عضو المؤتمر"" translates to ""conference member"" or ""conference participant."" It refers to an individual who is a part of the conference, either as an attendee, speaker, or contributor to the discussions and activities taking place during the event.","Here are the verbalized phrases based on the provided RDF triples:

1. ""الكاتب"" هو نوع من ""عضو المؤتمر"".
2. ""المراجع"" هو نوع من ""عضو المؤتمر"".
3. ""رئيس المؤتمر"" هو نوع من ""عضو المؤتمر"".
4. ""رئيس المرتبطة"" هو نوع من ""عضو المؤتمر"".
5. ""عضو في اللجنة العلمية"" هو نوع من ""عضو المؤتمر"".
6. ""لديه عضو"" يشير إلى ""عضو المؤتمر"".
7. ""عضو المؤتمر"" هو نوع من ""شخص""."
