entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://cmt_en#c-0430420-0075813,Source,Class,abstract of paper,"In the context of a conference, an ""abstract of paper"" refers to a concise summary of a research paper or presentation that outlines the main objectives, methods, results, and conclusions of the work. It typically serves to give potential attendees a quick overview of the content and significance of the research, helping them decide whether to attend the presentation or read the full paper. Abstracts are often submitted for review as part of the conference application process and are published in conference proceedings or programs.","The phrase can be verbalized as: ""An abstract of a paper is a subclass of paper."""
http://cmt_en#c-1611583-0668331,Source,Class,preference,"In the context of a conference, ""preference"" refers to the choices or inclinations of attendees regarding various aspects of the event. This could include preferences for specific sessions or topics they wish to attend, preferred speakers, networking opportunities, or even logistical aspects such as meal options or seating arrangements. Understanding these preferences can help organizers tailor the conference experience to better meet the needs and interests of participants, ultimately enhancing engagement and satisfaction.","The term ""preference"" is distinct from the following concepts: ""bid,"" ""conference,"" ""decision,"" ""document,"" ""person,"" and ""program committee."""
http://cmt_en#c-1819859-8467443,Source,Class,co author,"In the context of a conference, a co-author refers to an individual who collaborates with one or more authors to contribute to a research paper, presentation, or other scholarly work that is being presented at the conference. Co-authors share responsibility for the content, findings, and conclusions of the work, and their contributions can include conducting research, writing, editing, and providing expertise. When a paper is presented at a conference, all co-authors are typically acknowledged, highlighting their collective effort in the research process.","1. The term ""co-write"" is associated with the domain of ""co-author.""
2. The phrase ""co-written by"" pertains to the range of ""co-author.""
3. The category ""co-author"" is a subclass of ""author."""
http://cmt_en#c-1998894-5296562,Source,Class,meta reviewer,"In the context of a conference, a ""meta-reviewer"" is an individual who oversees the review process of submitted papers or proposals. Their role typically involves evaluating the reviews provided by other reviewers, ensuring that the feedback is fair, constructive, and thorough. The meta-reviewer may also synthesize the reviews to provide an overall assessment of the submission, helping the program committee make informed decisions about acceptance or rejection. Essentially, the meta-reviewer acts as a quality control measure in the peer review process, ensuring that the evaluations are consistent and meet the conference's standards.","1. The range of ""read by meta-reviewer"" is defined as ""meta-reviewer.""
2. ""Meta-reviewer"" is a subclass of ""reviewer."""
http://cmt_en#c-2074692-1147118,Source,Class,author,"In the context of a conference, the term ""author"" typically refers to an individual or group who has created and presented original research, papers, or works that are being discussed or shared during the event. Authors are often responsible for the content of their presentations, which may include findings, methodologies, and conclusions related to their field of study. They may also engage in discussions, answer questions, and receive feedback from attendees, contributing to the collaborative and scholarly atmosphere of the conference.","Here are the verbalized phrases based on the provided RDF triples:

1. An ""author, who is not a reviewer"" is a subclass of ""author.""
2. A ""co-author"" is a subclass of ""author.""
3. The action ""submit paper"" is associated with the domain of ""author.""
4. The action ""write paper"" is associated with the domain of ""author.""
5. The relationship ""written by"" pertains to the range of ""author.""
6. An ""author"" is a subclass of both ""member of conference"" and ""user.""The subgraph describes a structure related to a class that involves a conflict of interest. It identifies a ""Class"" that is associated with the domain of ""mark conflict of interest."" Within this class, there are two key roles: the first is a ""chairman"" and the second is an ""author."" Additionally, there is a ""reviewer"" mentioned as part of the class structure. 

The relationships indicate that the ""chairman"" is the first entity in a sequence, followed by the ""author,"" and the ""reviewer"" is also the first in another sequence that leads to a nil value, suggesting the end of that particular sequence. The ""Class"" is defined as a union of the ""author,"" indicating that the class encompasses the role of the author as part of its definition. 

In summary, the subgraph outlines a hierarchical structure involving a class that includes roles of a chairman, author, and reviewer, all connected to the concept of marking a conflict of interest."
http://cmt_en#c-2079829-2275666,Source,Class,conference chair,"In the context of a conference, a conference chair is an individual responsible for overseeing the organization and management of the event. This role typically involves coordinating the conference program, selecting and inviting speakers, managing sessions, and ensuring that the event runs smoothly. The conference chair may also facilitate discussions, moderate panels, and represent the conference to attendees and stakeholders. Essentially, the conference chair plays a crucial leadership role in shaping the overall experience and success of the conference.","The phrase can be verbalized as follows:

""The class 'conference chair' is a subclass of the class 'member of conference' and is disjoint with the class 'associated chair'.""The subgraph describes a hierarchy of roles related to a conference. At the top level, there is a role identified as the ""first conference chair."" This role is part of a union that includes another role, which is the ""first associated chair."" The ""first associated chair"" is linked to a role known as the ""chair of the program committee,"" which does not have any additional roles associated with it (indicated by ""rest"" being ""nil"").

Furthermore, the ""first associated chair"" is part of a broader category that is equivalent to the term ""chairman."" This broader category is classified as a type of ""Class."" 

In summary, the structure outlines the relationships between the roles of conference chair, associated chair, and program committee chair, while also establishing a classification for these roles."
http://cmt_en#c-2282104-8815481,Source,Class,meta review,"In the context of a conference, a meta-review refers to a comprehensive evaluation of the reviews submitted for a particular set of papers or presentations. It involves analyzing and synthesizing the feedback provided by multiple reviewers to assess the overall quality and relevance of the submissions. The meta-review process helps in making informed decisions about which papers should be accepted or rejected for presentation at the conference. It often includes considerations of the consistency of the reviews, the strengths and weaknesses highlighted, and the alignment of the submissions with the conference's themes and goals.","The phrase can be verbalized as: ""A meta-review is a subclass of review."""
http://cmt_en#c-3017177-8896532,Source,Class,bid,"In the context of a conference, ""bid"" typically refers to a formal proposal or offer made by an organization or group to host the event. This can involve outlining the benefits of the location, the facilities available, and the ability to accommodate attendees. A bid may also include details about the conference's theme, potential speakers, and logistical arrangements. Essentially, it is a competitive submission aimed at securing the opportunity to organize and host the conference.","Here are the verbalized phrases based on the provided triples:

1. The term ""adjust"" is associated with the range of ""bid.""
2. The phrase ""adjusted by"" is defined within the domain of ""bid.""
3. The term ""has bid"" is associated with the range of ""bid.""
4. The concept of ""preference"" is disjoint from the concept of ""bid.""
5. The concept of ""bid"" is disjoint from the concepts of ""conference,"" ""decision,"" ""document,"" ""person,"" and ""program committee."""
http://cmt_en#c-3027646-3365825,Source,Class,conference,"In the context of ""conference,"" it refers to a formal meeting or gathering where individuals come together to discuss specific topics, share information, and collaborate. Conferences can vary in size and purpose, often involving presentations, workshops, and networking opportunities among participants who may share a common interest or profession.","Here are the verbalized phrases based on the provided triples:

1. A conference accepts hardcopy submissions.
2. A bid is disjoint with a conference.
3. Details are entered by a conference.
4. A conference enables virtual meetings.
5. A conference enters details on various topics.
6. A conference enters review criteria.
7. A conference finalizes paper assignments.
8. A hardcopy of mailing manifests is printed by a conference.
9. A conference has a date.
10. A conference has a logo at a specified URL.
11. A conference has members.
12. A conference has a website at a specified URL.
13. A member is part of a conference.
14. A paper assignment is finalized by a conference.
15. Paper assignment tools are run by a conference.
16. Preference is disjoint with a conference.
17. A conference prints hardcopy mailing manifests.
18. Review criteria are entered by a conference.
19. Reviewer bidding is started by a conference.
20. Reviews per paper are managed by a conference.
21. Paper assignment tools are run by a conference.
22. Reviewer bidding is started by a conference.
23. A virtual meeting is enabled by a conference.
24. A conference is disjoint with a decision, document, person, and program committee.The subgraph describes a conceptual framework for a ""conference"" entity within a structured ontology. 

1. **Class Hierarchy**: The term ""conference"" is defined as a subclass of two restrictions. The first restriction pertains to the property ""has date,"" while the second relates to ""reviews per paper."" 

2. **Properties and Restrictions**:
   - The ""conference"" class is subject to specific restrictions:
     - It must have exactly one associated name, as indicated by the restriction on the property ""has name"" with a cardinality of 1.
     - It must also have at least one date, as indicated by the restriction on the property ""has date"" with a minimum cardinality of 1.
     - Additionally, it must have exactly one review per paper, as indicated by the restriction on the property ""reviews per paper"" with a cardinality of 1.

3. **Structure of the Class**: The ""conference"" class is defined as a union of other classes, with the first element being the ""conference"" itself and the rest being defined as nil, indicating that there are no additional classes in this union.

In summary, the subgraph outlines the essential properties and restrictions that define a ""conference,"" emphasizing the necessity for a name, a date, and a review per paper, while establishing its place within a broader class hierarchy."
http://cmt_en#c-3355504-9442806,Source,Class,administrator,"In the context of a conference, an ""administrator"" typically refers to an individual responsible for managing and organizing various aspects of the event. This can include tasks such as coordinating schedules, handling registrations, overseeing logistics, managing budgets, and ensuring that the conference runs smoothly. The administrator plays a crucial role in facilitating communication among participants, speakers, and vendors, and ensuring that all necessary resources are in place for a successful conference experience.","Here are the verbalized phrases based on the provided triples:

1. An administrator is accepted by someone.
2. An administrator accepts something.
3. An administrator can add something.
4. Something is added by an administrator.
5. An administrator can assign something.
6. Something is assigned by an admin.
7. Details are entered by an administrator.
8. An administrator can enable a virtual meeting.
9. An administrator can enter details on something.
10. An administrator can enter review criteria.
11. An administrator can finalize a paper assignment.
12. A hardcopy of mailing manifests is printed by an administrator.
13. A paper assignment is finalized by an administrator.
14. Paper assignment tools are run by an administrator.
15. An administrator can print hardcopy mailing manifests.
16. An administrator can reject a paper.
17. A paper is rejected by an administrator.
18. Review criteria are entered by an administrator.
19. Reviewer bidding is started by an administrator.
20. An administrator can run paper assignment tools.
21. An administrator can set the maximal number of assigned papers.
22. An administrator can start reviewer bidding.
23. A virtual meeting is enabled by an administrator.
24. An administrator is a type of user."
