entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://conference#Abstract,Source,Class,abstract,"In the context of a conference, an ""abstract"" is a brief summary of a research paper, presentation, or study that is submitted for consideration. It typically includes the main objectives, methods, results, and conclusions of the work. The abstract allows conference organizers and attendees to quickly understand the essence of the research and decide its relevance and interest to them.","Sure, here are the triples verbalised into phrases:

1. The property ""has_an_abstract"" has a range of ""Abstract"".
2. The property ""is_the_1th_part_of"" has a domain of ""Abstract"".
3. The class ""Abstract"" is a subclass of ""Extended_abstract""."
http://conference#Accepted_contribution,Source,Class,accepted contribution,"In the context of a conference, ""Accepted_contribution"" refers to a research paper, presentation, poster, or any other form of scholarly work that has been submitted by an author or group of authors and has been reviewed and approved by the conference's review committee. This means that the contribution meets the conference's standards for quality and relevance and will be included in the conference program, allowing the authors to present their work to the conference attendees.","Sure, here are the triples verbalised into phrases:

1. ""Camera_ready_contribution"" is a subclass of ""Accepted_contribution"".
2. ""Rejected_contribution"" is disjoint with ""Accepted_contribution"".
3. ""Accepted_contribution"" is a subclass of ""Reviewed_contribution"".
4. ""Accepted_contribution"" is disjoint with ""Rejected_contribution"".The subgraph describes a class hierarchy and relationships among different types of contributions. Specifically, it states that:

1. There is a class denoted by the blank node `_:N65c2215957e04a7281048262a6172483`, which is of type ""Class"".
2. The class ""Reviewed_contribution"" is equivalent to the class represented by `_:N65c2215957e04a7281048262a6172483`.
3. The class `_:N65c2215957e04a7281048262a6172483` is defined as a union of two other classes:
   - ""Accepted_contribution""
   - ""Rejected_contribution""

In other words, a ""Reviewed_contribution"" is a class that includes both ""Accepted_contribution"" and ""Rejected_contribution""."
http://conference#Active_conference_participant,Source,Class,active conference participant,"In the context of a conference, an ""Active_conference_participant"" refers to an individual who is actively engaged in the conference activities. This can include attending sessions, participating in discussions, asking questions, contributing to workshops, networking with other attendees, and possibly presenting papers or leading sessions. Essentially, an active participant is someone who is not just passively observing but is involved and contributing to the overall experience and success of the conference.","Sure, here are the triples verbalised into phrases:

1. The property ""gives_presentations"" has a domain of ""Active_conference_participant"".
2. The property ""is_given_by"" has a range of ""Active_conference_participant"".
3. ""Passive_conference_participant"" is disjoint with ""Active_conference_participant"".
4. ""Active_conference_participant"" is a subclass of both ""Conference_contributor"" and ""Conference_participant"".
5. ""Active_conference_participant"" is disjoint with ""Passive_conference_participant"".The given subgraph describes the relationships between different types of conference participants. Here's a natural language description:

1. **Conference_participant** is defined as a class that is equivalent to a union of two subclasses:
   - **Active_conference_participant**
   - **Passive_conference_participant**

2. **Active_conference_participant** is further defined as a class that is a union of:
   - **Invited_speaker**
   - **Regular_author**

3. **Passive_conference_participant** is a class on its own.

In summary, a **Conference_participant** can either be an **Active_conference_participant** or a **Passive_conference_participant**. An **Active_conference_participant** can be either an **Invited_speaker** or a **Regular_author**."
http://conference#Call_for_paper,Source,Class,call for paper,"In the context of a conference, a ""Call for Papers"" (CFP) is an invitation issued by the conference organizers for researchers, scholars, and professionals to submit their research papers, abstracts, or proposals for presentation at the conference. The CFP typically includes details about the conference themes, submission guidelines, important dates, and the review process. It serves as a formal request for contributions that align with the conference's topics and objectives.","The class ""Call for paper"" is a subclass of the class ""Conference document""."
http://conference#Call_for_participation,Source,Class,call for participation,"In the context of a conference, a ""Call for Participation"" (CFP) is an announcement or invitation issued by the conference organizers to solicit contributions from potential participants. This can include calls for papers, presentations, workshops, posters, panels, or other forms of participation. The CFP typically outlines the themes or topics of interest, submission guidelines, important dates, and any other relevant information that potential contributors need to know in order to submit their work for consideration. The goal is to encourage a wide range of submissions to ensure a diverse and comprehensive program for the conference.","The class ""Call for participation"" is a subclass of ""Conference document""."
http://conference#Camera_ready_contribution,Source,Class,camera ready contribution,"In the context of a conference, a ""camera-ready contribution"" refers to the final version of a paper or presentation that is ready for publication. This version has been revised and formatted according to the conference's specific guidelines and requirements. It is the version that will be included in the conference proceedings and made available to attendees and the wider academic community. The term ""camera-ready"" implies that the document is in its final form, free of errors, and ready for printing or digital distribution.","The class ""Camera_ready_contribution"" is a subclass of the class ""Accepted_contribution""."
http://conference#Chair,Source,Class,chair,"In the context of a conference, the term ""Chair"" refers to the person who presides over the conference or a specific session within the conference. This individual is responsible for guiding the discussions, ensuring the agenda is followed, managing time, and facilitating interactions among participants. The Chair plays a crucial role in maintaining order and ensuring that the conference runs smoothly and efficiently.","Sure, here are the triples verbalised into phrases:

1. The property ""has_a_committee_chair"" has a range of ""Chair"".
2. The property ""was_a_committee_chair_of"" has a domain of ""Chair"".
3. The class ""Chair"" is a subclass of ""Committee_member"".The class ""Chair"" is equivalent to a restriction. This restriction specifies that it applies to entities that have the property ""was a committee chair of"" with some values from the class ""Committee""."
http://conference#Co-chair,Source,Class,co chair,"In the context of a conference, a ""Co-chair"" refers to an individual who shares the responsibilities of leading and organizing the event with one or more other individuals. Co-chairs work collaboratively to oversee various aspects of the conference, such as planning the agenda, coordinating speakers, managing logistics, and ensuring the event runs smoothly. The role of a co-chair is to provide support and share the workload, ensuring that the conference is successful and well-organized.","Sure, here are the triples verbalized into phrases:

1. The property ""has_a_committee_co-chair"" has a range of ""Co-chair"".
2. The property ""was_a_committee_co-chair_of"" has a domain of ""Co-chair"".
3. The class ""Co-chair"" is a subclass of ""Committee_member"".The class ""Co-chair"" is defined as being equivalent to a restriction where the property ""was a committee co-chair of"" applies to some values from the class ""Committee""."
http://conference#Committee,Source,Class,committee,"In the context of a conference, a ""committee"" refers to a group of individuals who are appointed or elected to perform specific tasks related to the planning, organization, and execution of the conference. This can include responsibilities such as selecting speakers, organizing sessions, managing logistics, and handling registrations. The committee works collaboratively to ensure the conference runs smoothly and meets its objectives.","1. An Organizing Committee is a subclass of a Committee.
2. A Program Committee is a subclass of a Committee.
3. A Steering Committee is a subclass of a Committee.
4. The property ""has a committee chair"" applies to instances of a Committee.
5. The property ""has a committee co-chair"" applies to instances of a Committee.
6. The property ""has a committee"" points to instances of a Committee.
7. The property ""has members"" applies to instances of a Committee.
8. The property ""was a committee co-chair of"" points to instances of a Committee.
9. The property ""was a committee chair of"" points to instances of a Committee.
10. The property ""was a committee of"" applies to instances of a Committee.
11. The property ""was a member of"" points to instances of a Committee.The given subgraph can be described in natural language as follows:

There is a class called ""Committee"" which is equivalent to a union of several specific committees: the ""Organizing committee,"" the ""Program committee,"" and the ""Steering committee.""

A ""Committee member"" is defined as someone who was a member of a ""Committee.""

A ""Chair"" is defined as someone who was a committee chair of a ""Committee.""

A ""Co-chair"" is defined as someone who was a committee co-chair of a ""Committee.""

The relationships and restrictions are as follows:
- The ""Committee member"" class has a restriction that it includes individuals who were members of a ""Committee.""
- The ""Chair"" class has a restriction that it includes individuals who were chairs of a ""Committee.""
- The ""Co-chair"" class has a restriction that it includes individuals who were co-chairs of a ""Committee.""

In summary, the subgraph defines the relationships and equivalences between different types of committee roles and the committees they are associated with."
http://conference#Committee_member,Source,Class,committee member,"In the context of a conference, a ""committee member"" refers to an individual who is part of a group responsible for organizing, planning, and overseeing various aspects of the conference. This can include tasks such as selecting speakers, arranging schedules, managing logistics, and ensuring the event runs smoothly. Committee members typically collaborate to make decisions and execute plans to achieve the conference's objectives.","Sure, here are the triples verbalised into phrases:

1. A ""Chair"" is a subclass of ""Committee member"".
2. A ""Co-chair"" is a subclass of ""Committee member"".
3. The property ""has members"" has a range of ""Committee member"".
4. The property ""was a member of"" has a domain of ""Committee member"".
5. A ""Committee member"" is a subclass of ""Person"".The given subgraph can be described in natural language as follows:

An ""Organizer"" is a subclass of a union of ""Organization"" and a list that includes ""Committee_member"". A ""Committee_member"" is equivalent to a class that has a restriction on the property ""was_a_member_of"", where the values are some members of the class ""Committee""."
http://conference#Conference,Source,Class,conference,"In the context of ""conference,"" the term refers to a formal meeting or gathering where individuals or groups come together to discuss specific topics, share information, and engage in collaborative discussions. Conferences can be held in various fields such as business, education, science, technology, and more, and they often include presentations, workshops, and networking opportunities.","The class ""Conference_volume"" is a subclass of the class ""Conference"".The given subgraph describes a class that is a union of several components. Specifically, the class includes the following elements:

1. **Publisher**
2. **Conference**
3. **Topic**
4. **Conference_part**
5. **Conference_proceedings**

Additionally, the class has a property named ""has_a_name."" The structure of the subgraph indicates that these elements are organized in a specific sequence, with each element pointing to the next in a linked list fashion, ending with 'nil' to signify the end of the list."
http://conference#Conference_announcement,Source,Class,conference announcement,"In the context of a conference, a ""conference announcement"" refers to a formal notification or communication that provides details about an upcoming conference. This announcement typically includes essential information such as the conference's theme, dates, location, key speakers, agenda, registration details, and any other relevant information that potential attendees need to know. The purpose of the announcement is to inform and attract participants, sponsors, and other stakeholders to the event.","The class ""Conference_announcement"" is a subclass of the class ""Conference_document""."
http://conference#Conference_applicant,Source,Class,conference applicant,"In the context of a conference, a ""conference applicant"" refers to an individual who has submitted an application to attend, present, or participate in the conference. This could include speakers, presenters, attendees, or participants who are seeking approval or acceptance to be part of the event. The application process typically involves providing personal information, credentials, and possibly an abstract or proposal if the applicant intends to present research or a topic at the conference.","Sure, here are the triples verbalised into phrases:

1. ""Registered applicant is a subclass of Conference applicant.""
2. ""Conference applicant is a subclass of Person."""
http://conference#Conference_contribution,Source,Class,conference contribution,"In the context of a conference, a ""conference contribution"" refers to any form of scholarly work or presentation that is submitted and presented at the conference. This can include papers, posters, presentations, workshops, or any other type of academic or professional work that contributes to the knowledge and discussions taking place at the event. These contributions are typically peer-reviewed and are an essential part of the conference's program, allowing researchers and professionals to share their findings, innovations, and ideas with their peers.","Sure, here are the triples verbalised into phrases:

1. A ""Poster"" is a subclass of ""Conference contribution"".
2. A ""Presentation"" is a subclass of ""Conference contribution"".
3. A ""Written contribution"" is a subclass of ""Conference contribution"".
4. The property ""has contributions"" has a range of ""Conference contribution"".
5. The property ""is submitted at"" has a domain of ""Conference contribution"".
6. A ""Conference contribution"" is a subclass of ""Conference document"".The provided subgraph describes a classification and relationship structure involving different types of contributions and authors in the context of conferences. Here is a natural language description of the subgraph:

1. **Classes and Equivalences**:
   - ""Conference_contribution"" is equivalent to a class that is a union of several types of contributions.
   - ""Regular_author"" is equivalent to a class that is an intersection of certain properties and classes.

2. **Types of Contributions**:
   - ""Conference_contribution"" includes:
     - ""Regular_contribution""
     - ""Written_contribution""
     - ""Presentation""
     - ""Poster""
     - ""Invited_talk""
   - ""Regular_contribution"" is further detailed to include:
     - ""Contribution_1th-author""
     - ""Contribution_co-author""

3. **Class Properties**:
   - The class equivalent to ""Regular_author"" is defined as an intersection of:
     - A restriction on the property ""contributes"" which must have some values from the class ""Conference_contribution"".

4. **Union and Intersection Definitions**:
   - The union of contributions under ""Conference_contribution"" includes:
     - ""Regular_contribution""
     - ""Written_contribution""
     - ""Presentation""
     - ""Poster""
     - ""Invited_talk""
   - The intersection defining ""Regular_author"" includes:
     - A restriction on the property ""contributes"" with some values from ""Conference_contribution"".

5. **List Structures**:
   - The union and intersection classes are represented using list structures where:
     - The ""first"" element points to a specific type of contribution or restriction.
     - The ""rest"" element points to the next element in the list or ""nil"" if it is the end of the list.

In summary, the subgraph defines a detailed classification of conference contributions and authors, specifying how different types of contributions are grouped and how the concept of a ""Regular_author"" is constructed through an intersection of properties and classes."
http://conference#Conference_contributor,Source,Class,conference contributor,"In the context of a conference, a ""conference contributor"" refers to an individual or entity that actively participates in the event by providing valuable input, resources, or support. This can include roles such as speakers, presenters, panelists, sponsors, organizers, or anyone who contributes to the content, logistics, or overall success of the conference. Their contributions can range from delivering presentations and leading workshops to offering financial support or helping with event planning and coordination.","Sure, here are the triples verbalised into phrases:

1. An ""Active conference participant"" is a subclass of ""Conference contributor"".
2. An ""Invited speaker"" is a subclass of ""Conference contributor"".
3. A ""Regular author"" is a subclass of ""Conference contributor"".
4. A ""Conference contributor"" is a subclass of ""Person""."
http://conference#Conference_document,Source,Class,conference document,"In the context of a conference, a ""conference document"" refers to any official paper or digital file that is produced for or during the event. This can include a wide range of materials such as agendas, schedules, abstracts, research papers, presentations, minutes of meetings, reports, and any other documentation that is relevant to the proceedings of the conference. These documents are typically used to inform participants, record discussions, and provide a reference for future activities or decisions related to the conference topics.","1. ""Call for paper"" is a subclass of ""Conference document"".
2. ""Call for participation"" is a subclass of ""Conference document"".
3. ""Conference announcement"" is a subclass of ""Conference document"".
4. ""Conference contribution"" is a subclass of ""Conference document"".
5. ""Conference www"" is a subclass of ""Conference document"".
6. ""Information for participants"" is a subclass of ""Conference document"".
7. ""Review"" is a subclass of ""Conference document"".
8. The property ""contributes"" has a range of ""Conference document"".
9. The property ""has a date of issue"" has a domain of ""Conference document"".
10. The property ""has authors"" has a domain of ""Conference document""."
http://conference#Conference_fees,Source,Class,conference fees,"In the context of a conference, ""conference fees"" refer to the charges or costs that participants are required to pay in order to attend the event. These fees typically cover various expenses associated with organizing the conference, such as venue rental, materials, meals, and sometimes accommodation. The fees can vary depending on the type of conference, the duration, and the services provided.",Information is not available.
http://conference#Conference_part,Source,Class,conference part,"In the context of a conference, ""Conference_part"" likely refers to a specific segment or component of the conference. This could include various elements such as keynote speeches, panel discussions, workshops, breakout sessions, networking events, or any other distinct parts that make up the overall structure of the conference. Each ""Conference_part"" would contribute to the overall agenda and objectives of the event.","1. ""Track"" is a subclass of ""Conference_part"".
2. ""Tutorial"" is a subclass of ""Conference_part"".
3. ""Workshop"" is a subclass of ""Conference_part"".
4. ""has_a_track-workshop-tutorial_chair"" has a domain of ""Conference_part"".
5. ""has_a_track-workshop-tutorial_topic"" has a domain of ""Conference_part"".
6. ""has_parts"" has a range of ""Conference_part"".
7. ""is_a_topis_of_conference_parts"" has a range of ""Conference_part"".
8. ""is_part_of_conference_volumes"" has a domain of ""Conference_part"".
9. ""was_a_track-workshop_chair_of"" has a range of ""Conference_part"".The given subgraph describes a class that is a union of several components. Specifically, the class is defined as follows:

1. The class is of type ""Class"".
2. The class is a union of several elements:
   - ""Conference_proceedings""
   - ""Publisher""
   - ""Conference""
   - ""Topic""
   - ""Conference_part""

Additionally, the property ""has_a_name"" has a domain that includes this class. The elements are listed in a specific order, with each element pointing to the next in a linked list structure, ending with ""nil""."
http://conference#Conference_participant,Source,Class,conference participant,"In the context of a conference, a ""conference participant"" refers to an individual who attends and takes part in the activities of the conference. This can include attending sessions, workshops, and presentations, engaging in discussions, networking with other attendees, and contributing to the overall objectives of the conference. Participants can be speakers, presenters, panelists, or general attendees who are there to learn, share knowledge, and collaborate with others in their field.","Sure, here are the triples verbalised into phrases:

1. ""Active conference participant is a subclass of conference participant.""
2. ""Passive conference participant is a subclass of conference participant.""
3. ""Conference participant is a subclass of person.""The subgraph describes the class ""Conference_participant"" as being equivalent to a union of two subclasses: ""Active_conference_participant"" and ""Passive_conference_participant"". This means that a ""Conference_participant"" can either be an ""Active_conference_participant"" or a ""Passive_conference_participant"". The union is represented by a list structure where the first element is ""Active_conference_participant"" and the rest of the list contains ""Passive_conference_participant"", with the end of the list being marked by 'nil'. Additionally, the union itself is identified as a class."
http://conference#Conference_proceedings,Source,Class,conference proceedings,"In the context of a conference, ""conference proceedings"" refer to a collection of academic papers, presentations, or research findings that were presented at the conference. These proceedings are typically compiled and published as a record of the event, providing a comprehensive overview of the topics discussed and the advancements shared during the conference. They serve as an important resource for researchers, scholars, and professionals who are interested in the latest developments in a particular field.","Sure, here are the triples verbalised into phrases:

1. The property ""has_a_publisher"" applies to instances of ""Conference_proceedings"".
2. The property ""has_a_volume"" applies to instances of ""Conference_proceedings"".
3. The property ""has_an_ISBN"" applies to instances of ""Conference_proceedings"".
4. The property ""issues"" can have values that are instances of ""Conference_proceedings"".The given subgraph describes a class and its components in a structured format. Here's a natural language description of the subgraph:

There is a class that is defined as a union of several components. The class has a name, and it includes the following elements:

1. **Publisher**
2. **Conference**
3. **Topic**
4. **Conference_part**
5. **Conference_proceedings**

These elements are organized in a specific order, where each element points to the next one in a sequence, ending with 'nil' to indicate the end of the list."
http://conference#Conference_volume,Source,Class,conference volume,"In the context of a conference, a ""conference volume"" refers to a collection of written papers or presentations that were presented at the conference. These volumes are often published as a book or a special issue of a journal and serve as a formal record of the research and discussions that took place during the event. The conference volume typically includes peer-reviewed articles, abstracts, and sometimes additional commentary or summaries of the sessions.","Sure, here are the triples verbalized into phrases:

1. The property ""belong_to_a_conference_volume"" has a range of ""Conference_volume"".
2. The property ""has_a_commtitee"" has a domain of ""Conference_volume"".
3. The property ""has_a_location"" has a domain of ""Conference_volume"".
4. The property ""has_a_program_committee"" has a domain of ""Conference_volume"".
5. The property ""has_a_steering_committee"" has a domain of ""Conference_volume"".
6. The property ""has_an_organizing_committee"" has a domain of ""Conference_volume"".
7. The property ""has_contributions"" has a domain of ""Conference_volume"".
8. The property ""has_important_dates"" has a domain of ""Conference_volume"".
9. The property ""has_parts"" has a domain of ""Conference_volume"".
10. The property ""has_tracks"" has a domain of ""Conference_volume"".
11. The property ""has_tutorials"" has a domain of ""Conference_volume"".
12. The property ""has_workshops"" has a domain of ""Conference_volume"".
13. The property ""is_part_of_conference_volumes"" has a range of ""Conference_volume"".
14. The property ""is_submitted_at"" has a range of ""Conference_volume"".
15. The property ""was_a_committee_of"" has a range of ""Conference_volume"".
16. The property ""was_a_program_committee_of"" has a range of ""Conference_volume"".
17. The property ""was_a_steering_committee_of"" has a range of ""Conference_volume"".
18. The property ""was_an_organizing_committee_of"" has a range of ""Conference_volume"".
19. The class ""Conference_volume"" is a subclass of ""Conference""."
http://conference#Conference_www,Source,Class,conference www,"In the context of a conference, ""Conference_www"" likely refers to the official website or web page associated with the conference. This site typically provides essential information such as the conference schedule, speaker details, registration information, venue details, and other relevant updates. The ""www"" stands for the World Wide Web, indicating that this information is accessible online.","Sure, here are the triples verbalized into phrases:

1. The property ""has_a_URL"" has a domain of ""Conference_www"".
2. The class ""Conference_www"" is a subclass of ""Conference_document""."
http://conference#Contribution_1th-author,Source,Class,contribution 1th author,"In the context of a conference, ""Contribution_1th-author"" typically refers to the primary or first author of a contribution, such as a research paper, presentation, or poster. The first author is usually the person who has made the most significant contribution to the work and often takes the lead in writing and presenting the research. This designation is important for academic recognition and can influence career advancement and reputation within the academic community.","Sure, here are the triples verbalized into phrases:

1. ""Contribution_1th-author"" is a subclass of ""Regular_author"".
2. ""Contribution_1th-author"" is disjoint with ""Contribution_co-author"".
3. ""Contribution_co-author"" is disjoint with ""Contribution_1th-author"".The given subgraph can be described in natural language as follows:

There is a class, denoted as `_:Nbae554a8dae54ca4be6e385442d0f5e0`, which is equivalent to the class `Regular_author`. This class is defined as the intersection of two components:

1. A class, denoted as `_:N1ea6962fab8545f3926c3d6ba9026d5d`, which is a union of:
   - `Contribution_1th-author`
   - `Contribution_co-author`

2. A restriction, denoted as `_:N85e5523c769d4c83b382c584c314ff01`, which specifies that the property `contributes` must have some values from the class `Conference_contribution`.

In summary, a `Regular_author` is someone who either is a first author or a co-author of a contribution, and who contributes to a conference contribution."
http://conference#Contribution_co-author,Source,Class,contribution co author,"In the context of a conference, ""Contribution_co-author"" refers to an individual who has significantly contributed to the research, writing, or development of a paper or presentation that is being submitted or presented at the conference. This person is recognized as a co-author, meaning they share credit and responsibility for the work alongside the primary author(s). Their contributions could include conducting experiments, analyzing data, writing sections of the paper, or providing critical insights and revisions.","Sure, here are the triples verbalized into phrases:

1. ""Contribution_1th-author"" is disjoint with ""Contribution_co-author"".
2. ""Contribution_co-author"" is a subclass of ""Regular_author"".
3. ""Contribution_co-author"" is disjoint with ""Contribution_1th-author"".

Note that the third statement is essentially a repetition of the first one, as disjointness is a symmetric property.The given subgraph can be described in natural language as follows:

There is a class, denoted as `_:Nbae554a8dae54ca4be6e385442d0f5e0`, which is equivalent to the class `Regular_author`. This class is defined as the intersection of two sets:

1. The first set is a class, denoted as `_:N1ea6962fab8545f3926c3d6ba9026d5d`, which is a union of two contributions:
   - `Contribution_1th-author`
   - `Contribution_co-author`

2. The second set is a restriction, denoted as `_:N85e5523c769d4c83b382c584c314ff01`, which specifies that the property `contributes` must have some values from the class `Conference_contribution`.

In summary, a `Regular_author` is someone who either contributes as a first author or a co-author and has some contribution to a conference."
http://conference#Early_paid_applicant,Source,Class,early paid applicant,"In the context of a conference, ""Early_paid_applicant"" refers to an individual who has registered and paid for their attendance at the conference during an early registration period. This period typically offers discounted rates or other incentives to encourage early sign-ups.","Sure, here are the triples verbalised into phrases:

1. The class ""Early_paid_applicant"" is a subclass of the class ""Paid_applicant"".
2. The class ""Early_paid_applicant"" is disjoint with the class ""Late_paid_applicant"".
3. The class ""Late_paid_applicant"" is disjoint with the class ""Early_paid_applicant"".The subgraph describes a class called ""Paid_applicant"" which is equivalent to another class defined by a union of two subclasses: ""Early_paid_applicant"" and ""Late_paid_applicant"". The union is represented by a list structure where ""Early_paid_applicant"" is the first element, followed by ""Late_paid_applicant"", and the list ends with a ""nil"" indicating the end of the list."
http://conference#Extended_abstract,Source,Class,extended abstract,"In the context of a conference, an ""extended abstract"" is a concise summary of a research paper or presentation that provides more detail than a standard abstract but is shorter than a full paper. It typically includes the main objectives, methodology, results, and conclusions of the research. Extended abstracts are often used in conference proceedings to give attendees a comprehensive overview of the work being presented, allowing them to decide which sessions to attend and to understand the key contributions of the research.","Sure, here are the triples verbalised into phrases:

1. ""Abstract"" is a subclass of ""Extended abstract"".
2. ""Paper"" is disjoint with ""Extended abstract"".
3. ""Extended abstract"" is a subclass of ""Regular contribution"".
4. ""Extended abstract"" is disjoint with ""Paper"".The subgraph describes a class hierarchy and a list structure in a natural language format as follows:

1. There is a class denoted by the blank node `_:Ncd4b83a209fb4df1acff22fadd086e08`, which is of type `Class`.
2. The class `Regular_contribution` is equivalent to the class represented by `_:Ncd4b83a209fb4df1acff22fadd086e08`.
3. The class `_:Ncd4b83a209fb4df1acff22fadd086e08` is a union of a list represented by the blank node `_:N3db78d1ba5a549ab85d978683d7e82a2`.
4. The list `_:N3db78d1ba5a549ab85d978683d7e82a2` has `Extended_abstract` as its first element.
5. The rest of the list `_:N3db78d1ba5a549ab85d978683d7e82a2` is another list represented by the blank node `_:N14c0dd1927c345d8a3bff1942125393a`.
6. The list `_:N14c0dd1927c345d8a3bff1942125393a` has `Paper` as its first element.
7. The rest of the list `_:N14c0dd1927c345d8a3bff1942125393a` is `nil`, indicating the end of the list.

In summary, the class `Regular_contribution` is equivalent to a union of a list containing `Extended_abstract` and `Paper`."
http://conference#Important_dates,Source,Class,important dates,"In the context of a conference, ""Important_dates"" refers to key deadlines and milestones that participants, organizers, and attendees need to be aware of. These dates typically include:

1. **Call for Papers/Proposals Deadline**: The last date to submit research papers, proposals, or abstracts for consideration.
2. **Notification of Acceptance**: The date by which authors will be informed whether their submissions have been accepted or rejected.
3. **Early Bird Registration Deadline**: The last date to register for the conference at a discounted rate.
4. **Regular Registration Deadline**: The final date to register for the conference at the standard rate.
5. **Conference Dates**: The actual dates when the conference will take place.
6. **Camera-Ready Submission Deadline**: The final date to submit the final version of accepted papers.
7. **Workshop/Tutorial Proposal Deadline**: The last date to submit proposals for workshops or tutorials to be held during the conference.

These dates are crucial for planning and ensuring participation in the conference.","Sure, here are the triples verbalised into phrases:

1. The property ""belong_to_a_conference_volume"" has a domain of ""Important_dates"".
2. The property ""has_important_dates"" has a range of ""Important_dates"".
3. The property ""is_a_date_of_acceptance_announcement"" has a domain of ""Important_dates"".
4. The property ""is_a_date_of_camera_ready_paper_submission"" has a domain of ""Important_dates"".
5. The property ""is_a_full_paper_submission_date"" has a domain of ""Important_dates"".
6. The property ""is_a_starting_date"" has a domain of ""Important_dates"".
7. The property ""is_an_abstract_submission_date"" has a domain of ""Important_dates"".
8. The property ""is_an_ending_date"" has a domain of ""Important_dates""."
http://conference#Information_for_participants,Source,Class,information for participants,"In the context of a conference, ""Information for participants"" refers to the essential details and guidelines provided to individuals who will be attending the event. This information typically includes:

1. **Event Schedule**: Dates, times, and locations of various sessions, workshops, and activities.
2. **Registration Details**: Instructions on how to register, check-in procedures, and any required documentation.
3. **Venue Information**: Address, maps, and directions to the conference location, including details about parking and public transportation.
4. **Accommodation Options**: Recommendations for nearby hotels or lodging, often with special rates for conference attendees.
5. **Session Descriptions**: Overviews of the topics, speakers, and objectives of each session or workshop.
6. **Networking Opportunities**: Information about social events, meet-and-greet sessions, and other opportunities to connect with other participants.
7. **Code of Conduct**: Guidelines on expected behavior and policies to ensure a respectful and productive environment.
8. **Technical Requirements**: Information on any necessary equipment or software needed for participation, especially for virtual or hybrid conferences.
9. **Contact Information**: Details on how to reach the conference organizers for any questions or assistance.

This information helps participants prepare for the conference, understand what to expect, and make the most of their experience.","The class ""Information for participants"" is a subclass of the class ""Conference document""."
http://conference#Invited_speaker,Source,Class,invited speaker,"In the context of a conference, an ""invited speaker"" refers to an individual who has been specifically asked by the conference organizers to give a presentation or lecture. This person is typically recognized as an expert or a prominent figure in their field and is invited to share their knowledge, insights, or research findings with the conference attendees. Invited speakers often play a key role in attracting participants to the conference and enhancing the overall quality and prestige of the event.","The class ""Invited speaker"" is a subclass of the class ""Conference contributor"".The subgraph describes a classification hierarchy and relationships among different types of conference participants. Here's a natural language description:

1. **Active Conference Participant** is a subclass of an unnamed class (let's call it Class A).
2. **Class A** is defined as a union of two types of participants: **Invited Speaker** and **Regular Author**.
3. **Invited Speaker** is equivalent to a restriction class (let's call it Restriction B).
4. **Restriction B** specifies that an **Invited Speaker** is someone who contributes to an **Invited Talk**.
5. **Regular Author** is another type of participant included in the union that defines **Class A**.

In summary, an **Active Conference Participant** can either be an **Invited Speaker** (who contributes to an **Invited Talk**) or a **Regular Author**."
