entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://cmt_de#c-0277212-8406046,Source,Class,konferenzbeitrag,"In the context of a conference, ""Konferenzbeitrag"" is a German term that translates to ""conference contribution"" in English. It typically refers to a presentation, paper, or any other form of scholarly work that is submitted and presented at a conference. This contribution can include research findings, discussions, or insights relevant to the conference's theme or subject matter.","Here are the verbalized phrases based on the provided RDF triples:

1. ""Zusammenfassung eines Konferenzbeitrags"" ist eine Unterklasse von ""Konferenzbeitrag"".
2. ""abgewiesen von"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
3. ""akzeptiert von"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
4. ""gelesen von Gutachter"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
5. ""gelesen von Meta-Gutachter"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
6. ""geschrieben von"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
7. ""hat Beitrag eingesendet"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
8. ""hat Beitrag geschrieben"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
9. ""hat Beitrag mitverfasst"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
10. ""hat Gebot erhalten"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
11. ""hat Gegenstandsbereich"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
12. ""hat ID"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
13. ""hat Papier abgelehnt"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
14. ""hat Papier gelesen"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
15. ""hat Titel"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
16. ""hat akzeptiert"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
17. ""ist entschieden worden als"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
18. ""ist zugeordnet worden"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
19. ""mitverfasst von"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
20. ""steht in Interessen-Konflikt mit Beitrag"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
21. ""vollständiger Konferenzbeitrag"" ist eine Unterklasse von ""Konferenzbeitrag"".
22. ""zugewiesen zu"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
23. ""Konferenzbeitrag"" ist eine Unterklasse von ""Dokument"" und steht im Widerspruch zu ""Gutachten"". 

These phrases summarize the relationships and classifications defined in the RDF triples.The subgraph describes a set of restrictions related to the class ""Konferenzbeitrag"" (conference contribution). 

1. There are three restrictions defined for the ""Konferenzbeitrag"" class:
   - The first restriction requires that there is a property called ""ist entschieden worden als"" (has been decided as) with a minimum cardinality of 0. This means that it is optional for a conference contribution to have this property.
   - The second restriction specifies that the property ""gelesen von Gutachter"" (read by reviewer) must have a minimum cardinality of 1, indicating that every conference contribution must be associated with at least one reviewer.
   - The third restriction also pertains to the property ""gelesen von Meta-Gutachter"" (read by meta-reviewer) and has the same minimum cardinality of 1, meaning that each conference contribution must be associated with at least one meta-reviewer.

2. Additionally, both the second and third restrictions have a maximum cardinality of 1, which means that each conference contribution can be associated with at most one reviewer and one meta-reviewer, respectively.

In summary, a ""Konferenzbeitrag"" must have at least one associated meta-reviewer and one associated reviewer, but cannot have more than one of each. It may optionally have the property ""ist entschieden worden als."""
http://cmt_de#c-1092336-2330592,Source,Class,entscheidung,"In the context of a conference, ""Entscheidung"" is a German word that translates to ""decision"" in English. It refers to the process of making a choice or reaching a conclusion, often after considering various options or factors. During a conference, discussions may revolve around making important decisions related to the topics being addressed, such as strategies, policies, or future actions.","Here are the verbalized phrases based on the provided triples:

1. ""Akzeptanz"" is a subclass of ""Entscheidung.""
2. ""Zurückweisung"" is a subclass of ""Entscheidung.""
3. ""ist entschieden worden als"" has a range of ""Entscheidung.""
4. ""Entscheidung"" is disjoint with ""Dokument,"" ""Gebot,"" ""Konferenz,"" ""Person,"" ""Programm-Komitee,"" and ""Präferenz."""
http://cmt_de#c-1105419-5848060,Source,Class,zur ckweisung,"In the context of a conference, ""Zurückweisung"" is a German term that translates to ""rejection"" in English. It typically refers to the dismissal of a paper, proposal, or submission that has been evaluated by the conference committee. This could occur during the peer review process, where submissions are assessed for their quality, relevance, and contribution to the field. A ""Zurückweisung"" indicates that the submission did not meet the necessary criteria for acceptance into the conference program.","The term ""Zurückweisung"" is a subclass of ""Entscheidung"" and is disjoint with ""Akzeptanz."""
http://cmt_de#c-1253837-4887221,Source,Class,vollst ndiger konferenzbeitrag,"The term ""vollständiger Konferenzbeitrag"" translates to ""full conference paper"" in English. In the context of a conference, it refers to a comprehensive research paper that is submitted for presentation at the event. This type of contribution typically includes detailed research findings, methodologies, discussions, and conclusions, and is often subject to a peer-review process before being accepted for presentation. Full conference papers are usually published in the conference proceedings, contributing to the academic discourse in the respective field.","The phrase can be verbalized as: ""A 'vollständiger Konferenzbeitrag' is a subclass of 'Konferenzbeitrag'."""
http://cmt_de#c-2036030-6478102,Source,Class,gutachten,"In the context of a conference, ""Gutachten"" is a German term that translates to ""expert opinion"" or ""report."" It typically refers to a formal assessment or evaluation provided by an expert in a specific field. During a conference, a Gutachten might be presented to offer insights, analyses, or recommendations based on research or professional expertise related to the conference's theme or topics being discussed.","Here are the verbalized phrases based on the provided triples:

1. ""Konferenzbeitrag"" is disjoint with ""Gutachten.""
2. ""Meta-Gutachten (Gutachten über ein Gutachten)"" is a subclass of ""Gutachten.""
3. The property ""geschrieben von"" has a domain of ""Gutachten.""
4. The property ""hat Gutachten geschrieben"" has a range of ""Gutachten.""
5. The property ""hat die Zeit des Begutachtens beendet"" has a range of ""Gutachten.""
6. ""Gutachten"" is a subclass of ""Dokument."""
http://cmt_de#c-2276280-7516043,Source,Class,vorsitzender,"In the context of a conference, ""Vorsitzender"" is a German term that translates to ""chairperson"" or ""chair"" in English. It refers to the individual who presides over the conference, leading discussions, managing the agenda, and ensuring that the proceedings run smoothly. The Vorsitzender is responsible for facilitating communication among participants and may also represent the conference in official capacities.","The term ""Vorsitzender"" is a subclass of ""Person.""The subgraph describes a hierarchical structure related to a conference and its organizational roles. At the top of this structure is the ""Vorsitzender der Konferenz"" (Chairperson of the Conference), who is associated with a class that is equivalent to another class identified as ""Vorsitzender"" (Chair). This chairperson has a direct relationship with the ""Vorsitzender des Programm-Komitees"" (Chairperson of the Program Committee) and is also linked to a ""stellvertretender Vorsitz"" (Deputy Chair).

The roles are organized in a sequence where the ""Vorsitzender der Konferenz"" is followed by the ""Vorsitzender des Programm-Komitees,"" which in turn is followed by the ""stellvertretender Vorsitz."" Additionally, there is a ""Gutachter"" (Reviewer) who is part of this structure, indicating a review process within the conference.

Furthermore, there is a mention of a ""Verfasser"" (Author), who is also part of this hierarchy but does not have any further connections, suggesting that they may be an individual contributor to the conference.

The subgraph also indicates that the ""Vorsitzender"" stands in a conflict of interest with a contribution, highlighting the importance of transparency and ethical considerations in the conference's proceedings. Overall, this structure outlines the key roles and relationships within the conference's organizational framework."
http://cmt_de#c-2310106-7377133,Source,Class,akzeptanz,"In the context of a conference, ""Akzeptanz"" refers to the acceptance or approval of ideas, concepts, or practices presented during the event. It can pertain to how well participants embrace new information, methodologies, or changes discussed in the conference sessions. Achieving ""Akzeptanz"" is often crucial for the successful implementation of strategies or innovations that are being proposed, as it indicates a willingness among attendees to adopt and support these initiatives.","1. ""Zurückweisung"" is disjoint with ""Akzeptanz.""
2. ""Akzeptanz"" is a subclass of ""Entscheidung."""
http://cmt_de#c-2600954-3812137,Source,Class,administrator,"In the context of a conference, an ""Administrator"" typically refers to an individual responsible for managing and organizing various aspects of the event. This can include tasks such as coordinating schedules, overseeing logistics, handling registrations, and ensuring that the conference runs smoothly. The Administrator may also serve as a point of contact for attendees, speakers, and vendors, facilitating communication and addressing any issues that arise during the conference.","Here are the verbalized phrases based on the provided triples:

1. Die Beitragszuordnung wurde abgeschlossen von einem Administrator.
2. Die Beitragszuordnungs-Software wurde ausgeführt von einem Administrator.
3. Details wurden eingefügt von einem Administrator.
4. Die Gebotsphase wurde gestartet von einem Administrator.
5. Kriterien zu Gutachten wurden eingefügt von einem Administrator.
6. Der Papierausdruck des Mailing-Manifests wurde gedruckt von einem Administrator.
7. Das Dokument wurde abgewiesen von einem Administrator.
8. Das Dokument wurde akzeptiert von einem Administrator.
9. Der Administrator bestimmt die maximale Anzahl an zugewiesenen Beiträgen.
10. Der Administrator druckt den Papierausdruck des Mailing-Manifests.
11. Der Administrator hat Details eingefügt in Bezug auf das Dokument.
12. Der Administrator hat Kriterien zu Gutachten eingefügt.
13. Der Administrator hat das Papier abgelehnt.
14. Der Administrator hat das Dokument akzeptiert.
15. Der Administrator hat die Beitrags-Zuordnungssoftware ausgeführt.
16. Der Administrator hat die Gebotsphase gestartet.
17. Der Administrator hat die Zuordnung der Beiträge abgeschlossen.
18. Der Administrator hat etwas hinzugefügt.
19. Der Administrator hat ein virtuelles Treffen veranlasst.
20. Der Administrator hat etwas zugewiesen.
21. Etwas wurde hinzugefügt von einem Administrator.
22. Ein virtuelles Treffen wurde veranlasst von einem Administrator.
23. Etwas wurde zugewiesen von einem Administrator.
24. Der Administrator ist ein Benutzer. 

These phrases encapsulate the relationships and actions described in the original triples."
http://cmt_de#c-2636048-9047841,Source,Class,gebot,"In the context of a conference, ""Gebot"" is a German term that translates to ""command"" or ""requirement"" in English. It can refer to a guideline or rule that participants are expected to follow during the event. For example, it might pertain to protocols for behavior, presentation standards, or specific instructions related to the conference's agenda. Understanding the ""Gebot"" in this setting is essential for ensuring that the conference runs smoothly and that all attendees are aligned with its objectives.","Here are the verbalized phrases based on the provided triples:

1. ""Entscheidung is disjoint with Gebot.""
2. ""The property 'abgeglichen von' has a domain of Gebot.""
3. ""The property 'hat Gebot erhalten' has a range of Gebot.""
4. ""The property 'hat abgeglichen' has a range of Gebot.""
5. ""Gebot is disjoint with Dokument, Konferenz, Person, Programm-Komitee, and Präferenz."""
http://cmt_de#c-3386094-8929437,Source,Class,dokument,"In the context of a conference, ""Dokument"" typically refers to a document or written material that is presented, shared, or discussed during the event. This could include research papers, presentations, agendas, minutes, or any other formal written content that contributes to the conference proceedings. It serves as a record of the information shared and can be used for reference by attendees.","Here are the verbalized phrases based on the provided triples:

1. ""Entscheidung"" is disjoint with ""Dokument.""
2. ""Gebot"" is disjoint with ""Dokument.""
3. ""Gutachten"" is a subclass of ""Dokument.""
4. ""Konferenzbeitrag"" is a subclass of ""Dokument.""
5. ""hat Interessenskonflikt in Bezug auf"" has a range of ""Dokument.""
6. ""Dokument"" is disjoint with ""Konferenz,"" ""Person,"" ""Programm-Komitee,"" and ""Präferenz."""
