entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
https://vocabs.acdh.oeaw.ac.at/defcthesaurus/DNA_analysis/2.13,Source,Class,dna analyze,"In digital humanities, “DNA-Analyse” refers to techniques for examining genes and DNA to identify individuals by distinctive genetic markers—using DNA profiles to link biological samples to persons or lineages, often for historical, genealogical, or archival research.","- “DNA-Analyse” is a broader concept’s child of “special analysis.”  
- “special analysis” has the narrower concept “DNA-Analyse.”"
https://vocabs.acdh.oeaw.ac.at/defcthesaurus/acorn/5.35,Source,Class,eichel,"In German-language digital humanities, “Eichel” most often refers to Peter Eichel, a scholar associated with media theory and discourse analysis, or appears as a surname in bibliographic metadata. If you mean the common noun, “Eichel” in German means “acorn” (and, colloquially, the glans of the penis), but in DH contexts it typically shows up as:

- An author name in citations/authority files (e.g., GND entries).
- A lemma/token in corpora requiring disambiguation (proper noun vs. common noun).
- A controlled-vocabulary or NER edge case where capitalization affects tagging (Eichel vs. eichel).

If you’re working with text mining or metadata, treat “Eichel” as an ambiguous token: check casing, surrounding POS, and authority records to determine whether it’s a surname, a place/name entity, or the noun “acorn.”","- “Eichel” is a broader concept’s narrower term of “nuts.”
- “nuts” has the narrower concept “Eichel.”"
https://vocabs.acdh.oeaw.ac.at/defcthesaurus/acrolith/5.92,Source,Class,akrolith,"Akrolith: In Greek sculpture, a statue with the head and extremities carved from stone or marble, while the wooden trunk was gilt or draped.","- Akrolith is a broader concept’s narrower term: it is a type of anthropomorphic figurine.
- Anthropomorphic figurine has a narrower concept: Akrolith."
https://vocabs.acdh.oeaw.ac.at/defcthesaurus/adult-mature_(19-45)/6.6,Source,Class,adult mature 19 45,"In digital humanities (e.g., metadata standards, audience tagging, or corpus annotation), “adult-mature (19–45)” designates a demographic age category indicating that the subject, audience, or creator is an adult in early-to-mid adulthood—specifically ages 19 through 45. It’s used to:

- Tag intended audiences (e.g., resources aimed at adults 19–45)
- Annotate subjects/participants in datasets or corpora
- Classify creators’ ages in biographical metadata

It helps enable age-based filtering, analysis, and comparability across collections.","- “adult-mature (19-45)” is a broader concept’s child of “age group”.
- “age group” has the narrower concept “adult-mature (19-45)”."
https://vocabs.acdh.oeaw.ac.at/defcthesaurus/adult/6.15,Source,Class,adult,"In digital humanities, “adult” typically refers to content or subjects intended for mature audiences (18+), such as sexually explicit material, graphic violence, or other sensitive themes. It’s used for classification, metadata tagging, access control, and ethical review to manage how materials are described, searched, and accessed in digital collections and research.","- “adult” is a broader concept’s narrower term of “age group.” → “adult” is a narrower concept of “age group.”
- “age group” has the narrower concept “adult.”"
https://vocabs.acdh.oeaw.ac.at/defcthesaurus/adult_(19-40)/6.5,Source,Class,adult 19 40,"In digital humanities projects, “adult (19–40)” typically denotes an age category used to tag or analyze data. It classifies individuals aged 19 through 40 as “adults” for purposes such as metadata, demographic analysis, or filtering in datasets, archives, surveys, or user studies.","- “adult (19-40)” is a broader concept’s member: it is a narrower concept of “age group.”
- “age group” has the narrower concept “adult (19-40).”"
https://vocabs.acdh.oeaw.ac.at/defcthesaurus/adze/4.66,Source,Class,adze,"An adze is a cutting tool, like an axe but with the blade set at a right angle to the handle. It is one of the earliest known tools, widely used in Stone Age cultures as a handheld, chipped stone blade. In digital humanities contexts, it may appear in datasets, glossaries, or analyses of material culture and prehistoric technologies.","- “Werkzeug” has the narrower concept “adze”.
- “adze” has the broader concept “Werkzeug”."
https://vocabs.acdh.oeaw.ac.at/defcthesaurus/aerial_photograph_interpretation/4.12,Source,Class,aerial photograph interpretation,"Aerial photograph interpretation, in digital humanities, is the analysis of aerial images to identify, record, and map archaeological sites and landscapes. It involves systematically examining many aerial photographs in a single survey to produce maps and records that document past human activity and landscape features.","- “aerial photograph interpretation” is a broader concept’s narrower term of “heritage assessment.”
- “heritage assessment” has the narrower concept “aerial photograph interpretation.”"
https://vocabs.acdh.oeaw.ac.at/defcthesaurus/agate/3.27,Source,Class,agate,"In this context, agate is a cryptocrystalline variety of silica—primarily chalcedony—noted for its very fine grain and vivid coloration.","- “agate” is a broader term for “stone”.
- “stone” is a narrower term for “agate”."
https://vocabs.acdh.oeaw.ac.at/defcthesaurus/age_group/5.097,Source,Class,age group,"In digital humanities work on human remains, “age group” refers to categorical ranges used to classify the estimated age-at-death of individuals based on osteological or dental indicators. Typical bins include, for example:
- Fetus/Perinatal
- Infant (0–1)
- Child (1–5, 6–12)
- Adolescent (13–17)
- Young Adult (18–25)
- Adult (26–35, 36–45)
- Mature/Older Adult (46+)

These ranges may vary by project; the key is a standardized, interpretable label applied to age estimates derived from skeletal/dental analysis for comparative, statistical, and metadata purposes.","- “adult” is a broader concept of “age group”.
- “adult (19-40)” is a broader concept of “age group”.
- “adult-mature (19-45)” is a broader concept of “age group”.
- “age not specified” is a broader concept of “age group”.
- “human remains” is a narrower concept of “age group”.
- “infans i (0-6)” is a broader concept of “age group”.
- “infans ii (7-12)” is a broader concept of “age group”.
- “juvenile (13-18)” is a broader concept of “age group”.
- “mature (41-60)” is a broader concept of “age group”.
- “mature-senile (51-70)” is a broader concept of “age group”.
- “neonate” is a broader concept of “age group”.
- “part of specialist report” is a broader concept of “age group”.
- “senile (60-)” is a broader concept of “age group”.
- “subadult” is a broader concept of “age group”.
- “age group” is a broader concept of “human remains”.
- “age group” is a narrower concept of “adult”.
- “age group” is a narrower concept of “adult (19-40)”.
- “age group” is a narrower concept of “adult-mature (19-45)”.
- “age group” is a narrower concept of “age not specified”.
- “age group” is a narrower concept of “infans i (0-6)”.
- “age group” is a narrower concept of “infans ii (7-12)”.
- “age group” is a narrower concept of “juvenile (13-18)”.
- “age group” is a narrower concept of “mature (41-60)”.
- “age group” is a narrower concept of “mature-senile (51-70)”.
- “age group” is a narrower concept of “neonate”.
- “age group” is a narrower concept of “part of specialist report”.
- “age group” is a narrower concept of “senile (60-)”.
- “age group” is a narrower concept of “subadult”."
