entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://cmt#Acceptance,Source,Class,acceptance,"In the context of a conference, ""acceptance"" typically refers to the formal approval or agreement to participate in the event. This could mean the acceptance of a submitted paper or abstract for presentation, the acceptance of an invitation to speak or attend, or the confirmation of registration for the conference. It signifies that the organizers have reviewed and approved the submission or request, and the individual or work is officially included in the conference program.","Sure, here are the triples verbalised into phrases:

1. ""Acceptance"" is a subclass of ""Decision"".
2. ""Acceptance"" is disjoint with ""Rejection"".
3. ""Rejection"" is disjoint with ""Acceptance""."
http://cmt#Administrator,Source,Class,administrator,"In the context of a conference, an ""Administrator"" typically refers to an individual responsible for organizing, managing, and overseeing the logistical and operational aspects of the event. This can include tasks such as coordinating schedules, managing registrations, handling communications with speakers and attendees, arranging venues, and ensuring that all technical and support services are in place for the smooth running of the conference.","Sure, here are the triples verbalized into phrases:

1. The action ""acceptPaper"" is performed by an ""Administrator"".
2. The action ""acceptedBy"" involves an ""Administrator"".
3. The action ""addProgramCommitteeMember"" is performed by an ""Administrator"".
4. The action ""addedBy"" involves an ""Administrator"".
5. The action ""assignReviewer"" is performed by an ""Administrator"".
6. The action ""assignedByAdministrator"" involves an ""Administrator"".
7. The action ""detailsEnteredBy"" involves an ""Administrator"".
8. The action ""enableVirtualMeeting"" is performed by an ""Administrator"".
9. The action ""enterConferenceDetails"" is performed by an ""Administrator"".
10. The action ""enterReviewCriteria"" is performed by an ""Administrator"".
11. The action ""finalizePaperAssignment"" is performed by an ""Administrator"".
12. The action ""hardcopyMailingManifestsPrintedBy"" involves an ""Administrator"".
13. The action ""paperAssignmentFinalizedBy"" involves an ""Administrator"".
14. The action ""paperAssignmentToolsRunBy"" involves an ""Administrator"".
15. The action ""printHardcopyMailingManifests"" is performed by an ""Administrator"".
16. The action ""rejectPaper"" is performed by an ""Administrator"".
17. The action ""rejectedBy"" involves an ""Administrator"".
18. The action ""reviewCriteriaEnteredBy"" involves an ""Administrator"".
19. The action ""reviewerBiddingStartedBy"" involves an ""Administrator"".
20. The action ""runPaperAssignmentTools"" is performed by an ""Administrator"".
21. The action ""setMaxPapers"" is performed by an ""Administrator"".
22. The action ""startReviewerBidding"" is performed by an ""Administrator"".
23. The action ""virtualMeetingEnabledBy"" involves an ""Administrator"".
24. An ""Administrator"" is a subclass of ""User""."
http://cmt#AssociatedChair,Source,Class,associated chair,"In the context of a conference, an ""Associated Chair"" typically refers to an individual who assists the main conference chair in organizing and managing the event. This role may involve responsibilities such as coordinating sessions, managing communications with speakers and attendees, overseeing the review process for submitted papers, and ensuring that the conference runs smoothly. The Associated Chair works closely with the main chair and other committee members to ensure the success of the conference.","Sure, here are the triples verbalised into phrases:

1. The class ""AssociatedChair"" is a subclass of the class ""ConferenceMember"".
2. The class ""AssociatedChair"" is disjoint with the class ""ConferenceChair"".
3. The class ""ConferenceChair"" is disjoint with the class ""AssociatedChair"".The subgraph describes a class hierarchy and equivalence relationships among different roles. Here's a natural language description:

1. There is a class denoted by a blank node (let's call it Class1) which is of type ""Class"".
2. Class1 is defined as a union of three roles: ""AssociatedChair"", ""ConferenceChair"", and ""ProgramCommitteeChair"".
3. The role ""AssociatedChair"" is the first element in the union list.
4. The role ""ConferenceChair"" is the second element in the union list.
5. The role ""ProgramCommitteeChair"" is the third element in the union list, and it is the last element (indicated by 'rest' being 'nil').
6. The class ""Chairman"" is equivalent to Class1.

In summary, the class ""Chairman"" is equivalent to a class that includes any individual who is an ""AssociatedChair"", ""ConferenceChair"", or ""ProgramCommitteeChair""."
http://cmt#Author,Source,Class,author,"In the context of a conference, an ""author"" typically refers to an individual who has written a paper, article, or presentation that is being presented or discussed at the event. This person is responsible for the research, findings, and content of the work being shared with the conference attendees.","Sure, here are the triples verbalised into phrases:

1. ""AuthorNotReviewer"" is a subclass of ""Author"".
2. ""Co-author"" is a subclass of ""Author"".
3. The property ""hasAuthor"" has a range of ""Author"".
4. The property ""submitPaper"" has a domain of ""Author"".
5. The property ""writePaper"" has a domain of ""Author"".
6. ""Author"" is a subclass of ""ConferenceMember"".
7. ""Author"" is a subclass of ""User"".The subgraph describes a class and its relationship to a function and a union of roles. Here is the natural language description:

There is a class, denoted as _:N2b49bd6d53d24d508f733bbd85d85884, which is of type ""Class"". This class is associated with the function ""markConflictOfInterest"" as its domain.

The class is defined as a union of three roles: Reviewer, Chairman, and Author. Specifically:
- The first element in the union is ""Reviewer"", followed by the rest of the elements.
- The second element in the union is ""Chairman"", followed by the rest of the elements.
- The third and final element in the union is ""Author"", with no further elements following it.

In summary, the class is a union of the roles Reviewer, Chairman, and Author, and it serves as the domain for the function ""markConflictOfInterest""."
http://cmt#AuthorNotReviewer,Source,Class,author not reviewer,"In the context of a conference, ""AuthorNotReviewer"" typically refers to a policy or rule indicating that an individual who has submitted a paper or work to the conference (an author) is not allowed to participate in the review process of other submissions. This is to prevent any potential conflicts of interest and to ensure the fairness and impartiality of the review process.","Sure, here are the triples verbalized into phrases:

1. The class ""ProgramCommitteeMember"" is disjoint with the class ""AuthorNotReviewer"".
2. The class ""Reviewer"" is disjoint with the class ""AuthorNotReviewer"".
3. The class ""AuthorNotReviewer"" is a subclass of the class ""Author"".
4. The class ""AuthorNotReviewer"" is disjoint with the class ""ProgramCommitteeMember"".
5. The class ""AuthorNotReviewer"" is disjoint with the class ""Reviewer""."
http://cmt#Bid,Source,Class,bid,"In the context of a conference, a ""bid"" typically refers to a formal proposal submitted by an individual, organization, or city to host the conference. This proposal usually includes details such as the venue, dates, logistical arrangements, and sometimes financial commitments or incentives to attract the conference organizers to select their location. The bid aims to demonstrate why the proposed location is the best choice for the event.","Sure, here are the triples verbalized into phrases:

1. The range of ""adjustBid"" is ""Bid"".
2. The domain of ""adjustedBy"" is ""Bid"".
3. The range of ""hasBid"" is ""Bid"".
4. ""Conference"" is disjoint with ""Bid"".
5. ""Decision"" is disjoint with ""Bid"".
6. ""Document"" is disjoint with ""Bid"".
7. ""Person"" is disjoint with ""Bid"".
8. ""Preference"" is disjoint with ""Bid"".
9. ""ProgramCommittee"" is disjoint with ""Bid"".
10. ""Bid"" is disjoint with ""Conference"", ""Decision"", ""Document"", ""Person"", ""Preference"", and ""ProgramCommittee""."
http://cmt#Chairman,Source,Class,chairman,"In the context of a conference, the term ""Chairman"" refers to the person who presides over the conference, leading and facilitating the discussions, ensuring the agenda is followed, and maintaining order during the proceedings. The Chairman is responsible for guiding the overall direction of the conference and ensuring that it runs smoothly and efficiently.","The class ""Chairman"" is a subclass of the class ""Person"".The provided subgraph describes a set of classes and their relationships within a domain, specifically focusing on roles related to a conference. Here is a natural language description of the subgraph:

1. There is a class that is a union of several roles:
   - The first role in this union is ""AssociatedChair"".
   - The next role in this union is ""ConferenceChair"".
   - The next role in this union is ""ProgramCommitteeChair"".
   - The union ends with ""nil"", indicating no further roles in this sequence.

2. Another class is defined as a union of:
   - The first role in this union is ""Reviewer"".
   - The next role in this union is ""Chairman"".
   - The next role in this union is ""Author"".
   - The union ends with ""nil"", indicating no further roles in this sequence.

3. The class ""Chairman"" is equivalent to a class that is a union of the roles mentioned above.

4. The class ""markConflictOfInterest"" has a domain that includes the union of the roles ""Reviewer"", ""Chairman"", and ""Author"".

5. The entities ""AssociatedChair"", ""ConferenceChair"", ""ProgramCommitteeChair"", ""Reviewer"", ""Chairman"", and ""Author"" are all considered as part of the defined classes.

In summary, the subgraph defines a hierarchical structure of roles related to a conference, with specific unions of roles and equivalences between them, and it specifies the domain for marking conflicts of interest within this context."
http://cmt#Co-author,Source,Class,co author,"In the context of a conference, a ""co-author"" refers to an individual who has collaborated with one or more other individuals to contribute to the creation of a research paper, presentation, or other scholarly work that is being presented at the conference. Co-authors share responsibility for the content and findings of the work and are typically listed as such in the conference program, proceedings, or any published materials associated with the event.","Sure, here are the triples verbalized into phrases:

1. The property ""co-writePaper"" has a domain of ""Co-author"". This means that ""co-writePaper"" is an action or relationship that involves a ""Co-author"".
   
2. The property ""hasCo-author"" has a range of ""Co-author"". This means that ""hasCo-author"" relates something to a ""Co-author"".

3. The class ""Co-author"" is a subclass of ""Author"". This means that every ""Co-author"" is also an ""Author""."
http://cmt#Conference,Source,Class,conference,"In the context of ""conference,"" the term refers to a formal meeting or gathering where individuals or groups come together to discuss specific topics, share information, and engage in collaborative discussions. Conferences can be held in various fields such as business, education, science, technology, and more, and they often include presentations, workshops, and networking opportunities.","Sure, here are the triples verbalized into phrases:

1. The property ""acceptsHardcopySubmissions"" is associated with the domain ""Conference"".
2. The property ""date"" is associated with the domain ""Conference"".
3. The property ""detailsEnteredBy"" is associated with the domain ""Conference"".
4. The property ""enableVirtualMeeting"" has a range of ""Conference"".
5. The property ""enterConferenceDetails"" has a range of ""Conference"".
6. The property ""enterReviewCriteria"" has a range of ""Conference"".
7. The property ""finalizePaperAssignment"" has a range of ""Conference"".
8. The property ""hardcopyMailingManifestsPrintedBy"" is associated with the domain ""Conference"".
9. The property ""hasConferenceMember"" is associated with the domain ""Conference"".
10. The property ""logoURL"" is associated with the domain ""Conference"".
11. The property ""memberOfConference"" has a range of ""Conference"".
12. The property ""paperAssignmentFinalizedBy"" is associated with the domain ""Conference"".
13. The property ""paperAssignmentToolsRunBy"" is associated with the domain ""Conference"".
14. The property ""printHardcopyMailingManifests"" has a range of ""Conference"".
15. The property ""reviewCriteriaEnteredBy"" is associated with the domain ""Conference"".
16. The property ""reviewerBiddingStartedBy"" is associated with the domain ""Conference"".
17. The property ""reviewsPerPaper"" is associated with the domain ""Conference"".
18. The property ""runPaperAssignmentTools"" has a range of ""Conference"".
19. The property ""siteURL"" is associated with the domain ""Conference"".
20. The property ""startReviewerBidding"" has a range of ""Conference"".
21. The property ""virtualMeetingEnabledBy"" is associated with the domain ""Conference"".
22. The class ""Bid"" is disjoint with the class ""Conference"".
23. The class ""Decision"" is disjoint with the class ""Conference"".
24. The class ""Document"" is disjoint with the class ""Conference"".
25. The class ""Person"" is disjoint with the class ""Conference"".
26. The class ""Preference"" is disjoint with the class ""Conference"".
27. The class ""ProgramCommittee"" is disjoint with the class ""Conference"".
28. The class ""Conference"" is disjoint with the classes ""Bid"", ""Decision"", ""Document"", ""Person"", ""Preference"", and ""ProgramCommittee"".The given subgraph can be described in natural language as follows:

A ""Conference"" is a subclass of three different restrictions:
1. A restriction on the property ""reviewsPerPaper"" with a cardinality of 1.
2. A restriction on the property ""date"" with a minimum cardinality of 1.
3. A restriction on the property ""name"" with a cardinality of 1.

Additionally, the ""name"" property has a domain that is a class, which is defined as a union of ""Conference"" and ""Person""."
http://cmt#ConferenceChair,Source,Class,conference chair,"In the context of a conference, a ""Conference Chair"" refers to the individual who is responsible for overseeing and organizing the entire event. This person typically handles a wide range of tasks, including planning the conference agenda, coordinating with speakers and participants, managing logistics, and ensuring that the conference runs smoothly. The Conference Chair plays a crucial role in the success of the event, often working closely with committees and other stakeholders to deliver a well-organized and impactful conference.","Sure, here are the triples verbalized into phrases:

1. ""AssociatedChair"" is disjoint with ""ConferenceChair"".
2. ""ConferenceChair"" is a subclass of ""ConferenceMember"".
3. ""ConferenceChair"" is disjoint with ""AssociatedChair"".The subgraph describes a class hierarchy and equivalence relationships involving different types of chairs in a conference setting. Here's a natural language description:

1. There is a class named ""Chairman"" which is equivalent to another class (denoted as _:N3ece603408c24604823111c97a2adb9f).
2. The class _:N3ece603408c24604823111c97a2adb9f is defined as a union of several other classes.
3. The union consists of:
   - ""AssociatedChair""
   - ""ConferenceChair""
   - ""ProgramCommitteeChair""
4. The union structure is represented as follows:
   - The first element of the union is ""AssociatedChair"".
   - The rest of the union consists of another list where the first element is ""ConferenceChair"".
   - The rest of this list consists of another list where the first element is ""ProgramCommitteeChair"".
   - The rest of this final list is ""nil"", indicating the end of the list.

In summary, the class ""Chairman"" is equivalent to a union of the classes ""AssociatedChair"", ""ConferenceChair"", and ""ProgramCommitteeChair""."
