entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://cmt_de#c-0277212-8406046,Source,Class,konferenzbeitrag,"In the context of a conference, ""Konferenzbeitrag"" is a German term that translates to ""conference contribution"" in English. It typically refers to a presentation, paper, or any other form of contribution made by a participant at a conference. This can include research findings, discussions, workshops, or any other content that is shared with attendees to foster knowledge exchange and collaboration within a specific field or topic.","Here are the verbalized phrases based on the provided RDF triples:

1. ""Zusammenfassung eines Konferenzbeitrags"" ist eine Unterklasse von ""Konferenzbeitrag"".
2. ""abgewiesen von"" ist ein Attribut, das für ""Konferenzbeitrag"" gilt.
3. ""akzeptiert von"" ist ein Attribut, das für ""Konferenzbeitrag"" gilt.
4. ""gelesen von Gutachter"" ist ein Attribut, das für ""Konferenzbeitrag"" gilt.
5. ""gelesen von Meta-Gutachter"" ist ein Attribut, das für ""Konferenzbeitrag"" gilt.
6. ""geschrieben von"" ist ein Attribut, das für ""Konferenzbeitrag"" gilt.
7. ""hat Beitrag eingesendet"" ist ein Attribut, das für ""Konferenzbeitrag"" gilt.
8. ""hat Beitrag geschrieben"" ist ein Attribut, das für ""Konferenzbeitrag"" gilt.
9. ""hat Beitrag mitverfasst"" ist ein Attribut, das für ""Konferenzbeitrag"" gilt.
10. ""hat Gebot erhalten"" ist ein Attribut, das für ""Konferenzbeitrag"" gilt.
11. ""hat Gegenstandsbereich"" ist ein Attribut, das für ""Konferenzbeitrag"" gilt.
12. ""hat ID"" ist ein Attribut, das für ""Konferenzbeitrag"" gilt.
13. ""hat Papier abgelehnt"" ist ein Attribut, das für ""Konferenzbeitrag"" gilt.
14. ""hat Papier gelesen"" ist ein Attribut, das für ""Konferenzbeitrag"" gilt.
15. ""hat Titel"" ist ein Attribut, das für ""Konferenzbeitrag"" gilt.
16. ""hat akzeptiert"" ist ein Attribut, das für ""Konferenzbeitrag"" gilt.
17. ""ist entschieden worden als"" ist ein Attribut, das für ""Konferenzbeitrag"" gilt.
18. ""ist zugeordnet worden"" ist ein Attribut, das für ""Konferenzbeitrag"" gilt.
19. ""mitverfasst von"" ist ein Attribut, das für ""Konferenzbeitrag"" gilt.
20. ""steht in Interessen-Konflikt mit Beitrag"" ist ein Attribut, das für ""Konferenzbeitrag"" gilt.
21. ""vollständiger Konferenzbeitrag"" ist eine Unterklasse von ""Konferenzbeitrag"".
22. ""zugewiesen zu"" ist ein Attribut, das für ""Konferenzbeitrag"" gilt.
23. ""Konferenzbeitrag"" ist eine Unterklasse von ""Dokument"" und steht im Widerspruch zu ""Gutachten"". 

These phrases summarize the relationships and classifications defined in the RDF triples.The subgraph describes a class hierarchy and restrictions related to the concept of ""Konferenzbeitrag"" (conference contribution). 

1. **Class Definition**: ""Konferenzbeitrag"" is defined as a subclass of several restrictions, indicating that it has specific properties and constraints.

2. **Restrictions**:
   - The first restriction specifies that there must be at least one instance of a property defined as ""gelesen von Gutachter"" (read by reviewer), meaning that every conference contribution must be reviewed by at least one reviewer.
   - The second restriction indicates that there can be at most one instance of the property ""ist entschieden worden als"" (has been decided as), suggesting that each conference contribution can only have one decision associated with it.
   - The third restriction also states that there can be at most one instance of the property ""gelesen von Meta-Gutachter"" (read by meta-reviewer), meaning that each conference contribution can only be reviewed by one meta-reviewer.

3. **Cardinality Constraints**:
   - The restrictions impose cardinality constraints on the properties, with some requiring a minimum of one instance and others allowing a maximum of one instance.

In summary, the ""Konferenzbeitrag"" class is characterized by specific properties related to its review process, with defined minimum and maximum cardinalities for these properties to ensure proper evaluation and decision-making."
http://cmt_de#c-1092336-2330592,Source,Class,entscheidung,"In the context of a conference, ""Entscheidung"" is a German word that translates to ""decision"" in English. It often refers to the process of making choices or reaching conclusions during discussions, presentations, or deliberations at the conference. This could involve deciding on key topics, strategies, or actions to be taken based on the insights shared by participants.","Here are the verbalized phrases based on the provided triples:

1. ""Akzeptanz"" is a subclass of ""Entscheidung.""
2. ""Zurückweisung"" is a subclass of ""Entscheidung.""
3. ""ist entschieden worden als"" has a range of ""Entscheidung.""
4. ""Entscheidung"" is disjoint with ""Dokument,"" ""Gebot,"" ""Konferenz,"" ""Person,"" ""Programm-Komitee,"" and ""Präferenz."""
http://cmt_de#c-1105419-5848060,Source,Class,zur ckweisung,"In the context of a conference, ""Zurückweisung"" is a German term that translates to ""rejection"" in English. It typically refers to the dismissal of a paper, proposal, or submission that has been evaluated by a committee or reviewers. This could involve a decision not to accept a presentation, workshop, or research contribution for the conference program. The term may also imply a critique or feedback provided to the authors regarding the reasons for the rejection.","The term ""Zurückweisung"" is a subclass of ""Entscheidung"" and is disjoint with ""Akzeptanz."""
http://cmt_de#c-1253837-4887221,Source,Class,vollst ndiger konferenzbeitrag,"The term ""vollständiger Konferenzbeitrag"" translates to ""full conference paper"" in English. In the context of a conference, it refers to a comprehensive research paper that is submitted for presentation at the event. This type of contribution typically includes detailed research findings, methodologies, discussions, and conclusions, and is often subject to a peer-review process before being accepted for presentation. Full conference papers are usually published in the conference proceedings, contributing to the academic discourse in the relevant field.","The phrase can be verbalized as: ""A 'vollständiger Konferenzbeitrag' is a subclass of 'Konferenzbeitrag'."""
http://cmt_de#c-2036030-6478102,Source,Class,gutachten,"In the context of a conference, ""Gutachten"" refers to a formal report or expert opinion that evaluates a specific subject, often based on research or analysis. It is typically used to provide insights, recommendations, or assessments related to the topics being discussed at the conference. This could involve reviewing scientific studies, legal matters, or technical evaluations, depending on the focus of the event.","Here are the verbalized phrases based on the provided triples:

1. ""Konferenzbeitrag"" is disjoint with ""Gutachten.""
2. ""Meta-Gutachten (Gutachten über ein Gutachten)"" is a subclass of ""Gutachten.""
3. The property ""geschrieben von"" has a domain of ""Gutachten.""
4. The property ""hat Gutachten geschrieben"" has a range of ""Gutachten.""
5. The property ""hat die Zeit des Begutachtens beendet"" has a range of ""Gutachten.""
6. ""Gutachten"" is a subclass of ""Dokument."""
http://cmt_de#c-2276280-7516043,Source,Class,vorsitzender,"In the context of a conference, ""Vorsitzender"" is a German term that translates to ""chairperson"" or ""chair"" in English. It refers to the individual who presides over the conference, leading discussions, managing the agenda, and ensuring that the proceedings run smoothly. The Vorsitzender is responsible for facilitating communication among participants and may also represent the conference in official capacities.","The term ""Vorsitzender"" is a subclass of ""Person.""The subgraph describes a structure related to roles and relationships within a conference or committee setting. 

1. There is a class defined, which is represented by the identifier '_:N2479a76d35974207a1a60c000a405f99'.
2. This class is associated with a domain that indicates a conflict of interest with a contribution, represented by the identifier '_:Nbfeefb4781774ad6b123bdeb9ff8940e'.
3. Within this structure, there are several roles identified:
   - The first role is ""Gutachter"" (Reviewer).
   - The second role is ""Vorsitzender der Konferenz"" (Chairperson of the Conference), which is equivalent to the class defined earlier.
   - Another role is ""Vorsitzender des Programm-Komitees"" (Chairperson of the Program Committee).
   - Additionally, there is a role for ""Verfasser"" (Author).
   - There is also a role for ""stellvertretender Vorsitz"" (Deputy Chair).
4. The relationships between these roles are organized in a sequence, where each role can have a ""first"" and ""rest"" component, indicating a hierarchy or order of roles.
5. The identifier '_:Nbfeefb4781774ad6b123bdeb9ff8940e' is classified as a class and is part of a union with another identifier '_:N2d5e6d3dd53c4d73ac8d3c76a604d19d', which includes the role of ""Vorsitzender"" (Chairperson) and continues with the ""rest"" leading to ""Gutachter"".
6. The identifier '_:N9d746376a2eb462c942c3fb9446e74be' also has a ""rest"" leading to the ""Vorsitzender des Programm-Komitees"".

In summary, the subgraph outlines a structured hierarchy of roles within a conference or committee, highlighting the relationships and potential conflicts of interest associated with contributions."
http://cmt_de#c-2310106-7377133,Source,Class,akzeptanz,"In the context of a conference, ""Akzeptanz"" refers to the acceptance or approval of ideas, concepts, or practices presented during the event. It can pertain to how well participants embrace new information, methodologies, or technologies discussed at the conference. High levels of Akzeptanz among attendees can indicate a successful exchange of knowledge and a willingness to implement or support the ideas shared.","1. ""Zurückweisung"" is disjoint with ""Akzeptanz.""
2. ""Akzeptanz"" is a subclass of ""Entscheidung."""
http://cmt_de#c-2600954-3812137,Source,Class,administrator,"In the context of a conference, an ""Administrator"" typically refers to an individual responsible for managing and organizing the event. This role may involve coordinating logistics, overseeing registration, handling communications, and ensuring that all aspects of the conference run smoothly. The administrator may also be involved in budgeting, scheduling sessions, and liaising with speakers and attendees to facilitate a successful conference experience.","Here are the verbalized phrases based on the provided RDF triples:

1. Die Beitragszuordnung wurde abgeschlossen von einem Administrator.
2. Die Beitragszuordnungs-Software wurde ausgeführt von einem Administrator.
3. Details wurden eingefügt von einem Administrator.
4. Die Gebotsphase wurde gestartet von einem Administrator.
5. Kriterien zu Gutachten wurden eingefügt von einem Administrator.
6. Der Papierausdruck des Mailing-Manifests wurde gedruckt von einem Administrator.
7. Ein Beitrag wurde abgewiesen von einem Administrator.
8. Ein Beitrag wurde akzeptiert von einem Administrator.
9. Der Administrator bestimmt die maximale Anzahl an zugewiesenen Beiträgen.
10. Der Administrator druckt den Papierausdruck des Mailing-Manifests.
11. Der Administrator hat Details eingefügt in Bezug auf einen bestimmten Beitrag.
12. Der Administrator hat Kriterien zu Gutachten eingefügt.
13. Der Administrator hat ein Papier abgelehnt.
14. Der Administrator hat einen Beitrag akzeptiert.
15. Der Administrator hat die Beitrags-Zuordnungssoftware ausgeführt.
16. Der Administrator hat die Gebotsphase gestartet.
17. Der Administrator hat die Zuordnung der Beiträge abgeschlossen.
18. Der Administrator hat einen Beitrag hinzugefügt.
19. Der Administrator hat ein virtuelles Treffen veranlasst.
20. Der Administrator hat einen Beitrag zugewiesen.
21. Ein Beitrag wurde hinzugefügt von einem Administrator.
22. Ein virtuelles Treffen wurde veranlasst von einem Administrator.
23. Ein Beitrag wurde zugewiesen von einem Administrator.
24. Der Administrator ist ein Benutzer. 

These phrases encapsulate the relationships and actions described in the RDF triples."
http://cmt_de#c-2636048-9047841,Source,Class,gebot,"In the context of a conference, ""Gebot"" is a German term that translates to ""command"" or ""requirement"" in English. It can refer to a guideline or rule that participants are expected to follow during the event. For example, it might pertain to behavioral expectations, presentation protocols, or other formalities that ensure the conference runs smoothly and effectively.","Here are the verbalized phrases based on the provided triples:

1. ""Entscheidung is disjoint with Gebot.""
2. ""The property 'abgeglichen von' has a domain of Gebot.""
3. ""The property 'hat Gebot erhalten' has a range of Gebot.""
4. ""The property 'hat abgeglichen' has a range of Gebot.""
5. ""Gebot is disjoint with Dokument, Konferenz, Person, Programm-Komitee, and Präferenz."""
http://cmt_de#c-3386094-8929437,Source,Class,dokument,"In the context of a conference, ""Dokument"" typically refers to a document or written material that is presented, shared, or discussed during the event. This could include research papers, presentations, agendas, minutes, or any other formal written content that contributes to the conference proceedings. It serves as a record of the information shared and can be used for reference by attendees.","Here are the verbalized phrases based on the provided triples:

1. ""Entscheidung"" is disjoint with ""Dokument.""
2. ""Gebot"" is disjoint with ""Dokument.""
3. ""Gutachten"" is a subclass of ""Dokument.""
4. ""Konferenzbeitrag"" is a subclass of ""Dokument.""
5. The property ""hat Interessenskonflikt in Bezug auf"" has a range of ""Dokument.""
6. ""Dokument"" is disjoint with ""Konferenz,"" ""Person,"" ""Programm-Komitee,"" and ""Präferenz."""
