entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://cmt_cz#c-0075317-8076564,Source,Class,konference,"The term ""konference"" appears to be a variation or misspelling of ""conference."" In the context of ""conference,"" it refers to a formal meeting or gathering where individuals come together to discuss specific topics, share information, and collaborate. Conferences can be academic, professional, or industry-specific, and they often include presentations, workshops, and networking opportunities.","Here are the verbalized phrases based on the provided triples:

1. ""Akceptovány příspěvky konference jsou v doméně konference.""
2. ""Brožury jsou vytištěny kým v doméně konference.""
3. ""Datum konference je v doméně konference.""
4. ""Dokončit přidělení příspěvků konference je v rozsahu konference.""
5. ""Konference má recenzí na článek v doméně konference.""
6. ""Logo konference má URL v doméně konference.""
7. ""Má člena konference v doméně konference.""
8. ""Nástroj pro přídělení příspěvků je spuštěn kým v doméně konference.""
9. ""Podrobnosti jsou vloženy kým v doméně konference.""
10. ""Přidělení příspěvků je dokončeno kým v doméně konference.""
11. ""Spustil přidělování článků konference je v rozsahu konference.""
12. ""Tisk brožur konference je v rozsahu konference.""
13. ""Umožnit virtuální schůzku konferenci je v rozsahu konference.""
14. ""Virtuální schůzka konference je umožněna kým v doméně konference.""
15. ""Vložit kritéria recenze je v rozsahu konference.""
16. ""Vložit podrobnosti konference je v rozsahu konference.""
17. ""Vyjadření zájmu je spuštěno kým v doméně konference.""
18. ""Webová stránka konference má URL v doméně konference.""
19. ""Zadání kritérií recenzí je kým v doméně konference.""
20. ""Zahájil vyjadřování zájmu recenzentů je v rozsahu konference.""
21. ""Člen konference je v rozsahu konference.""
22. ""Konference je disjunktní s dokumentem, osobou, preferencí, programovým výborem, rozhodnutím a vyjádřením zájmu."" 

These phrases summarize the relationships and properties defined in the triples.The subgraph describes a conceptual framework involving a class and its restrictions related to a specific domain. 

1. **Class Definition**: There is a class that is defined as having the type ""Class."" This class is associated with the property ""má jméno"" (which translates to ""has a name"") and is required to have exactly one instance of this property.

2. **Restrictions**: There are two restrictions defined for this class:
   - The first restriction specifies that the property ""má jméno"" must have a cardinality of 1, meaning each instance of the class must have exactly one name.
   - The second restriction pertains to the property ""datum konference"" (which translates to ""date of the conference"") and also requires a minimum cardinality of 1.

3. **Subclass Relationships**: The class ""konference"" (which translates to ""conference"") is defined as a subclass of the restrictions mentioned above. This means that any instance of ""konference"" must adhere to the restrictions set forth by the properties ""má jméno"" and ""datum konference.""

4. **Property Relationships**: The property ""konference má recenzí na článek"" (which translates to ""conference has reviews on an article"") is also associated with a restriction that requires it to have a cardinality of 1.

5. **Nested Structure**: The property ""konference"" has a nested structure where it is defined to have a relationship with ""osoba"" (which translates to ""person""). This relationship is part of a list structure, indicating that there may be multiple persons associated with a conference, but the first element in this list is ""osoba.""

In summary, the subgraph outlines a structured definition of a class related to conferences, detailing the required properties and their cardinalities, as well as the relationships between these properties and other classes."
http://cmt_cz#c-0128535-7854643,Source,Class,autor kter nen recenzent,"In the context of a conference, ""autor který není recenzent"" translates to ""author who is not a reviewer."" This typically refers to a situation where an individual has submitted a paper or presentation for consideration but is not involved in the peer review process for other submissions. This distinction is important in academic conferences to ensure that the review process remains unbiased and that authors do not have a conflict of interest when evaluating the work of their peers.","The phrase can be verbalized as follows:

""The class of 'authors who are not reviewers' is a subclass of 'authors' and is disjoint with both 'reviewers' and 'members of the program committee'."""
http://cmt_cz#c-0452574-2080354,Source,Class,dokument,"In the context of a conference, ""dokument"" typically refers to a document or written material that is shared or presented during the event. This could include papers, presentations, reports, or any other form of written content that provides information, outlines discussions, or supports the topics being addressed at the conference. It serves as a resource for attendees to reference and engage with the material being discussed.","Here are the verbalized phrases based on the provided triples:

1. The term ""konference"" is disjoint with the term ""dokument.""
2. The phrase ""má konflikt zájmu s příspěvkem"" has a range that includes the term ""dokument.""
3. The term ""recenze"" is a subclass of the term ""dokument.""
4. The term ""článek"" is a subclass of the term ""dokument.""
5. The term ""dokument"" is disjoint with the terms ""osoba,"" ""preference,"" ""programový výbor,"" ""rozhodnutí,"" and ""vyjádření zájmu."""
http://cmt_cz#c-0578733-1857190,Source,Class,osoba,"In the context of a conference, ""osoba"" is a term that means ""person"" in several Slavic languages, including Polish and Croatian. It may refer to an individual attending the conference, such as a speaker, participant, or organizer. Understanding the term in this context emphasizes the importance of personal interactions and networking among attendees.","Here are the verbalized phrases based on the provided triples:

1. The class ""dokument"" is disjoint with the class ""osoba.""
2. The class ""externí recenzent"" is a subclass of the class ""osoba.""
3. The class ""konference"" is disjoint with the class ""osoba.""
4. The property ""má email"" has the domain ""osoba.""
5. The property ""má konflikt zájmu s příspěvkem"" has the domain ""osoba.""
6. The class ""osoba s účastí na konferenci"" is a subclass of the class ""osoba.""
7. The class ""předseda"" is a subclass of the class ""osoba.""
8. The class ""uživatel"" is a subclass of the class ""osoba.""
9. The class ""člen programového výboru"" is a subclass of the class ""osoba.""
10. The class ""osoba"" is disjoint with the classes ""preference,"" ""programový výbor,"" ""rozhodnutí,"" and ""vyjádření zájmu.""The subgraph describes a structure related to a conference. It indicates that the conference is named ""konference"" and is the first element in a sequence. Additionally, there is a class that encompasses this conference, identified by a unique identifier. This class is defined as a union of the conference itself. The sequence also includes a second element, which is ""osoba,"" and it is noted that there are no further elements following ""osoba"" in this particular sequence."
http://cmt_cz#c-0754816-7898339,Source,Class,preference,"In the context of a conference, ""preference"" refers to the choices or inclinations of attendees regarding various aspects of the event. This could include preferences for specific sessions or topics they wish to attend, preferred speakers, networking opportunities, or even logistical aspects such as meal options or seating arrangements. Understanding these preferences can help organizers tailor the conference experience to better meet the needs and interests of participants.","1. The class ""dokument"" is disjoint with the class ""preference.""
2. The class ""konference"" is disjoint with the class ""preference.""
3. The class ""osoba"" is disjoint with the class ""preference.""
4. The class ""preference"" is disjoint with the classes ""programový výbor,"" ""rozhodnutí,"" and ""vyjádření zájmu."""
http://cmt_cz#c-0978466-4762816,Source,Class,p edm tn oblast,"In the context of a conference, ""předmětná oblast"" translates to ""subject area"" or ""topic area."" It refers to the specific field or domain of discussion that the conference is focused on. This could encompass various themes, issues, or topics that are relevant to the conference's objectives and the interests of the participants.","The phrase can be verbalized as: ""The subject matter pertains to the thematic area."""
http://cmt_cz#c-1109430-9892691,Source,Class,p edseda,"In the context of a conference, ""předseda"" is a Czech term that translates to ""chairman"" or ""chairperson"" in English. It refers to the individual who presides over the conference, leading discussions, managing the agenda, and ensuring that the proceedings run smoothly.","The phrase can be verbalized as: ""The class 'předseda' is a subclass of the class 'osoba'.""The subgraph describes a structured relationship among various entities, primarily focusing on roles and classifications within a conference or organizational context. 

1. The term ""předseda"" (which translates to ""chairperson"") is identified as an equivalent class to another entity, indicating that they share the same role or function.
2. There are two main roles highlighted: ""předseda konference"" (conference chair) and ""předseda programového výboru"" (chair of the program committee), both of which are linked to the role of ""předseda.""
3. The entity ""autor"" (author) is associated with another role, while ""recenzent"" (reviewer) is also identified as a distinct role.
4. The subgraph includes a union of classes, suggesting that there are multiple entities or roles that can be grouped together under a broader classification.
5. The phrase ""označil konflikt zájmu"" (marked conflict of interest) is linked to a specific domain, indicating that this concept is relevant to the class defined in the graph.
6. The structure of the graph shows a hierarchy where each role can have a ""first"" and ""rest"" relationship, indicating a sequence or list of roles.

Overall, the subgraph outlines a framework of roles within a conference setting, emphasizing the relationships and classifications of various positions such as chairpersons, authors, and reviewers, while also addressing the concept of conflicts of interest within this context."
http://cmt_cz#c-1435667-7309116,Source,Class,dn l nek,"In the context of a conference, ""řádný článek"" translates to ""regular article"" in English. It typically refers to a formal written piece that is presented or published as part of the conference proceedings. This could include research findings, theoretical discussions, or reviews that contribute to the academic discourse within the conference's theme. Regular articles are usually peer-reviewed and are expected to meet specific standards of quality and relevance to the conference audience.","The phrase can be verbalized as: ""The class 'řádný článek' is a subclass of the class 'článek'."""
http://cmt_cz#c-1710596-1174205,Source,Class,vyj d en z jmu,"""Vyjádření zájmu"" translates to ""expression of interest"" in English. In the context of a conference, it typically refers to a formal indication from individuals or organizations that they are interested in participating, attending, or contributing to the event. This could involve submitting proposals for presentations, workshops, or other forms of engagement, signaling their intent to be involved in the conference activities.","Here are the verbalized phrases based on the provided triples:

1. ""Dokument is disjoint with vyjádření zájmu.""
2. ""Konference is disjoint with vyjádření zájmu.""
3. ""Má vyjádření zájmu has a range of vyjádření zájmu.""
4. ""Osoba is disjoint with vyjádření zájmu.""
5. ""Preference is disjoint with vyjádření zájmu.""
6. ""Upravit vyjádření zájmu has a range of vyjádření zájmu.""
7. ""Vyjádření zájmu upraveno has a domain of vyjádření zájmu.""
8. ""Vyjádření zájmu is disjoint with programový výbor.""
9. ""Vyjádření zájmu is disjoint with rozhodnutí."""
http://cmt_cz#c-2063214-6676250,Source,Class,spolup edseda,"In the context of a conference, ""spolupředseda"" is a Czech term that translates to ""co-chair"" in English. It refers to an individual who shares the leadership responsibilities of the conference with another chairperson. The co-chair typically assists in organizing the event, facilitating discussions, and ensuring that the conference runs smoothly alongside the main chair.","The term ""spolupředseda"" is a subclass of ""osoba s účastí na konferenci"" and is disjoint with ""předseda konference.""The subgraph describes a hierarchical structure involving leadership roles within a conference and its program committee. 

1. The first role mentioned is the ""předseda konference"" (chair of the conference), which is linked to another role, the ""předseda programového výboru"" (chair of the program committee).
2. The ""předseda"" (chair) is defined as an equivalent class to a specific type of role that includes both the conference chair and the program committee chair.
3. The structure indicates that the ""předseda konference"" is the first in a sequence, followed by the ""předseda programového výboru,"" which is the last in this sequence.
4. Additionally, there is a role identified as ""spolupředseda"" (co-chair), which is also part of this classification and is positioned before the ""předseda konference"" in the hierarchy.

Overall, the subgraph outlines the relationships and order of leadership roles within a conference setting, emphasizing the roles of the conference chair, program committee chair, and co-chair."
