entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://cmt_en#c-0430420-0075813,Source,Class,abstract of paper,"In the context of a conference, an ""abstract of paper"" refers to a concise summary of a research paper or presentation that outlines the main objectives, methods, results, and conclusions of the work. It is typically a brief paragraph or a few hundred words long and serves to give conference attendees a quick overview of the content and significance of the research. Abstracts are often used for submission to conferences to help organizers determine the relevance and quality of the work for inclusion in the program. They also assist participants in deciding which sessions to attend based on their interests.","The phrase can be verbalized as: ""An abstract of a paper is a subclass of paper."""
http://cmt_en#c-1611583-0668331,Source,Class,preference,"In the context of a conference, ""preference"" refers to the choices or inclinations of attendees regarding various aspects of the event. This could include preferences for specific sessions or topics they wish to attend, preferred speakers, networking opportunities, or even logistical aspects such as meal options or seating arrangements. Understanding attendee preferences can help organizers tailor the conference experience to better meet the needs and interests of participants, ultimately enhancing engagement and satisfaction.","The term ""preference"" is disjoint with the following concepts: ""bid,"" ""conference,"" ""decision,"" ""document,"" ""person,"" and ""program committee."" This means that ""preference"" does not overlap in meaning or definition with any of these terms."
http://cmt_en#c-1819859-8467443,Source,Class,co author,"In the context of a conference, a co-author refers to an individual who collaborates with one or more authors to contribute to a research paper, presentation, or other scholarly work that will be presented at the conference. Co-authors share responsibility for the content, findings, and conclusions of the work, and their contributions may include conducting research, writing, editing, or providing expertise in a specific area. Acknowledging co-authors is important as it reflects the collaborative nature of academic research and gives credit to all individuals involved in the creation of the work.","1. The term ""co-write"" is associated with the domain of ""co-author.""
2. The phrase ""co-written by"" pertains to the range of ""co-author.""
3. The category ""co-author"" is a subclass of ""author."""
http://cmt_en#c-1998894-5296562,Source,Class,meta reviewer,"In the context of a conference, a ""meta-reviewer"" is an individual who oversees the review process of submitted papers or proposals. Their role typically involves evaluating the reviews provided by other reviewers, ensuring that the feedback is fair, constructive, and thorough. The meta-reviewer may also synthesize the reviews to provide an overall assessment of the submission, helping the program committee make informed decisions about acceptance or rejection. Essentially, the meta-reviewer acts as a quality control measure in the peer review process, ensuring that the evaluation is consistent and meets the conference's standards.","1. The range of ""read by meta-reviewer"" is defined as ""meta-reviewer.""
2. ""Meta-reviewer"" is a subclass of ""reviewer."""
http://cmt_en#c-2074692-1147118,Source,Class,author,"In the context of a conference, an ""author"" typically refers to an individual who has created or contributed to a piece of work, such as a research paper, presentation, or article, that is being shared or discussed at the event. Authors are often responsible for the content and findings presented, and they may participate in discussions, answer questions, and engage with attendees to share their insights and expertise on the subject matter.","Here are the verbalized phrases based on the provided RDF triples:

1. An ""author, who is not a reviewer"" is a subclass of ""author.""
2. A ""co-author"" is a subclass of ""author.""
3. The action ""submit paper"" is associated with the domain of ""author.""
4. The action ""write paper"" is associated with the domain of ""author.""
5. The term ""written by"" has a range that includes ""author.""
6. An ""author"" is a subclass of both ""member of conference"" and ""user.""The subgraph describes a structured relationship involving various entities related to a review process. 

1. There is a primary entity, which we can refer to as ""Entity A,"" that has a relationship labeled ""rest"" with another entity, ""Entity B.""
2. ""Entity B"" is identified as the ""first"" reviewer in this context.
3. There is another entity, ""Entity C,"" which is classified as a ""Class"" type.
4. The term ""mark conflict of interest"" is associated with ""Entity C,"" indicating that it falls within the domain of this class.
5. ""Entity A"" also identifies a ""first"" chairman, suggesting a leadership role in the review process.
6. Additionally, there is an entity referred to as ""Entity D,"" which is identified as the ""first"" author.
7. ""Entity D"" has a relationship labeled ""rest"" with ""Entity A,"" indicating a connection back to the primary entity.
8. ""Entity B"" has a ""rest"" relationship with a value of ""nil,"" which may imply that there are no further connections or entities associated with it.
9. Finally, ""Entity C"" is described as a union of ""Entity D,"" suggesting that it encompasses or is related to the author entity.

In summary, the subgraph outlines a review process involving a chairman, a reviewer, and an author, with a focus on the classification of conflicts of interest within a specific domain."
http://cmt_en#c-2079829-2275666,Source,Class,conference chair,"In the context of a conference, a conference chair is an individual responsible for overseeing the organization and management of the event. This role typically involves coordinating the conference program, selecting and inviting speakers, managing sessions, and ensuring that the event runs smoothly. The conference chair may also facilitate discussions, moderate panels, and represent the conference to attendees and stakeholders. Essentially, the conference chair plays a crucial leadership role in shaping the overall experience and success of the conference.","The phrase can be verbalized as follows:

""The class 'conference chair' is a subclass of the class 'member of conference' and is disjoint with the class 'associated chair'.""The subgraph describes a hierarchical structure related to roles within a conference or committee setting. 

At the top level, there is a class identified as ""chairman,"" which is equivalent to another class represented by a node that is defined as a union of various roles. This union class includes the role of ""conference chair"" as its first element. 

Following this, the union class also includes another role, ""associated chair,"" which is linked to a subsequent node that further specifies the role of ""chair of program committee."" 

The relationships between these roles are structured in a way that indicates a sequence or list, where ""conference chair"" is the first role, followed by ""associated chair,"" and then ""chair of program committee,"" which concludes with a nil value, indicating the end of the list. 

In summary, the subgraph outlines a classification of roles related to chairmanship in a conference context, detailing their relationships and hierarchy."
http://cmt_en#c-2282104-8815481,Source,Class,meta review,"In the context of a conference, a meta-review refers to a comprehensive evaluation of multiple reviews of a particular submission, such as a research paper or presentation proposal. This process typically involves a senior reviewer or program committee member who synthesizes the feedback from various reviewers to provide an overarching assessment of the submission's quality, relevance, and contribution to the field. The meta-review helps the conference organizers make informed decisions about which submissions to accept or reject, ensuring a fair and thorough review process.","The phrase can be verbalized as: ""A meta-review is a subclass of review."""
http://cmt_en#c-3017177-8896532,Source,Class,bid,"In the context of a conference, ""bid"" typically refers to a formal proposal or offer made by an organization or group to host the event. This can involve outlining the facilities, resources, and support they can provide, as well as the benefits of holding the conference in their location. The bid process often includes competing with other potential hosts to secure the opportunity to organize the conference.","Here are the verbalized phrases based on the provided triples:

1. The term ""adjust"" is associated with the range of ""bid.""
2. The term ""adjusted by"" is defined within the domain of ""bid.""
3. The term ""has bid"" is associated with the range of ""bid.""
4. The term ""preference"" is disjoint from ""bid.""
5. The term ""bid"" is disjoint from ""conference,"" ""decision,"" ""document,"" ""person,"" and ""program committee."""
http://cmt_en#c-3027646-3365825,Source,Class,conference,"In the context of ""conference,"" it refers to a formal meeting or gathering where individuals come together to discuss specific topics, share information, and collaborate. Conferences can vary in size and purpose, often involving presentations, workshops, and networking opportunities among participants who may share a common interest or profession.","Here are the verbalized phrases based on the provided triples:

1. A conference accepts hardcopy submissions.
2. A bid is disjoint with a conference.
3. Details are entered by a conference.
4. A conference enables virtual meetings.
5. A conference enters details on various topics.
6. A conference enters review criteria.
7. A conference finalizes paper assignments.
8. A hardcopy of mailing manifests is printed by a conference.
9. A conference has a date.
10. A conference has a logo at a specified URL.
11. A conference has members.
12. A conference has a website at a specified URL.
13. A member is part of a conference.
14. A paper assignment is finalized by a conference.
15. Paper assignment tools are run by a conference.
16. Preference is disjoint with a conference.
17. A conference prints hardcopy mailing manifests.
18. Review criteria are entered by a conference.
19. Reviewer bidding is started by a conference.
20. Reviews per paper are managed by a conference.
21. Paper assignment tools are run by a conference.
22. Reviewer bidding is started by a conference.
23. A virtual meeting is enabled by a conference.
24. A conference is disjoint with a decision, document, person, and program committee.The subgraph describes a set of restrictions and relationships concerning the classes and properties related to conferences and persons in a semantic framework.

1. There are two main restrictions defined:
   - The first restriction specifies that for the property ""has date,"" there must be at least one instance (minCardinality of 1).
   - The second restriction pertains to the property ""reviews per paper,"" which also requires a minimum cardinality of 1.

2. The class ""conference"" is defined as a subclass of two restrictions and a class that requires a name. Specifically, it is a subclass of:
   - A restriction that mandates at least one review per paper.
   - A restriction that requires at least one date.
   - A class that is defined as a union of instances that include the first element, which is a person.

3. The property ""has name"" is associated with the domain of a class that is defined as a union of the instances related to conferences.

4. The structure indicates that a conference must have at least one associated person and must also have a name, along with the specified restrictions on dates and reviews.

In summary, the subgraph outlines the requirements for a conference entity, emphasizing the need for associated persons, names, and specific cardinality constraints on its properties."
http://cmt_en#c-3355504-9442806,Source,Class,administrator,"In the context of a conference, an ""administrator"" typically refers to an individual responsible for managing and organizing various aspects of the event. This can include tasks such as coordinating schedules, handling registrations, overseeing logistics, managing budgets, and ensuring that the conference runs smoothly. The administrator plays a crucial role in facilitating communication among participants, speakers, and vendors, and may also be involved in post-conference evaluations and follow-ups.","Here are the verbalized phrases based on the provided RDF triples:

1. An administrator is accepted by someone.
2. An administrator accepts something.
3. An administrator can add something.
4. Something is added by an administrator.
5. An administrator can assign something.
6. Something is assigned by an admin.
7. Details are entered by an administrator.
8. An administrator can enable a virtual meeting.
9. An administrator can enter details on something.
10. An administrator can enter review criteria.
11. An administrator can finalize a paper assignment.
12. A hardcopy of mailing manifests is printed by an administrator.
13. A paper assignment is finalized by an administrator.
14. Paper assignment tools are run by an administrator.
15. An administrator can print hardcopy mailing manifests.
16. An administrator can reject a paper.
17. A paper is rejected by an administrator.
18. Review criteria are entered by an administrator.
19. Reviewer bidding is started by an administrator.
20. An administrator can run paper assignment tools.
21. An administrator can set the maximal number of assigned papers.
22. An administrator can start reviewer bidding.
23. A virtual meeting is enabled by an administrator.
24. An administrator is a subclass of a user."
