entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://cmt_nl#c-0120110-7787945,Source,Class,onderwerp,"In the context of a conference, ""onderwerp"" is a Dutch word that translates to ""subject"" or ""topic"" in English. It refers to the main theme or focus of discussion during the conference sessions, presentations, or workshops.","The phrase can be verbalized as: ""The property 'heeft onderwerp' has a range of 'onderwerp'."""
http://cmt_nl#c-0236412-8230972,Source,Class,recensent,"In the context of a conference, ""recensent"" typically refers to a person who reviews or critiques a work, such as a paper or presentation. This individual is responsible for providing feedback, assessing the quality of the content, and offering suggestions for improvement. The role of a recensent is crucial in academic and professional settings, as it helps ensure that the work presented meets certain standards and contributes meaningfully to the field.","Here are the verbalized phrases based on the provided triples:

1. ""Aangepast door"" has a range of ""recensent.""
2. ""Artikel gelezen"" has a domain of ""recensent.""
3. ""Gelezen door reviewer"" has a range of ""recensent.""
4. ""Geschreven door"" has a range of ""recensent.""
5. ""Is toegekend"" has a domain of ""recensent.""
6. ""Metarecensent"" is a subclass of ""recensent.""
7. ""Pas bod aan"" has a domain of ""recensent.""
8. ""Schrijf recentie"" has a domain of ""recensent.""
9. ""Toegewezen aan"" has a range of ""recensent.""
10. ""Toegewezen door beheerder"" has a domain of ""recensent.""
11. ""Toegewezen door recencent"" has a range of ""recensent.""
12. ""Wijs externe recencent toe"" has a domain of ""recensent.""
13. ""Wijs recencent toe"" has a range of ""recensent.""
14. ""Recensent"" is a subclass of ""conferentielid"" and ""gebruiker.""
15. ""Recensent"" is disjoint with ""auteur niet-recensent"" and ""externe recencent."" 

These phrases summarize the relationships and classifications defined in the RDF triples.The subgraph describes a structure related to a class that represents a collection of roles or positions. 

1. There is a class identified as a ""Class"" which serves as a type for the collection.
2. This class contains a union of two lists. The first list includes the role of ""recensent"" (reviewer) and the second list includes the role of ""voorzitter"" (chairperson).
3. The list of roles is linked together, with ""voorzitter"" being the first element followed by ""auteur"" (author) and ""recensent"".
4. Additionally, there is a specific term ""markeer belangenverstrengeling"" (mark conflicts of interest) that is associated with the domain of this class.

In summary, the subgraph outlines a class that encompasses various roles, including a chairperson, author, and reviewer, while also addressing the concept of marking conflicts of interest within its domain."
http://cmt_nl#c-0406770-7176287,Source,Class,voorzitter,"In the context of a conference, ""voorzitter"" is a Dutch term that translates to ""chairperson"" or ""chair"" in English. It refers to the individual who presides over the conference, leading discussions, managing the agenda, and ensuring that the proceedings run smoothly. The voorzitter is responsible for facilitating communication among participants and may also play a role in decision-making processes during the event.","The phrase can be verbalized as: ""The class of 'voorzitter' is a subclass of the class 'persoon'.""The subgraph describes a hierarchy of roles and classifications related to a conference or academic setting. 

1. **Roles and Titles**: 
   - The first role mentioned is ""conferentievoorzitter"" (conference chair), which is part of a broader classification that includes ""medevoorzitter"" (co-chair), ""voorzitter programmacommissie"" (chair of the program committee), and ""voorzitter"" (chair). 
   - Additionally, there are roles such as ""auteur"" (author) and ""recensent"" (reviewer) that are also included in this structure.

2. **Classifications**: 
   - The roles are categorized under two main classes: one for the conference chair and related roles, and another for the concept of ""markeer belangenverstrengeling"" (marking conflicts of interest), which is also classified as a type.

3. **Relationships**: 
   - The relationships between these roles and classifications are defined through various connections, such as ""first"" and ""rest,"" indicating a sequence or hierarchy. 
   - The ""unionOf"" relationships suggest that certain roles can be grouped together under a single classification, indicating that they share common characteristics or functions.

4. **Equivalence**: 
   - The role of ""voorzitter"" is noted to be equivalent to the broader class of the conference chair, indicating that these roles can be considered interchangeable in this context.

Overall, the subgraph outlines a structured representation of roles within a conference setting, highlighting their relationships and classifications, as well as the potential for overlap among these roles."
http://cmt_nl#c-0744921-3144577,Source,Class,coauteur,"In the context of a conference, ""coauteur"" refers to a co-author, which is an individual who collaborates with one or more authors in the creation of a paper, presentation, or research project. Coauthors share responsibility for the content and contributions of the work, and their collaboration is often acknowledged during the conference presentations or in published materials.","Here are the verbalized phrases based on the provided RDF triples:

1. The term ""co-schrijf artikel"" is associated with the domain of ""coauteur.""
2. The term ""heeft coauteur"" is related to the range of ""coauteur.""
3. The class ""coauteur"" is a subclass of ""auteur."""
http://cmt_nl#c-0770334-7584608,Source,Class,bod,"In the context of a conference, ""BOD"" typically stands for ""Board of Directors."" This refers to a group of individuals elected to represent shareholders and oversee the activities and governance of an organization. During a conference, discussions may involve updates, strategies, or decisions that pertain to the BOD's role in guiding the organization.","Here are the verbalized phrases based on the provided triples:

1. The property ""aangepast door"" has a domain of ""bod.""
2. The property ""heeft bod"" has a range of ""bod.""
3. The property ""pas bod aan"" has a range of ""bod.""
4. The class ""bod"" is disjoint with the classes ""beslissing,"" ""conferentie,"" ""document,"" ""persoon,"" ""programmacommissie,"" and ""voorkeur."""
http://cmt_nl#c-1467412-7387436,Source,Class,programmacommissie,"In the context of a conference, ""programmacommissie"" refers to a program committee. This is a group of individuals responsible for planning and organizing the conference program, which includes selecting topics, inviting speakers, reviewing submitted papers or presentations, and ensuring the overall quality and relevance of the conference content. The program committee plays a crucial role in shaping the conference's agenda and ensuring it meets the interests and needs of the attendees.","Here are the verbalized phrases based on the provided triples:

1. ""Bod is disjoint with programmacommissie.""
2. ""The domain of 'heeft programmacommissie lid' is programmacommissie.""
3. ""The range of 'lid van programmacommissie' is programmacommissie.""
4. ""Programmacommissie is disjoint with beslissing, conferentie, document, persoon, and voorkeur."""
http://cmt_nl#c-1711425-2244009,Source,Class,metarecentie,"The term ""metarecentie"" does not appear to be widely recognized or defined in standard academic or conference contexts. However, it seems to be a combination of ""meta,"" which often refers to a higher level of abstraction or self-reference, and ""recentie,"" which could relate to ""recency"" or ""recentness."" 

In the context of a conference, ""metarecentie"" might refer to discussions or analyses that reflect on recent trends, findings, or developments within a particular field, while also considering the implications or broader context of those recent events. It could involve a critical examination of how recent information is interpreted or utilized in ongoing research or practice. 

If this term is specific to a particular conference or discipline, it would be best to consult the conference materials or organizers for a precise definition.","The class ""metarecentie"" is a subclass of the class ""recentie."""
http://cmt_nl#c-2893658-5611916,Source,Class,auteur niet recensent,"In the context of a conference, ""auteur niet-recensent"" refers to a filmmaker or creator who is recognized for their distinctive style and personal vision (auteur) but does not engage in the practice of reviewing or critiquing the works of others (niet-recensent). This term highlights the focus on the individual's creative output rather than their role as a critic or commentator in the film industry. It suggests a discussion around the importance of personal expression in filmmaking, emphasizing the creator's unique voice without the influence of external critique.","1. The class ""recensent"" is disjoint with the class ""auteur niet-recensent.""
2. The class ""auteur niet-recensent"" is a subclass of the class ""auteur.""
3. The class ""auteur niet-recensent"" is disjoint with the class ""programmacommissie lid."""
http://cmt_nl#c-3276253-9620830,Source,Class,externe recencent,"In the context of a conference, ""externe recencent"" likely refers to external reviewers or evaluators who assess the quality and relevance of the conference submissions, such as papers or presentations. These external reviewers provide feedback and recommendations based on their expertise, helping to ensure that the conference maintains high academic standards and relevance in its field. Their role is crucial in the peer review process, contributing to the selection of quality content for the conference program.","Here are the verbalized phrases based on the provided triples:

1. ""Recensent is disjoint with externe recencent.""
2. ""Toegewezen door recencent has a domain of externe recencent.""
3. ""Wijs externe recencent toe has a range of externe recencent.""
4. ""Externe recencent is a subclass of persoon.""The subgraph describes a restriction in a conceptual framework. Specifically, it defines a restriction type that has a cardinality of one, indicating that there can only be one instance of this restriction. The class ""externe recencent"" is a subclass of this restriction type, meaning that it inherits the properties of the restriction. Additionally, the restriction is applied to the property ""toegewezen door recencent,"" which suggests that this property is subject to the defined restriction."
http://cmt_nl#c-3466158-7243163,Source,Class,beslissing,"In the context of a conference, ""beslissing"" is a Dutch word that translates to ""decision"" in English. It refers to the act of making a choice or reaching a conclusion on a particular matter discussed during the conference. This could involve decisions related to policies, strategies, or actions that need to be taken based on the discussions and presentations at the event.","Here are the verbalized phrases based on the provided triples:

1. The class ""acceptatie"" is a subclass of the class ""beslissing.""
2. The class ""afwijzing"" is a subclass of the class ""beslissing.""
3. The class ""bod"" is disjoint with the class ""beslissing.""
4. The property ""heeft beslissing"" has a range that is defined as the class ""beslissing.""
5. The class ""programmacommissie"" is disjoint with the class ""beslissing.""
6. The class ""beslissing"" is disjoint with the classes ""conferentie,"" ""document,"" ""persoon,"" and ""voorkeur."""
