entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://cmt_nl#c-0120110-7787945,Source,Class,onderwerp,"In the context of a conference, ""onderwerp"" is a Dutch word that translates to ""subject"" or ""topic"" in English. It refers to the main theme or focus of discussion during the conference sessions, presentations, or workshops.","The phrase can be verbalized as: ""The property 'heeft onderwerp' has a range of 'onderwerp'."""
http://cmt_nl#c-0236412-8230972,Source,Class,recensent,"In the context of a conference, ""recensent"" typically refers to a person who reviews or critiques a presentation, paper, or research work. This individual is responsible for providing feedback, evaluating the quality of the work, and offering constructive criticism to help improve the research or presentation. The role of a recensent is important in academic and professional settings, as it contributes to the overall quality and rigor of the conference proceedings.","Here are the verbalized phrases based on the provided triples:

1. ""Aangepast door"" has a range of ""recensent.""
2. ""Artikel gelezen"" has a domain of ""recensent.""
3. ""Gelezen door reviewer"" has a range of ""recensent.""
4. ""Geschreven door"" has a range of ""recensent.""
5. ""Is toegekend"" has a domain of ""recensent.""
6. ""Metarecensent"" is a subclass of ""recensent.""
7. ""Pas bod aan"" has a domain of ""recensent.""
8. ""Schrijf recentie"" has a domain of ""recensent.""
9. ""Toegewezen aan"" has a range of ""recensent.""
10. ""Toegewezen door beheerder"" has a domain of ""recensent.""
11. ""Toegewezen door recencent"" has a range of ""recensent.""
12. ""Wijs externe recencent toe"" has a domain of ""recensent.""
13. ""Wijs recencent toe"" has a range of ""recensent.""
14. ""Recensent"" is a subclass of ""conferentielid"" and ""gebruiker.""
15. ""Recensent"" is disjoint with ""auteur niet-recensent"" and ""externe recencent."" 

These phrases summarize the relationships and classifications defined in the RDF triples.The subgraph describes a structure involving various roles and relationships. It identifies a class, referred to as a ""Class,"" which is associated with the term ""markeer belangenverstrengeling"" (marker of conflict of interest). This class has a domain that includes a ""recensent"" (reviewer) and a ""voorzitter"" (chairperson). 

The relationships are organized in a sequence where the ""voorzitter"" is the first element, followed by the ""auteur"" (author), and then the ""recensent."" The ""recensent"" is linked to the ""voorzitter"" as part of a union, indicating that both roles are part of the same overarching category. The ""rest"" relationships connect these roles in a chain, showing how they are interrelated within the context of the class. 

In summary, the subgraph outlines a hierarchical structure of roles related to a class that deals with conflicts of interest, highlighting the connections between a chairperson, an author, and a reviewer."
http://cmt_nl#c-0406770-7176287,Source,Class,voorzitter,"In the context of a conference, ""voorzitter"" is a Dutch term that translates to ""chairperson"" or ""chair"" in English. It refers to the individual who presides over the conference, leading discussions, managing the agenda, and ensuring that the proceedings run smoothly. The voorzitter is responsible for facilitating communication among participants and may also play a role in decision-making processes during the event.","The phrase can be verbalized as: ""The class of 'voorzitter' is a subclass of the class 'persoon'.""The subgraph describes a structured relationship among various roles and classes within an organizational context. 

1. There is a primary entity identified as a ""voorzitter"" (chairperson), which is linked to a secondary entity that represents a list of roles or individuals. This secondary entity has a first element labeled ""auteur"" (author) and no further elements, indicating it is the end of that list.

2. Another entity, identified as ""medevoorzitter"" (co-chair), is also linked to the primary entity, suggesting that both the chairperson and co-chair are part of the same organizational structure.

3. Additionally, there is a role identified as ""voorzitter programmacommissie"" (chairperson of the program committee), which is similarly linked to the co-chair, indicating a hierarchical or collaborative relationship.

4. The subgraph also includes a role labeled ""recensent"" (reviewer), which connects back to the primary entity, suggesting that the reviewer is involved in the same context as the chairperson.

5. The term ""markeer belangenverstrengeling"" (mark conflict of interest) is associated with a class that encompasses the roles mentioned, indicating a focus on ethical considerations within the organizational framework.

6. The relationships are further defined by the concept of ""equivalentClass,"" which connects the role of ""voorzitter"" to a broader class that includes the union of the roles of chairperson and reviewer.

Overall, the subgraph outlines a network of roles within an organization, emphasizing the relationships between chairpersons, co-chairpersons, authors, and reviewers, while also highlighting the importance of ethical considerations in their interactions."
http://cmt_nl#c-0744921-3144577,Source,Class,coauteur,"In the context of a conference, ""coauteur"" refers to a co-author, which is an individual who collaborates with one or more authors in the creation of a paper, presentation, or research project. Coauthors share responsibility for the content and contributions of the work, and their collaboration is often acknowledged during the conference presentations or in published materials.","Here are the verbalized phrases based on the provided RDF triples:

1. The term ""co-schrijf artikel"" is associated with the domain of ""coauteur.""
2. The term ""heeft coauteur"" is related to the range of ""coauteur.""
3. The class ""coauteur"" is a subclass of ""auteur."""
http://cmt_nl#c-0770334-7584608,Source,Class,bod,"In the context of a conference, ""BOD"" typically stands for ""Board of Directors."" This refers to a group of individuals elected to represent shareholders and oversee the activities and governance of an organization. During a conference, discussions may involve updates, decisions, or strategic planning related to the organization's direction as guided by the BOD.","Here are the verbalized phrases based on the provided triples:

1. The property ""aangepast door"" has a domain of ""bod.""
2. The property ""heeft bod"" has a range of ""bod.""
3. The property ""pas bod aan"" has a range of ""bod.""
4. The class ""bod"" is disjoint with the classes ""beslissing,"" ""conferentie,"" ""document,"" ""persoon,"" ""programmacommissie,"" and ""voorkeur."""
http://cmt_nl#c-1467412-7387436,Source,Class,programmacommissie,"In the context of a conference, ""programmacommissie"" refers to a program committee. This is a group of individuals responsible for planning and organizing the conference program, which includes selecting topics, inviting speakers, reviewing submitted papers or presentations, and ensuring the overall quality and relevance of the conference content. The program committee plays a crucial role in shaping the conference's agenda and ensuring it meets the interests and needs of the attendees.","Here are the verbalized phrases based on the provided triples:

1. ""Bod is disjoint with programmacommissie.""
2. ""The domain of 'heeft programmacommissie lid' is programmacommissie.""
3. ""The range of 'lid van programmacommissie' is programmacommissie.""
4. ""Programmacommissie is disjoint with beslissing, conferentie, document, persoon, and voorkeur."""
http://cmt_nl#c-1711425-2244009,Source,Class,metarecentie,"The term ""metarecentie"" does not appear to be a widely recognized term in English or in academic discourse, particularly in the context of conferences. It may be a misspelling or a specialized term used in a specific field or by a particular group. If it is intended to refer to a concept related to ""meta-analysis"" or ""meta-research,"" it could imply a discussion about the analysis of recent studies or trends within a certain area of research. 

To provide a more accurate answer, it would be helpful to have additional context or clarification regarding how ""metarecentie"" is being used in relation to the conference.","The phrase can be verbalized as: ""Metarecentie is a subclass of recentie."""
http://cmt_nl#c-2893658-5611916,Source,Class,auteur niet recensent,"In the context of a conference, ""auteur niet-recensent"" refers to a filmmaker or creator who is recognized for their distinctive style and personal vision (auteur) but does not engage in the practice of reviewing or critiquing the works of others (niet-recensent). This term highlights the focus on the individual's creative output rather than their role in the critical discourse surrounding film or art. It suggests a discussion around the importance of personal expression in filmmaking, as well as the separation between creating art and evaluating it.","1. The class ""recensent"" is disjoint with the class ""auteur niet-recensent,"" meaning that no individual can be a member of both classes simultaneously.

2. The class ""auteur niet-recensent"" is a subclass of the class ""auteur,"" indicating that all members of ""auteur niet-recensent"" are also members of ""auteur.""

3. The class ""auteur niet-recensent"" is disjoint with the class ""programmacommissie lid,"" meaning that no individual can be a member of both classes at the same time."
http://cmt_nl#c-3276253-9620830,Source,Class,externe recencent,"In the context of a conference, ""externe recencent"" likely refers to external reviewers or evaluators who assess the quality and relevance of the conference submissions, presentations, or research. These external reviewers provide feedback and recommendations based on their expertise, helping to ensure that the conference maintains high academic and professional standards. Their role is crucial in the selection process for papers, panels, or workshops, contributing to the overall credibility and success of the event.","Here are the verbalized phrases based on the provided triples:

1. ""Recensent is disjoint with externe recencent.""
2. ""Toegewezen door recencent has a domain of externe recencent.""
3. ""Wijs externe recencent toe has a range of externe recencent.""
4. ""Externe recencent is a subclass of persoon.""The subgraph describes a relationship in a structured format. It indicates that ""externe recencent"" is a subclass of a restriction. This restriction has specific characteristics: it is defined to have a cardinality of 1, meaning that it allows only one instance, and it is associated with the property ""toegewezen door recencent,"" which translates to ""assigned by reviewer."" In summary, ""externe recencent"" is a type of entity that must be linked to exactly one instance of the property ""toegewezen door recencent."""
http://cmt_nl#c-3466158-7243163,Source,Class,beslissing,"In the context of a conference, ""beslissing"" is a Dutch word that translates to ""decision"" in English. It refers to the conclusion or resolution made by participants regarding a specific issue or topic discussed during the conference. This could involve agreeing on a course of action, selecting a speaker, or determining the next steps for a project.","Here are the verbalized phrases based on the provided triples:

1. The class ""acceptatie"" is a subclass of the class ""beslissing.""
2. The class ""afwijzing"" is a subclass of the class ""beslissing.""
3. The class ""bod"" is disjoint with the class ""beslissing.""
4. The property ""heeft beslissing"" has a range that is defined as the class ""beslissing.""
5. The class ""programmacommissie"" is disjoint with the class ""beslissing.""
6. The class ""beslissing"" is disjoint with the classes ""conferentie,"" ""document,"" ""persoon,"" and ""voorkeur."""
http://cmt_nl#c-3510433-8388657,Source,Class,conferentielid,"The term ""conferentielid"" appears to be a misspelling or a combination of words related to ""conference."" In the context of a conference, it could refer to a specific identifier or ID associated with a conference, such as a registration ID or a unique code assigned to participants or sessions. This ID is often used for tracking attendance, managing schedules, or providing access to conference materials. If you meant a different term or concept, please provide more context for clarification.","Here are the verbalized phrases based on the provided RDF triples:

1. The class ""auteur"" is a subclass of ""conferentielid.""
2. The class ""conferentievoorzitter"" is a subclass of ""conferentielid.""
3. The property ""heeft conferentielid"" has a range of ""conferentielid.""
4. The property ""lid van conferentie"" has a domain of ""conferentielid.""
5. The class ""medevoorzitter"" is a subclass of ""conferentielid.""
6. The class ""programmacommissie lid"" is a subclass of ""conferentielid.""
7. The class ""recensent"" is a subclass of ""conferentielid.""
8. The class ""conferentielid"" is a subclass of ""persoon."""
http://cmt_nl#c-3874111-1901895,Source,Class,afwijzing,"In the context of a conference, ""afwijzing"" is a Dutch term that translates to ""rejection"" in English. It typically refers to the decision made by a conference committee to not accept a submitted paper, proposal, or abstract for presentation at the event. This can occur for various reasons, such as not meeting the conference's criteria, lack of originality, or insufficient relevance to the conference theme.","The term ""afwijzing"" is a subclass of ""beslissing"" and is disjoint from ""acceptatie."""
http://cmt_nl#c-4582130-1910383,Source,Class,voorkeur,"In the context of a conference, ""voorkeur"" is a Dutch word that translates to ""preference"" in English. It typically refers to the choices or inclinations of participants regarding topics, sessions, speakers, or activities they would like to engage with during the event. Understanding the ""voorkeur"" of attendees can help organizers tailor the conference experience to better meet the interests and needs of the participants.","Here are the verbalized phrases for the given triples:

1. The concept of ""beslissing"" is disjoint with the concept of ""voorkeur.""
2. The concept of ""bod"" is disjoint with the concept of ""voorkeur.""
3. The concept of ""programmacommissie"" is disjoint with the concept of ""voorkeur.""
4. The concept of ""voorkeur"" is disjoint with the concepts of ""conferentie,"" ""document,"" and ""persoon."""
http://cmt_nl#c-4695512-1959604,Source,Class,programmacommissie lid,"In the context of a conference, ""programmacommissie lid"" translates to ""program committee member"" in English. This refers to an individual who is part of a committee responsible for planning and organizing the program of the conference. Their duties typically include reviewing submissions, selecting speakers, and ensuring that the content aligns with the conference's themes and objectives.","Here are the verbalized phrases based on the provided triples:

1. ""The role of 'auteur niet-recensent' is disjoint with the role of 'programmacommissie lid'.""
   
2. ""The property 'heeft programmacommisie lid' has a range that includes 'programmacommissie lid'.""

3. ""The property 'lid van programmacommissie' has a domain that includes 'programmacommissie lid'.""

4. ""The property 'maximum aantal artikelen' has a domain that includes 'programmacommissie lid'.""

5. ""The property 'stel maximaal aantal artikelen in' has a range that includes 'programmacommissie lid'.""

6. ""The property 'toegevoegd door' has a domain that includes 'programmacommissie lid'.""

7. ""The property 'voeg programmacommissie lid toe' has a range that includes 'programmacommissie lid'.""

8. ""'voorzitter programmacommissie' is a subclass of 'programmacommissie lid'.""

9. ""'programmacommissie lid' is a subclass of both 'conferentielid' and 'persoon'."""
http://cmt_nl#c-4855446-2072057,Source,Class,artikel,"In the context of a conference, ""artikel"" typically refers to an article or paper that is presented or discussed during the event. It can denote a written work that contributes to the conference's themes or topics, often sharing research findings, theoretical discussions, or case studies relevant to the attendees. Participants may present their ""artikel"" as part of their contributions to the conference proceedings.","Here are the verbalized phrases based on the provided triples:

1. The range of ""accepteer artikel"" is ""artikel"".
2. The domain of ""afgewezen door"" is ""artikel"".
3. The range of ""artikel gelezen"" is ""artikel"".
4. The range of ""co-schrijf artikel"" is ""artikel"".
5. The range of ""dien artikel in"" is ""artikel"".
6. The domain of ""geaccepteerd door"" is ""artikel"".
7. The domain of ""gelezen door metarecencent"" is ""artikel"".
8. The domain of ""gelezen door reviewer"" is ""artikel"".
9. The domain of ""heeft auteur"" is ""artikel"".
10. The domain of ""heeft beslissing"" is ""artikel"".
11. The domain of ""heeft bod"" is ""artikel"".
12. The domain of ""heeft coauteur"" is ""artikel"".
13. The domain of ""heeft onderwerp"" is ""artikel"".
14. The range of ""is toegekend"" is ""artikel"".
15. The range of ""markeer belangenverstrengeling"" is ""artikel"".
16. The domain of ""paper ID"" is ""artikel"".
17. The range of ""schrijf artikel"" is ""artikel"".
18. ""synopsis"" is a subclass of ""artikel"".
19. The domain of ""titel"" is ""artikel"".
20. The domain of ""toegewezen aan"" is ""artikel"".
21. ""volledig artikel"" is a subclass of ""artikel"".
22. The range of ""wijs artikel af"" is ""artikel"".
23. ""artikel"" is a subclass of ""document"" and is disjoint with ""recentie"". 

These phrases summarize the relationships and classifications defined in the triples.The subgraph describes a set of restrictions related to a class called ""artikel."" 

1. The class ""artikel"" is defined as a subclass of three different restrictions:
   - The first restriction specifies that there can be at most one instance of the property ""heeft beslissing"" (which translates to ""has decision"").
   - The second restriction indicates that there must be at least one instance of the property ""gelezen door reviewer"" (meaning ""read by reviewer"").
   - The third restriction also specifies that there can be at most one instance of the property ""gelezen door metarecencent"" (which translates to ""read by meta-reviewer"").

2. Additionally, the second restriction allows for the possibility of having zero instances of the property ""heeft beslissing,"" while the first and third restrictions enforce a maximum of one instance for their respective properties.

In summary, the class ""artikel"" is governed by specific cardinality restrictions on the properties it can have, ensuring that it can have a defined number of relationships with decisions and reviewers."
http://cmt_nl#c-4926854-0907990,Source,Class,document,"In the context of a conference, a ""document"" typically refers to any written or printed material that is presented, distributed, or referenced during the event. This can include agendas, research papers, presentation slides, handouts, reports, or any other materials that provide information or support the discussions and activities taking place at the conference. Documents serve to facilitate communication, share knowledge, and provide attendees with resources related to the topics being discussed.","Here are the verbalized phrases based on the provided triples:

1. The class ""artikel"" is a subclass of the class ""document.""
2. The class ""beslissing"" is disjoint with the class ""document.""
3. The class ""bod"" is disjoint with the class ""document.""
4. The property ""heeft belangenverstrengeling"" has a range that is defined as ""document.""
5. The class ""programmacommissie"" is disjoint with the class ""document.""
6. The class ""recentie"" is a subclass of the class ""document.""
7. The class ""voorkeur"" is disjoint with the class ""document.""
8. The class ""document"" is disjoint with both the classes ""conferentie"" and ""persoon."""
http://cmt_nl#c-4951597-8295121,Source,Class,acceptatie,"In the context of a conference, ""acceptatie"" is a Dutch term that translates to ""acceptance"" in English. It typically refers to the process of accepting submissions, such as research papers or presentations, for inclusion in the conference program. This can involve a review process where submitted works are evaluated for their quality, relevance, and contribution to the field before being accepted for presentation or publication at the conference.","1. ""Afwijzing"" is disjoint with ""acceptatie.""
2. ""Acceptatie"" is a subclass of ""beslissing."""
http://cmt_nl#c-4994957-2932971,Source,Class,conferentie,"The term ""conferentie"" is the Dutch word for ""conference."" In this context, it refers to a formal meeting or gathering where individuals come together to discuss specific topics, share information, and collaborate on ideas. Conferences can vary in size and purpose, ranging from academic and professional gatherings to industry-specific events.","Here are the verbalized phrases based on the provided triples:

1. ""Hardcopy submissies worden geaccepteerd door de conferentie.""
2. ""De conferentie biedt de mogelijkheid om recenties te beginnen.""
3. ""Beslissingen zijn niet hetzelfde als conferenties.""
4. ""Boden zijn niet hetzelfde als conferenties.""
5. ""De datum is een kenmerk van de conferentie.""
6. ""Details worden ingevuld door de conferentie.""
7. ""Documenten zijn niet hetzelfde als conferenties.""
8. ""De conferentie maakt gebruik van een artikel toewijzings tool.""
9. ""Het hardcopy verstuurbewijs is een onderdeel van de conferentie.""
10. ""Het hardcopy verstuurbewijs wordt afgedrukt door de conferentie.""
11. ""De conferentie heeft conferentieleden.""
12. ""De conferentie laat virtuele vergaderingen toe.""
13. ""Leden van de conferentie zijn een onderdeel van de conferentie.""
14. ""De logo URL is een kenmerk van de conferentie.""
15. ""De conferentie maakt de toewijzing van artikelen af.""
16. ""De programmacommissie is niet hetzelfde als de conferentie.""
17. ""Het bieden van recenties is begonnen door de conferentie.""
18. ""De recentiecriteria worden ingevuld door de conferentie.""
19. ""Recenties per artikel zijn een kenmerk van de conferentie.""
20. ""De toekenning van artikelen wordt afgemaakt door de conferentie.""
21. ""De toekenning van artikelen maakt gebruik van een tool die door de conferentie wordt gebruikt.""
22. ""Virtuele vergaderingen worden toegelaten door de conferentie.""
23. ""Voorkeur is niet hetzelfde als de conferentie.""
24. ""De conferentie details moeten worden ingevuld.""
25. ""De recentiecriteria moeten worden ingevuld.""
26. ""De website URL is een kenmerk van de conferentie.""
27. ""De conferentie is niet hetzelfde als een persoon."" 

These phrases summarize the relationships and properties defined in the triples.The subgraph describes a set of relationships and restrictions related to a class called ""conferentie"" (which translates to ""conference"" in English). 

1. **Class Definition**: The class ""conferentie"" is defined as a subclass of three restrictions. These restrictions impose certain conditions on the properties associated with instances of the ""conferentie"" class.

2. **Restrictions**:
   - The first restriction requires that there is a property called ""datum"" (date) with a minimum cardinality of 1, meaning that every instance of ""conferentie"" must have at least one associated date.
   - The second restriction requires that there is a property called ""naam"" (name) with a cardinality of 1, indicating that each conference must have exactly one name.
   - The third restriction is related to the property ""recenties per artikel"" (recenties per article), which also has a cardinality of 1, suggesting that each conference must have exactly one value for this property.

3. **Union of Classes**: The class ""conferentie"" is part of a union of classes, which includes the restrictions mentioned above. This means that any instance of ""conferentie"" must satisfy the conditions set by these restrictions.

4. **Property Relationships**: The subgraph also indicates that the property ""recenties per artikel"" is associated with the restriction that has a cardinality of 1, reinforcing the requirement that each conference must have this property defined.

In summary, the subgraph outlines the structure and constraints of the ""conferentie"" class, specifying that each conference must have a unique name, at least one date, and exactly one value for the property ""recenties per artikel."""
http://cmt_nl#c-5118955-8762087,Source,Class,beheerder,"In the context of a conference, ""beheerder"" is a Dutch term that translates to ""administrator"" or ""manager"" in English. It typically refers to a person responsible for overseeing the organization, coordination, and management of the conference, ensuring that everything runs smoothly and efficiently. This could include tasks such as managing schedules, handling logistics, and facilitating communication among participants.","Here are the verbalized phrases based on the provided RDF triples:

1. De beheerder accepteert een artikel.
2. Een artikel wordt afgewezen door de beheerder.
3. De beheerder begint met het bieden van een recentie.
4. De details worden ingevuld door de beheerder.
5. Een artikel is geaccepteerd door de beheerder.
6. De beheerder gebruikt de artikel toewijzings tool.
7. De beheerder verstuurt een hardcopy bewijs.
8. Een hardcopy verstuurbewijs is afgedrukt door de beheerder.
9. De beheerder laat een virtuele vergadering toe.
10. De beheerder maakt de toewijzing van een artikel af.
11. De recentie bieden is begonnen door de beheerder.
12. De recentie criteria zijn ingevuld door de beheerder.
13. De beheerder stelt het maximaal aantal artikelen in.
14. Een artikel is toegevoegd door de beheerder.
15. Een artikel is toegewezen door de beheerder.
16. De toekenning van een artikel is afgemaakt door de beheerder.
17. De toekenning artikel tool is gebruikt door de beheerder.
18. Een virtuele vergadering is toegelaten door de beheerder.
19. De beheerder voegt een lid van de programmacommissie toe.
20. De beheerder vult de conferentie details in.
21. De beheerder vult de recentie criteria in.
22. De beheerder wijst een artikel af.
23. De beheerder wijst een recencent toe.
24. De beheerder is een subclass van gebruiker."
http://cmt_nl#c-6073598-2118472,Source,Class,volledig artikel,"In the context of a conference, ""volledig artikel"" is a Dutch term that translates to ""full article"" in English. It typically refers to a comprehensive written piece that presents detailed research findings, discussions, or analyses related to the conference's theme or topics. Participants may be encouraged to submit a ""volledig artikel"" for publication in conference proceedings or for presentation during the event, ensuring that the work is thoroughly documented and accessible to attendees.","The phrase can be verbalized as: ""The class 'volledig artikel' is a subclass of the class 'artikel'."""
