entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://cmt#Acceptance,Source,Class,acceptance,"In the context of a conference, ""acceptance"" typically refers to the formal approval or agreement to participate in the event. This could mean the acceptance of a submitted paper or abstract for presentation, the acceptance of an invitation to speak or attend, or the confirmation of registration by the organizers. It signifies that the individual's contribution or presence has been officially recognized and approved by the conference committee or organizers.","Sure, here are the triples verbalized into phrases:

1. ""Acceptance"" is a subclass of ""Decision"".
2. ""Acceptance"" is disjoint with ""Rejection"".
3. ""Rejection"" is disjoint with ""Acceptance""."
http://cmt#Administrator,Source,Class,administrator,"In the context of a conference, an ""Administrator"" typically refers to an individual responsible for organizing, managing, and overseeing the logistical and operational aspects of the event. This can include tasks such as coordinating schedules, managing registrations, handling communications with speakers and attendees, arranging venues and accommodations, and ensuring that the conference runs smoothly. The Administrator plays a crucial role in ensuring that all elements of the conference are well-coordinated and executed efficiently.","Sure, here are the triples verbalized into phrases:

1. The action ""acceptPaper"" is performed by an ""Administrator"".
2. The action ""acceptedBy"" involves an ""Administrator"".
3. The action ""addProgramCommitteeMember"" is performed by an ""Administrator"".
4. The action ""addedBy"" involves an ""Administrator"".
5. The action ""assignReviewer"" is performed by an ""Administrator"".
6. The action ""assignedByAdministrator"" involves an ""Administrator"".
7. The action ""detailsEnteredBy"" involves an ""Administrator"".
8. The action ""enableVirtualMeeting"" is performed by an ""Administrator"".
9. The action ""enterConferenceDetails"" is performed by an ""Administrator"".
10. The action ""enterReviewCriteria"" is performed by an ""Administrator"".
11. The action ""finalizePaperAssignment"" is performed by an ""Administrator"".
12. The action ""hardcopyMailingManifestsPrintedBy"" involves an ""Administrator"".
13. The action ""paperAssignmentFinalizedBy"" involves an ""Administrator"".
14. The action ""paperAssignmentToolsRunBy"" involves an ""Administrator"".
15. The action ""printHardcopyMailingManifests"" is performed by an ""Administrator"".
16. The action ""rejectPaper"" is performed by an ""Administrator"".
17. The action ""rejectedBy"" involves an ""Administrator"".
18. The action ""reviewCriteriaEnteredBy"" involves an ""Administrator"".
19. The action ""reviewerBiddingStartedBy"" involves an ""Administrator"".
20. The action ""runPaperAssignmentTools"" is performed by an ""Administrator"".
21. The action ""setMaxPapers"" is performed by an ""Administrator"".
22. The action ""startReviewerBidding"" is performed by an ""Administrator"".
23. The action ""virtualMeetingEnabledBy"" involves an ""Administrator"".
24. An ""Administrator"" is a subclass of ""User""."
http://cmt#AssociatedChair,Source,Class,associated chair,"In the context of a conference, an ""Associated Chair"" typically refers to an individual who assists the main conference chair in organizing and managing the event. This role may involve responsibilities such as coordinating sessions, managing submissions and reviews, liaising with speakers and attendees, and ensuring the smooth operation of the conference. The Associated Chair supports the overall leadership and helps ensure that the conference runs efficiently and effectively.","Sure, here are the triples verbalised into phrases:

1. The class ""AssociatedChair"" is a subclass of the class ""ConferenceMember"".
2. The class ""AssociatedChair"" is disjoint with the class ""ConferenceChair"".
3. The class ""ConferenceChair"" is disjoint with the class ""AssociatedChair"".The subgraph describes a class named ""Chairman"" which is equivalent to another class represented by a blank node. This equivalent class is defined as a union of three roles: ""AssociatedChair,"" ""ConferenceChair,"" and ""ProgramCommitteeChair."" The structure of the union is detailed as follows:

1. The first element of the union is ""AssociatedChair.""
2. The rest of the union consists of another list where:
   - The first element is ""ConferenceChair.""
   - The rest of this list contains another list where:
     - The first element is ""ProgramCommitteeChair.""
     - The rest of this list is empty (denoted by 'nil').

In summary, the class ""Chairman"" is equivalent to a union of the roles ""AssociatedChair,"" ""ConferenceChair,"" and ""ProgramCommitteeChair."""
http://cmt#Author,Source,Class,author,"In the context of a conference, an ""author"" typically refers to an individual who has written a paper, article, or presentation that is being presented or discussed at the event. This person is responsible for the research, content, and findings that are being shared with the conference attendees.","Sure, here are the triples verbalised into phrases:

1. ""AuthorNotReviewer"" is a subclass of ""Author"".
2. ""Co-author"" is a subclass of ""Author"".
3. The property ""hasAuthor"" has a range of ""Author"".
4. The property ""submitPaper"" has a domain of ""Author"".
5. The property ""writePaper"" has a domain of ""Author"".
6. ""Author"" is a subclass of ""ConferenceMember"" and ""User"".The subgraph describes a hierarchical structure involving roles and a class related to marking conflicts of interest. Here's a natural language description:

1. There is a class, denoted as `_:N74dbe1cdc3eb4311991ed26b63d3b38e`, which is of type ""Class"".
2. The function `markConflictOfInterest` has a domain that includes this class.
3. This class is defined as a union of a list structure starting with `_:Ncb3818dac5894edda25db48d5b4cafc6`.
4. The list structure is as follows:
   - The first element of the list is ""Reviewer"".
   - The rest of the list points to another list structure, `_:Ne01c79db3f1a47eebc6118def1d13272`.
5. The second list structure:
   - The first element is ""Chairman"".
   - The rest of the list points to yet another list structure, `_:N0cb452497db64be0ac935ed20e6727fc`.
6. The third list structure:
   - The first element is ""Author"".
   - The rest of the list is ""nil"", indicating the end of the list.

In summary, the class related to marking conflicts of interest includes the roles of Reviewer, Chairman, and Author in a specific hierarchical order."
http://cmt#AuthorNotReviewer,Source,Class,author not reviewer,"In the context of a conference, ""AuthorNotReviewer"" typically refers to a policy or rule indicating that an individual who has submitted a paper or work to the conference (an author) is not allowed to participate in the review process for that same conference. This is to prevent any conflicts of interest and to ensure the integrity and impartiality of the review process.","Sure, here are the triples verbalised into phrases:

1. ""ProgramCommitteeMember"" is disjoint with ""AuthorNotReviewer"".
2. ""Reviewer"" is disjoint with ""AuthorNotReviewer"".
3. ""AuthorNotReviewer"" is a subclass of ""Author"".
4. ""AuthorNotReviewer"" is disjoint with ""ProgramCommitteeMember"".
5. ""AuthorNotReviewer"" is disjoint with ""Reviewer""."
http://cmt#Bid,Source,Class,bid,"In the context of a conference, a ""bid"" typically refers to a formal proposal submitted by an individual, organization, or city to host the conference. This proposal usually includes details such as the venue, dates, logistical arrangements, and sometimes financial commitments or incentives to attract the conference organizers to select their location. The bidding process is often competitive, with multiple parties vying for the opportunity to host the event.","Sure, here are the triples verbalized into phrases:

1. The range of ""adjustBid"" is ""Bid"".
2. The domain of ""adjustedBy"" is ""Bid"".
3. The range of ""hasBid"" is ""Bid"".
4. ""Conference"" is disjoint with ""Bid"".
5. ""Decision"" is disjoint with ""Bid"".
6. ""Document"" is disjoint with ""Bid"".
7. ""Person"" is disjoint with ""Bid"".
8. ""Preference"" is disjoint with ""Bid"".
9. ""ProgramCommittee"" is disjoint with ""Bid"".
10. ""Bid"" is disjoint with ""Conference"", ""Decision"", ""Document"", ""Person"", ""Preference"", and ""ProgramCommittee""."
http://cmt#Chairman,Source,Class,chairman,"In the context of a conference, the term ""Chairman"" refers to the person who presides over the conference, leading and facilitating the discussions, ensuring the agenda is followed, and maintaining order during the proceedings. The Chairman is responsible for guiding the flow of the conference, introducing speakers, managing time, and often making key decisions to ensure the event runs smoothly.","The class ""Chairman"" is a subclass of the class ""Person"".The provided subgraph can be described in natural language as follows:

There is a class that is defined as the union of several roles. This class includes the roles of Chairman, Author, Reviewer, and Associated Chair. The role of Chairman is equivalent to another class, which is also defined as a union of roles. This second class includes the roles of Conference Chair and Program Committee Chair.

Additionally, there is a class that is the domain of the property ""markConflictOfInterest.""

To summarize:
1. The role of Chairman is equivalent to a class that includes:
   - Conference Chair
   - Program Committee Chair

2. Another class includes:
   - Chairman
   - Author
   - Reviewer
   - Associated Chair

3. The property ""markConflictOfInterest"" has a domain that is a class."
http://cmt#Co-author,Source,Class,co author,"In the context of a conference, a ""co-author"" refers to an individual who has collaborated with one or more other individuals to contribute to the creation of a research paper, presentation, or other scholarly work that is being presented at the conference. Co-authors share responsibility for the content and findings of the work and are typically listed alongside the primary author in the conference program and on the published material.","Sure, here are the triples verbalized into phrases:

1. The property ""co-writePaper"" has a domain of ""Co-author"".
2. The property ""hasCo-author"" has a range of ""Co-author"".
3. The class ""Co-author"" is a subclass of ""Author""."
http://cmt#Conference,Source,Class,conference,"In the context of ""conference,"" the term refers to a formal meeting or gathering where individuals or groups come together to discuss specific topics, share information, and engage in collaborative discussions. Conferences can be held in various fields such as business, education, science, technology, and more, and they often include presentations, workshops, and networking opportunities.","Sure, here are the triples verbalized into phrases:

1. The property ""acceptsHardcopySubmissions"" is associated with the domain ""Conference"".
2. The property ""date"" is associated with the domain ""Conference"".
3. The property ""detailsEnteredBy"" is associated with the domain ""Conference"".
4. The property ""enableVirtualMeeting"" has a range of ""Conference"".
5. The property ""enterConferenceDetails"" has a range of ""Conference"".
6. The property ""enterReviewCriteria"" has a range of ""Conference"".
7. The property ""finalizePaperAssignment"" has a range of ""Conference"".
8. The property ""hardcopyMailingManifestsPrintedBy"" is associated with the domain ""Conference"".
9. The property ""hasConferenceMember"" is associated with the domain ""Conference"".
10. The property ""logoURL"" is associated with the domain ""Conference"".
11. The property ""memberOfConference"" has a range of ""Conference"".
12. The property ""paperAssignmentFinalizedBy"" is associated with the domain ""Conference"".
13. The property ""paperAssignmentToolsRunBy"" is associated with the domain ""Conference"".
14. The property ""printHardcopyMailingManifests"" has a range of ""Conference"".
15. The property ""reviewCriteriaEnteredBy"" is associated with the domain ""Conference"".
16. The property ""reviewerBiddingStartedBy"" is associated with the domain ""Conference"".
17. The property ""reviewsPerPaper"" is associated with the domain ""Conference"".
18. The property ""runPaperAssignmentTools"" has a range of ""Conference"".
19. The property ""siteURL"" is associated with the domain ""Conference"".
20. The property ""startReviewerBidding"" has a range of ""Conference"".
21. The property ""virtualMeetingEnabledBy"" is associated with the domain ""Conference"".
22. The class ""Bid"" is disjoint with the class ""Conference"".
23. The class ""Decision"" is disjoint with the class ""Conference"".
24. The class ""Document"" is disjoint with the class ""Conference"".
25. The class ""Person"" is disjoint with the class ""Conference"".
26. The class ""Preference"" is disjoint with the class ""Conference"".
27. The class ""ProgramCommittee"" is disjoint with the class ""Conference"".
28. The class ""Conference"" is disjoint with the classes ""Bid"", ""Decision"", ""Document"", ""Person"", ""Preference"", and ""ProgramCommittee"".The provided subgraph describes a set of restrictions and class relationships involving a ""Conference"" and its properties. Here is a natural language description of the subgraph:

1. **Conference Class**:
   - The ""Conference"" class is a subclass of three different restrictions.
   
2. **Name Property Restriction**:
   - There is a restriction on the ""name"" property of the ""Conference"" class.
   - This restriction specifies that the ""name"" property must have exactly one value (cardinality of 1).

3. **Date Property Restriction**:
   - There is a restriction on the ""date"" property of the ""Conference"" class.
   - This restriction specifies that the ""date"" property must have at least one value (minimum cardinality of 1).

4. **ReviewsPerPaper Property Restriction**:
   - There is a restriction on the ""reviewsPerPaper"" property of the ""Conference"" class.
   - This restriction specifies that the ""reviewsPerPaper"" property must have exactly one value (cardinality of 1).

5. **Domain of Name Property**:
   - The domain of the ""name"" property is defined as a union of two classes: ""Conference"" and ""Person"".

6. **Union Class**:
   - The union class is defined as a combination of ""Conference"" and ""Person"".
   - This union class is a subclass of a list structure where ""Conference"" is the first element and ""Person"" is the rest of the list.

In summary, the ""Conference"" class has specific restrictions on its ""name"", ""date"", and ""reviewsPerPaper"" properties, and the ""name"" property applies to both ""Conference"" and ""Person"" classes."
http://cmt#ConferenceChair,Source,Class,conference chair,"In the context of a conference, a ""Conference Chair"" refers to the individual who is responsible for overseeing and organizing the entire event. This person typically handles a wide range of tasks, including planning the conference agenda, coordinating with speakers and participants, managing logistics, and ensuring that the conference runs smoothly. The Conference Chair plays a crucial role in the success of the event, as they are the primary point of contact for all aspects of the conference.","Sure, here are the triples verbalized into phrases:

1. ""AssociatedChair"" is disjoint with ""ConferenceChair"".
2. ""ConferenceChair"" is a subclass of ""ConferenceMember"".
3. ""ConferenceChair"" is disjoint with ""AssociatedChair"".The subgraph describes a class named ""Chairman"" which is equivalent to a union of three roles: ""AssociatedChair,"" ""ConferenceChair,"" and ""ProgramCommitteeChair."" The union is represented as a list where ""AssociatedChair"" is the first element, followed by ""ConferenceChair,"" and finally ""ProgramCommitteeChair."" The list terminates with a ""nil"" indicating the end of the sequence."
http://cmt#ConferenceMember,Source,Class,conference member,"In the context of a conference, a ""ConferenceMember"" refers to an individual who is a participant or attendee of the conference. This person may be involved in various activities such as attending sessions, presenting papers, participating in discussions, networking with other attendees, and contributing to the overall objectives of the conference.","Sure, here are the triples verbalised into phrases:

1. ""AssociatedChair"" is a subclass of ""ConferenceMember"".
2. ""Author"" is a subclass of ""ConferenceMember"".
3. ""ConferenceChair"" is a subclass of ""ConferenceMember"".
4. ""ProgramCommitteeMember"" is a subclass of ""ConferenceMember"".
5. ""Reviewer"" is a subclass of ""ConferenceMember"".
6. The property ""hasConferenceMember"" has a range of ""ConferenceMember"".
7. The property ""memberOfConference"" has a domain of ""ConferenceMember"".
8. ""ConferenceMember"" is a subclass of ""Person""."
http://cmt#Decision,Source,Class,decision,"In the context of a conference, a ""decision"" refers to a conclusion or resolution reached after discussion and deliberation among the participants. It often involves choosing a course of action, setting policies, or making strategic plans based on the information and opinions shared during the conference sessions.","1. ""Acceptance"" is a subclass of ""Decision"".
2. ""Rejection"" is a subclass of ""Decision"".
3. The property ""hasDecision"" has a range of ""Decision"".
4. ""Bid"" is disjoint with ""Decision"".
5. ""Conference"" is disjoint with ""Decision"".
6. ""Document"" is disjoint with ""Decision"".
7. ""Person"" is disjoint with ""Decision"".
8. ""Preference"" is disjoint with ""Decision"".
9. ""ProgramCommittee"" is disjoint with ""Decision"".
10. ""Decision"" is disjoint with ""Bid"", ""Conference"", ""Document"", ""Person"", ""Preference"", and ""ProgramCommittee""."
http://cmt#Document,Source,Class,document,"In the context of a conference, a ""document"" typically refers to any written, printed, or digital material that is used or distributed during the event. This can include agendas, schedules, presentation slides, handouts, research papers, reports, and any other relevant materials that support the discussions and activities taking place at the conference. These documents are often used to provide information, facilitate communication, and serve as a record of the proceedings.","1. A ""Paper"" is a subclass of ""Document"".
2. A ""Review"" is a subclass of ""Document"".
3. The property ""hasConflictOfInterest"" has a range of ""Document"".
4. A ""Bid"" is disjoint with ""Document"".
5. A ""Conference"" is disjoint with ""Document"".
6. A ""Decision"" is disjoint with ""Document"".
7. A ""Person"" is disjoint with ""Document"".
8. A ""Preference"" is disjoint with ""Document"".
9. A ""ProgramCommittee"" is disjoint with ""Document"".
10. A ""Document"" is disjoint with ""Bid"", ""Conference"", ""Decision"", ""Person"", ""Preference"", and ""ProgramCommittee""."
http://cmt#ExternalReviewer,Source,Class,external reviewer,"In the context of a conference, an External Reviewer is an individual who is tasked with evaluating a paper on behalf of another Reviewer. Although they perform the review, they are not officially designated as a Reviewer within the conference's formal review process.","Sure, here are the triples verbalised into phrases:

1. The range of ""assignExternalReviewer"" is ""ExternalReviewer"".
2. The domain of ""assignedByReviewer"" is ""ExternalReviewer"".
3. ""Reviewer"" is disjoint with ""ExternalReviewer"".
4. ""ExternalReviewer"" is a subclass of ""Person"" and is disjoint with ""Reviewer"".The class ""ExternalReviewer"" is a subclass of a restriction. This restriction specifies that there is exactly one property, ""assignedByReviewer"", associated with instances of ""ExternalReviewer""."
