entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://cmt_ar#c-0197956-6725851,Source,Class,رئيس اللجنة العلمية,"In the context of a conference, ""رئيس اللجنة العلمية"" translates to ""Chair of the Scientific Committee."" This individual is responsible for overseeing the scientific aspects of the conference, including the review of submitted papers, organizing sessions, and ensuring the quality and relevance of the scientific content presented.","1. ""وقت إنتهاء مراجعة"" هو مجال ""رئيس اللجنة العلمية"".
2. ""رئيس اللجنة العلمية"" هو نوع من ""عضو في اللجنة العلمية"".The subgraph describes a structured relationship involving various entities and their attributes. It can be verbalized as follows:

There is a class represented by the term ""رئيس"" (which translates to ""Chair"" in English) that is equivalent to a specific class identified by a unique identifier. This class is defined as a union of another entity, which is also identified by a unique identifier.

Within this structure, there are two main components that are linked through a ""rest"" relationship. The first component is associated with the term ""رئيس المؤتمر"" (meaning ""Chair of the Conference"") and is the first element in a sequence. The second component is linked to the term ""رئيس المرتبطة"" (meaning ""Chair of the Associated"") and is also the first element in its own sequence. 

The ""رئيس المؤتمر"" is followed by a ""nil"" value, indicating the end of its sequence. Meanwhile, the ""رئيس المرتبطة"" is connected to the first component through a ""rest"" relationship, suggesting a continuation of the sequence.

In summary, the subgraph outlines a hierarchical structure involving different types of chairs, their relationships, and their classifications within a broader context."
http://cmt_ar#c-0471234-6892254,Source,Class,لاشيء,"In the context of a conference, the phrase ""لاشيء"" translates to ""nothing"" in English. It could imply a lack of content, significance, or substance in a particular discussion or presentation. For example, if someone were to say ""لاشيء"" in response to a question about the outcomes of a session, it might suggest that they found the session unproductive or lacking in valuable information.","The phrase can be verbalized as: ""The conference is a subclass of nothing.""The subgraph describes a set of restrictions and relationships among various classes and properties in a structured format. Here’s a natural language description of the subgraph:

1. There are several restrictions defined, each associated with specific properties and cardinalities.
2. The class ""البحث"" (which translates to ""Research"") is a subclass of multiple restrictions, indicating that it inherits certain constraints.
3. One of the restrictions specifies that there must be exactly one instance of the property ""قراءته من قبل مراجع"" (translated as ""Read by Reviewer"").
4. Another restriction indicates that there is a maximum of one instance of the property ""مسند من قبل مراجع"" (translated as ""Cited by Reviewer"") associated with the class.
5. The class ""المراجع خارجي"" (translated as ""External Reference"") is also a subclass of a restriction that requires exactly one instance of the property ""مسند من قبل مراجع"".
6. The restrictions also include a property that allows for a minimum of zero instances of a certain property, which is related to the acceptance or rejection of something.
7. All restrictions are defined on the class ""لاشيء"" (translated as ""Nothing""), indicating that they do not have a specific class associated with them.
8. The relationships and restrictions collectively ensure that the ""البحث"" class adheres to specific criteria regarding how it can be referenced and reviewed.

Overall, the subgraph outlines a structured framework for managing the relationships and constraints associated with the ""البحث"" class and its interactions with reviewers and references."
http://cmt_ar#c-0625239-2425775,Source,Class,موضوع المحور,"In the context of a conference, ""موضوع المحور"" translates to ""the main topic"" or ""the central theme."" It refers to the primary subject or focus around which the conference discussions, presentations, and activities are organized. This topic is typically chosen to guide the agenda and ensure that all participants are aligned on the key issues being addressed during the event.","The phrase can be verbalized as: ""The subject has a range of the main topic."""
http://cmt_ar#c-0634254-3328105,Source,Class,رئيس المرتبطة,"In the context of a conference, ""رئيس المرتبطة"" translates to ""Chair of the Committee"" or ""Chair of the Associated Group."" This title typically refers to the person who leads or oversees a specific committee or group that is connected to the main conference activities. The chair is responsible for guiding discussions, facilitating meetings, and ensuring that the objectives of the committee are met.","The phrase can be verbalized as follows:

""The 'رئيس المرتبطة' (Chair of the Association) is a subclass of 'عضو المؤتمر' (Member of the Conference) and is disjoint with 'رئيس المؤتمر' (Chair of the Conference).""The subgraph describes a classification structure involving the term ""رئيس"" (which translates to ""President"" in English). It indicates that ""رئيس"" is equivalent to a certain class represented by a blank node. 

Within this classification, there are two main components: 

1. The first component is ""رئيس المؤتمر"" (President of the Conference), which is the first element in a list associated with the blank node.
2. The second component is ""رئيس المرتبطة"" (President of the Associated), which is also the first element in another list linked to a different blank node.

The structure further indicates that ""رئيس المرتبطة"" has a subsequent element that leads to ""رئيس المؤتمر,"" and that the list associated with ""رئيس المؤتمر"" ends with ""nil,"" signifying the end of that list.

Additionally, the classification of ""رئيس"" is defined as a type of ""Class,"" and it is part of a union of another list that includes ""رئيس اللجنة العلمية"" (President of the Scientific Committee) as its first element.

In summary, the subgraph outlines a hierarchical relationship where ""رئيس"" encompasses various roles, including ""رئيس المؤتمر"" and ""رئيس المرتبطة,"" and is part of a broader classification that includes other related titles."
http://cmt_ar#c-1031803-6530562,Source,Class,قرار,"In the context of a conference, the word ""قرار"" (qarar) typically means ""resolution"" or ""decision."" It refers to a formal agreement or conclusion reached by the participants during the conference, often outlining actions to be taken or policies to be adopted.","Here are the verbalized phrases based on the provided RDF triples:

1. ""تم تقرير أن يكون مقبول أو مرفوض هو نوع من القرار.""
2. ""الرفض هو نوع من القرار.""
3. ""القبول هو نوع من القرار.""
4. ""القرار هو متعارض مع أفضلية، شخص، لجنة العلمية، مؤتمر، مزايدة، و وثيقة."""
http://cmt_ar#c-1232161-0048624,Source,Class,لجنة العلمية,"In the context of a conference, ""لجنة العلمية"" translates to ""Scientific Committee"" in English. This committee is typically responsible for overseeing the academic and scientific aspects of the conference, including the review of submitted papers, organizing sessions, and ensuring the quality and relevance of the content presented.","Here are the verbalized phrases based on the provided triples:

1. ""عضو في اللجنة العلمية"" is a member of the ""لجنة العلمية"".
2. ""قرار"" is disjoint with ""لجنة العلمية"", meaning they do not overlap.
3. ""لجنة العلمية"" has a member, indicating that it includes individuals.
4. ""لجنة العلمية"" is disjoint with ""أفضلية"", ""شخص"", ""مؤتمر"", ""مزايدة"", and ""وثيقة"", indicating that it does not share any members or characteristics with these entities."
http://cmt_ar#c-1708774-9125777,Source,Class,مشرف,"In the context of a conference, the term ""مشرف"" (mushrif) typically refers to a supervisor or overseer. This person is responsible for overseeing the proceedings of the conference, ensuring that everything runs smoothly, and managing various aspects such as scheduling, coordination, and participant engagement. The مشرف plays a crucial role in facilitating discussions and maintaining order during the event.","1. ""أضافته من قبل"" هو نطاقه ""مشرف"".
2. ""إدخال التفاصيل حول"" هو مجاله ""مشرف"".
3. ""إدخال معايير المراجعة"" هو مجاله ""مشرف"".
4. ""اجتماع الظاهري ممكن من قبل"" هو نطاقه ""مشرف"".
5. ""احالة أدوات البحث مشغل من قبل"" هو نطاقه ""مشرف"".
6. ""احالة البحث منتهي من قبل"" هو نطاقه ""مشرف"".
7. ""استكمال احالة البحث"" هو مجاله ""مشرف"".
8. ""بحث مرفوض"" هو مجاله ""مشرف"".
9. ""بدء تقديم العطاءات المراجع"" هو مجاله ""مشرف"".
10. ""بدأ تقديم العطاءات المراجع من قبل"" هو نطاقه ""مشرف"".
11. ""تحديد مجموعة عدد أقصى من الابحاث المسندة"" هو مجاله ""مشرف"".
12. ""تشغيل أدوات احالة البحث"" هو مجاله ""مشرف"".
13. ""تعيينه من قبل مشرف"" هو نطاقه ""مشرف"".
14. ""تفاصيل مدخلة من قبل"" هو نطاقه ""مشرف"".
15. ""تمكين الاجتماع الظاهري"" هو مجاله ""مشرف"".
16. ""رفض من قبل"" هو نطاقه ""مشرف"".
17. ""طباعة نسخة من البريد الالكتروني للمظاهرات"" هو مجاله ""مشرف"".
18. ""قبوله من قبل"" هو نطاقه ""مشرف"".
19. ""معايير مراجعة أدخلت من قبل"" هو نطاقه ""مشرف"".
20. ""نسخة من البريد الالكتروني للمظاهرات مطبوعة من قبل"" هو نطاقه ""مشرف"".
21. ""يضيف"" هو مجاله ""مشرف"".
22. ""يعيين"" هو مجاله ""مشرف"".
23. ""يقبل"" هو مجاله ""مشرف"".
24. ""مشرف"" هو فئة فرعية من ""المستخدم""."
http://cmt_ar#c-1753052-0526039,Source,Class,ملخص البحث,"ملخص البحث يعني ""abstract of the research"" باللغة الإنجليزية. في سياق المؤتمر، يشير إلى ملخص مختصر يتضمن الأهداف، المنهجية، والنتائج الرئيسية للبحث المقدم. يُستخدم الملخص لتقديم فكرة عامة عن محتوى البحث للزوار والمشاركين في المؤتمر، مما يساعدهم على فهم الموضوعات المطروحة واختيار الجلسات التي يرغبون في حضورها.","The phrase can be verbalized as: ""ملخص البحث هو نوع من أنواع البحث."" 

In English, this translates to: ""The research summary is a subclass of research."""
http://cmt_ar#c-1776859-6098962,Source,Class,أفضلية,"In the context of a conference, ""أفضلية"" (which translates to ""preference"" or ""advantage"" in English) could refer to the prioritization of certain topics, speakers, or sessions that are deemed more important or beneficial for the attendees. It may also relate to the advantages of attending the conference, such as networking opportunities, gaining insights from industry leaders, or accessing exclusive information. Overall, it emphasizes the value or superiority of specific elements within the conference setting.","Here are the verbalized phrases for the given triples:

1. ""قرار"" is disjoint with ""أفضلية"".
2. ""لجنة العلمية"" is disjoint with ""أفضلية"".
3. ""أفضلية"" is disjoint with ""شخص"".
4. ""أفضلية"" is disjoint with ""مؤتمر"".
5. ""أفضلية"" is disjoint with ""مزايدة"".
6. ""أفضلية"" is disjoint with ""وثيقة""."
http://cmt_ar#c-2220987-5331821,Source,Class,عضو المؤتمر,"In the context of a conference, ""عضو المؤتمر"" translates to ""conference member"" or ""conference participant."" It refers to an individual who is officially part of the conference, either as an attendee, speaker, or contributor to the event.","Here are the verbalized phrases based on the provided RDF triples:

1. ""الكاتب"" هو نوع من ""عضو المؤتمر"".
2. ""المراجع"" هو نوع من ""عضو المؤتمر"".
3. ""رئيس المؤتمر"" هو نوع من ""عضو المؤتمر"".
4. ""رئيس المرتبطة"" هو نوع من ""عضو المؤتمر"".
5. ""عضو في اللجنة العلمية"" هو نوع من ""عضو المؤتمر"".
6. ""لديه عضو"" يشير إلى ""عضو المؤتمر"".
7. ""عضو المؤتمر"" هو نوع من ""شخص""."
