entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://cmt_fr#c-0218338-0979990,Source,Class,document,"In the context of a conference, a ""document"" typically refers to any written or printed material that is used to convey information, support discussions, or provide evidence. This can include agendas, research papers, presentations, handouts, reports, or minutes from previous meetings. Documents serve as essential tools for participants to follow along, reference key points, and ensure that the objectives of the conference are met effectively.","Here are the verbalized phrases based on the provided triples:

1. The class ""Article"" is a subclass of the class ""Document.""
2. The class ""Rapport d'examen"" is a subclass of the class ""Document.""
3. The phrase ""a un conflit d'intérêt à propos de"" has a range that pertains to the class ""Document.""
4. The class ""Document"" is disjoint with the classes ""Comité de programme,"" ""Conférence,"" ""Décision,"" ""Personne,"" ""Proposition de relecture,"" and ""Préférence."""
http://cmt_fr#c-0480911-0003886,Source,Class,auteur,"In the context of a conference, the term ""auteur"" refers to a filmmaker or creator who exerts significant control over the artistic and creative aspects of their work, often shaping the narrative, style, and themes in a distinctive way. This concept emphasizes the individual's personal vision and unique voice in the filmmaking process, suggesting that the creator's personal experiences and perspectives heavily influence the final product. Discussions at the conference may explore how the auteur theory applies to various filmmakers, the implications for storytelling, and the impact on the film industry as a whole.","Here are the verbalized phrases based on the provided RDF triples:

1. ""An author who is not a reviewer is a subclass of an author.""
2. ""A co-author is a subclass of an author.""
3. ""The property 'has an author' has a range of authors.""
4. ""The property 'submits the article' has a domain of authors.""
5. ""The property 'writes the article' has a domain of authors.""
6. ""An author is a subclass of both a conference member and a user.""The subgraph describes a structured relationship involving several entities and their attributes. 

1. There is an entity identified as ""Auteur"" which has a relationship labeled ""rest"" that connects it to another entity.
2. This second entity, which is unnamed but represented by a unique identifier, has a ""first"" attribute that identifies it as ""Relecteur.""
3. The ""Relecteur"" entity is linked to a third entity, which is classified as a ""Class"" and is represented by another unique identifier. This ""Class"" entity has a ""unionOf"" relationship that connects it back to the first entity, ""Auteur.""
4. Additionally, there is another entity identified as ""Président,"" which has a ""first"" attribute and is linked to a domain that indicates a conflict of interest related to the ""Class"" entity.
5. The ""Président"" entity also has a ""rest"" attribute that points to a value of ""nil,"" indicating the absence of further connections.

In summary, the description outlines a network of relationships involving an author, a reviewer, a president, and a class, with a specific focus on a conflict of interest associated with the class."
http://cmt_fr#c-0712755-6034378,Source,Class,acceptation,"In the context of a conference, ""acceptation"" refers to the formal acceptance or approval of ideas, proposals, or papers presented by participants. It signifies that the content has been recognized as valuable or relevant by the conference organizers or peers, often leading to further discussion, collaboration, or publication.","The class ""Acceptation"" is a subclass of the class ""Décision,"" and it is disjoint with the class ""Rejet."""
http://cmt_fr#c-0743498-8291005,Source,Class,m ta relecteur,"In the context of a conference, ""Méta-relecteur"" can be understood as a term that refers to a meta-reviewer or a person who evaluates the evaluations made by other reviewers. This role is often crucial in academic and professional conferences where multiple submissions are reviewed by different experts. The méta-relecteur ensures that the reviews are consistent, fair, and of high quality, providing an additional layer of scrutiny before decisions are made about which papers or presentations to accept. This role helps maintain the integrity and standards of the conference proceedings.","Here are the verbalized phrases based on the provided RDF triples:

1. ""The action of being read is performed by the meta-reviewer.""
2. ""The meta-reviewer is a subclass of the reviewer."""
http://cmt_fr#c-0752747-4444619,Source,Class,relecteur,"In the context of a conference, ""Relecteur"" typically refers to a reviewer or an editor who evaluates submitted papers, presentations, or proposals. This individual is responsible for assessing the quality, relevance, and originality of the work, providing feedback, and determining whether it meets the standards for acceptance at the conference. The role of a relecteur is crucial in maintaining the integrity and academic rigor of the conference proceedings.","Here are the verbalized phrases based on the provided triples:

1. ""Méta-relecteur"" is a subclass of ""Relecteur.""
2. ""A été associé à"" has a domain of ""Relecteur.""
3. ""Affecte le rôle de relecteur externe à"" has a domain of ""Relecteur.""
4. ""Affecte le rôle de relecteur à"" has a range of ""Relecteur.""
5. ""Ajuste la proposition de relecture"" has a domain of ""Relecteur.""
6. ""Est affecté par l'administrateur"" has a domain of ""Relecteur.""
7. ""Est affecté par le relecteur"" has a range of ""Relecteur.""
8. ""Est ajusté par"" has a range of ""Relecteur.""
9. ""Est assigné à"" has a range of ""Relecteur.""
10. ""Est lu par le relecteur"" has a range of ""Relecteur.""
11. ""Est écrit par"" has a range of ""Relecteur.""
12. ""Lit l'article"" has a domain of ""Relecteur.""
13. ""Écrit le rapport d'examen"" has a domain of ""Relecteur.""
14. ""Relecteur"" is a subclass of ""Membre de conférence"" and ""Utilisateur.""
15. ""Relecteur"" is disjoint with ""Auteur qui n'est pas relecteur"" and ""Relecteur externe.""The subgraph describes a structured relationship involving several entities and their attributes. 

1. There is an entity identified as ""Auteur"" which is linked to another entity through a relationship labeled ""rest."" This second entity is identified as ""Relecteur"" and is connected to a third entity that represents a type, specifically a ""Class.""

2. This ""Class"" entity is defined as a union of the first entity, ""Auteur,"" indicating that it encompasses or includes this entity within its classification.

3. Additionally, there is another entity identified as ""Président,"" which is linked to the ""Class"" entity through a relationship that indicates it signals a conflict of interest. This relationship specifies that the domain of the conflict of interest pertains to the ""Class"" entity.

4. The ""Président"" entity also has a ""rest"" relationship that points to a nil value, suggesting that there are no further connections or attributes associated with it.

In summary, the description outlines a structure where ""Auteur"" and ""Relecteur"" are related, both connected to a ""Class"" that signifies a domain of conflict of interest involving ""Président."""
http://cmt_fr#c-0917731-1974635,Source,Class,pr sident de comit de programme,"In the context of a conference, ""Président de comité de programme"" refers to the ""Chair of the Program Committee."" This individual is responsible for overseeing the development and organization of the conference program, which includes selecting topics, inviting speakers, and ensuring the quality and relevance of the presentations and sessions. The chair plays a crucial role in shaping the conference's content and ensuring that it meets the objectives and interests of the attendees.","1. The President of the program committee finalizes the proofreading process.
2. The President of the program committee is a subclass of a member of the program committee.The subgraph describes a classification of roles related to conference leadership. It identifies a class called ""Président,"" which is defined as an equivalent class to a union of specific roles. 

Within this class, the first role is ""Président de comité de programme,"" which refers to the chair of a program committee. Following this, the next role is ""Président de conférence,"" meaning the chair of a conference. Additionally, there is a role identified as ""Président adjoint de conférence,"" which translates to the deputy chair of a conference. 

These roles are organized in a sequence, with ""Président de conférence"" leading to ""Président adjoint de conférence,"" indicating a hierarchy or relationship among these positions. The overall structure is categorized under a class type, emphasizing the formal classification of these leadership roles in the context of conferences."
http://cmt_fr#c-1646923-7206967,Source,Class,m ta rapport d examen,"In the context of a conference, ""Méta-rapport d'examen"" refers to a comprehensive report that synthesizes and analyzes the findings from various examinations or assessments conducted during the event. This type of report typically goes beyond summarizing individual presentations or discussions; it aims to provide a broader perspective on the themes, insights, and implications derived from the collective contributions of participants. The ""méta"" aspect indicates that it is a higher-level overview, integrating multiple viewpoints and data points to offer a cohesive understanding of the conference's outcomes.","The phrase can be verbalized as: ""The 'Méta-rapport d'examen' is a subclass of 'Rapport d'examen'."""
http://cmt_fr#c-2724520-3587324,Source,Class,membre de conf rence,"In the context of a conference, ""Membre de conférence"" is a French term that translates to ""Member of the conference"" in English. It typically refers to an individual who is a participant or a member of a conference, often involved in discussions, presentations, or collaborative activities. This designation may imply that the person has a role in contributing to the conference's objectives, whether as a speaker, panelist, or attendee engaged in the exchange of ideas.","1. The class ""Auteur"" is a subclass of the class ""Membre de conférence.""
2. The class ""Membre de comité de programme"" is a subclass of the class ""Membre de conférence.""
3. The class ""Président adjoint de conférence"" is a subclass of the class ""Membre de conférence.""
4. The class ""Président de conférence"" is a subclass of the class ""Membre de conférence.""
5. The class ""Relecteur"" is a subclass of the class ""Membre de conférence.""
6. The property ""a pour membre de conférence"" has a range that includes ""Membre de conférence.""
7. The class ""Membre de conférence"" has a domain that includes ""Membre de conférence"" and is a subclass of ""Personne."""
http://cmt_fr#c-2745207-1642565,Source,Class,pr sident,"In the context of a conference, ""Président"" typically refers to the person who presides over the meeting or session. This individual is responsible for leading discussions, managing the agenda, ensuring that the conference runs smoothly, and facilitating interactions among participants. The Président may also represent the conference in official capacities and may have a role in making decisions or guiding the overall direction of the event.","The phrase can be verbalized as: ""The class of 'Président' is a subclass of the class 'Personne'.""The subgraph describes a structured relationship among various roles and classes related to academic conferences and committees. 

1. **Classes and Roles**: 
   - There is a class called ""Président"" which is defined as equivalent to another class represented by a unique identifier. This class encompasses various roles, including ""Président de comité de programme"" (Chair of the Program Committee), ""Président de conférence"" (Conference Chair), and ""Président adjoint de conférence"" (Deputy Conference Chair).
   - Additionally, there is a role identified as ""Relecteur"" (Reviewer) and another role identified as ""Auteur"" (Author).

2. **Relationships**:
   - The class ""Président"" is formed as a union of the roles ""Président de comité de programme"" and ""Président de conférence"".
   - The class represented by the unique identifier also includes the role ""Relecteur"".
   - The role ""Président"" is linked to a domain that indicates it can signal a conflict of interest.

3. **Structure**:
   - The relationships are organized in a way that each role can be seen as part of a larger class structure, with specific roles being the first elements in their respective lists, followed by potential additional roles or identifiers.

In summary, the subgraph outlines the hierarchical structure of roles associated with academic conferences, detailing how they relate to the overarching class of ""Président"" and the implications of these roles in terms of conflicts of interest."
http://cmt_fr#c-3407699-0090940,Source,Class,version compl te d article,"In the context of a conference, ""Version complète d'article"" translates to ""Full version of the article."" This typically refers to the complete text of a research paper or article that has been presented or discussed at the conference, providing all the details, findings, and conclusions that may not be included in a summary or abstract. Attendees may seek the ""version complète"" to gain a deeper understanding of the research presented.","The phrase can be verbalized as: ""The complete version of an article is a subclass of an article."""
