entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://cmt_fr#c-0218338-0979990,Source,Class,document,"In the context of a conference, a ""document"" typically refers to any written or printed material that is used to convey information, support discussions, or provide evidence. This can include agendas, research papers, presentations, handouts, reports, or minutes from previous meetings. Documents serve as essential tools for participants to follow along, reference key points, and engage meaningfully in the conference proceedings.","Here are the verbalized phrases based on the provided triples:

1. The class ""Article"" is a subclass of the class ""Document.""
2. The class ""Rapport d'examen"" is a subclass of the class ""Document.""
3. The phrase ""a un conflit d'intérêt à propos de"" has a range that includes the class ""Document.""
4. The class ""Document"" is disjoint with the classes ""Comité de programme,"" ""Conférence,"" ""Décision,"" ""Personne,"" ""Proposition de relecture,"" and ""Préférence."""
http://cmt_fr#c-0480911-0003886,Source,Class,auteur,"In the context of a conference, the term ""auteur"" refers to a filmmaker or creator who exerts significant control over the artistic and creative aspects of their work, often shaping the film's style, themes, and narrative. This concept emphasizes the individual's personal vision and distinctive voice, suggesting that the creator's unique perspective is a key element in the storytelling process. Discussions at the conference may explore how the auteur theory influences filmmaking, the role of the director as an artist, and the impact of individual creativity on the broader cinematic landscape.","Here are the verbalized phrases based on the provided RDF triples:

1. ""An author who is not a reviewer is a subclass of an author.""
2. ""A co-author is a subclass of an author.""
3. ""The property 'has an author' has a range of authors.""
4. ""The property 'submits the article' has a domain of authors.""
5. ""The property 'writes the article' has a domain of authors.""
6. ""An author is a subclass of both a conference member and a user.""The subgraph describes a structure involving various entities and their relationships. Here’s a natural language description:

There is a class represented by an entity that is associated with a conflict of interest. This class is defined as a union of several components. One of these components is identified as ""Relecteur,"" which is a role or title. Another component is ""Président,"" and it is noted that this entity has no further components, indicated by the term ""nil."" Additionally, there is a component labeled ""Auteur,"" which is the first element in the union of the class. 

In summary, the class encompasses roles such as ""Relecteur,"" ""Président,"" and ""Auteur,"" and it is linked to a conflict of interest."
http://cmt_fr#c-0712755-6034378,Source,Class,acceptation,"In the context of a conference, ""acceptation"" refers to the formal acceptance or approval of ideas, proposals, or papers presented by participants. It signifies that the content has been recognized as valuable or relevant by the conference organizers or peers, often leading to opportunities for further discussion, collaboration, or publication.","The class ""Acceptation"" is a subclass of the class ""Décision,"" and it is disjoint with the class ""Rejet."""
http://cmt_fr#c-0743498-8291005,Source,Class,m ta relecteur,"In the context of a conference, ""Méta-relecteur"" refers to a role or function that involves a higher-level review or oversight of the content being presented or discussed. This could mean that the individual in this role is responsible for critically analyzing the material, providing feedback, and ensuring that the ideas and arguments are coherent and well-structured. The term suggests a meta-level engagement with the content, where the méta-relecteur not only reviews the specifics but also considers the broader implications and connections of the work within the field. This role is crucial in academic and professional settings to enhance the quality and rigor of presentations and discussions.","Here are the verbalized phrases based on the provided RDF triples:

1. ""Est lu par le méta-relecteur"" is associated with the range ""Méta-relecteur.""
2. ""Méta-relecteur"" is a subclass of ""Relecteur."""
http://cmt_fr#c-0752747-4444619,Source,Class,relecteur,"In the context of a conference, ""Relecteur"" typically refers to a reviewer or an individual responsible for evaluating submissions, such as research papers or presentations. This person assesses the quality, relevance, and originality of the work, providing feedback to the authors and helping to ensure that the conference maintains high academic standards. The role of a ""Relecteur"" is crucial in the peer review process, contributing to the overall success and credibility of the conference.","Here are the verbalized phrases based on the provided triples:

1. ""Méta-relecteur"" is a subclass of ""Relecteur.""
2. ""A été associé à"" has a domain of ""Relecteur.""
3. ""Affecte le rôle de relecteur externe à"" has a domain of ""Relecteur.""
4. ""Affecte le rôle de relecteur à"" has a range of ""Relecteur.""
5. ""Ajuste la proposition de relecture"" has a domain of ""Relecteur.""
6. ""Est affecté par l'administrateur"" has a domain of ""Relecteur.""
7. ""Est affecté par le relecteur"" has a range of ""Relecteur.""
8. ""Est ajusté par"" has a range of ""Relecteur.""
9. ""Est assigné à"" has a range of ""Relecteur.""
10. ""Est lu par le relecteur"" has a range of ""Relecteur.""
11. ""Est écrit par"" has a range of ""Relecteur.""
12. ""Lit l'article"" has a domain of ""Relecteur.""
13. ""Écrit le rapport d'examen"" has a domain of ""Relecteur.""
14. ""Relecteur"" is a subclass of ""Membre de conférence"" and ""Utilisateur.""
15. ""Relecteur"" is disjoint with ""Auteur qui n'est pas relecteur"" and ""Relecteur externe.""The subgraph describes a structure involving various entities and their relationships. Here’s a natural language description:

There is a class represented by an identifier, which is associated with a conflict of interest. This class is defined as a union of several components. One of these components is a role labeled ""Relecteur,"" which is linked to another role labeled ""Président."" The ""Président"" role is further connected to a nil value, indicating the absence of additional information or entities. Additionally, the ""Relecteur"" role is part of a broader structure that includes another component labeled ""Auteur."" 

In summary, the subgraph outlines a hierarchy of roles (Relecteur, Président, and Auteur) within a class that signifies a conflict of interest."
http://cmt_fr#c-0917731-1974635,Source,Class,pr sident de comit de programme,"In the context of a conference, ""Président de comité de programme"" refers to the ""Chair of the Program Committee."" This individual is responsible for overseeing the development and organization of the conference program, which includes selecting topics, inviting speakers, and ensuring the quality and relevance of the presentations and sessions. The chair plays a crucial role in shaping the conference's content and ensuring that it meets the objectives and interests of the attendees.","1. The phrase ""finalise le processus de relecture"" is associated with the domain of ""Président de comité de programme.""
   
2. The term ""Président de comité de programme"" is a subclass of ""Membre de comité de programme.""The subgraph describes a class structure related to conference leadership roles. It defines a class represented by a unique identifier, which is characterized as a ""Class."" This class is defined as a union of several elements, one of which is a list of roles.

The roles included in this list are:
1. ""Président de conférence"" (Conference President)
2. ""Président adjoint de conférence"" (Deputy Conference President)
3. ""Président de comité de programme"" (Program Committee Chair)

The list of roles is structured such that ""Président de conférence"" is the first element, followed by ""Président adjoint de conférence,"" and it concludes with ""nil,"" indicating the end of the list. 

Additionally, the class ""Président"" is stated to be equivalent to the class represented by the unique identifier, linking the concept of a president in this context to the defined class structure."
http://cmt_fr#c-1646923-7206967,Source,Class,m ta rapport d examen,"In the context of a conference, ""Méta-rapport d'examen"" refers to a comprehensive report that synthesizes and analyzes the findings from various examinations or assessments conducted during the event. This type of report typically goes beyond summarizing individual presentations or discussions; it aims to provide a broader perspective on the themes, insights, and implications derived from the collective contributions of participants. The ""méta"" aspect indicates a higher-level overview, often highlighting trends, challenges, and recommendations that emerged from the conference discussions.","The phrase can be verbalized as: ""The 'Méta-rapport d'examen' is a subclass of 'Rapport d'examen'."""
http://cmt_fr#c-2724520-3587324,Source,Class,membre de conf rence,"In the context of a conference, ""Membre de conférence"" typically refers to a member or participant of the conference, often implying someone who is actively involved in the discussions, presentations, or organizational aspects of the event. This term can denote a speaker, panelist, or a delegate who contributes to the conference's objectives and activities.","1. The class ""Auteur"" is a subclass of the class ""Membre de conférence.""
2. The class ""Membre de comité de programme"" is a subclass of the class ""Membre de conférence.""
3. The class ""Président adjoint de conférence"" is a subclass of the class ""Membre de conférence.""
4. The class ""Président de conférence"" is a subclass of the class ""Membre de conférence.""
5. The class ""Relecteur"" is a subclass of the class ""Membre de conférence.""
6. The property ""a pour membre de conférence"" has a range that includes ""Membre de conférence.""
7. The class ""Membre de conférence"" has a domain that includes ""Membre de conférence"" and is a subclass of ""Personne."""
http://cmt_fr#c-2745207-1642565,Source,Class,pr sident,"In the context of a conference, ""Président"" typically refers to the person who presides over the meeting or session. This individual is responsible for leading discussions, managing the agenda, ensuring that the conference runs smoothly, and facilitating interactions among participants. The term can also denote a formal title for a leader or head of an organization or committee within the conference setting.","The phrase can be verbalized as: ""The class of 'Président' is a subclass of the class 'Personne'.""The subgraph describes a structured relationship among various roles and classes related to a conference or academic setting. 

1. There is a class identified as ""Class"" which encompasses several roles.
2. Within this class, there are specific roles such as ""Président"" (President), ""Relecteur"" (Reviewer), ""Président de conférence"" (Conference Chair), ""Président adjoint de conférence"" (Vice President of Conference), and ""Auteur"" (Author).
3. The role of ""Président"" is equivalent to another class represented by a unique identifier.
4. The ""Président"" has no additional roles associated with it, indicating it is a standalone position.
5. The ""Relecteur"" is linked to the ""Président"" role, suggesting a hierarchical or functional relationship.
6. The ""Président de conférence"" and ""Président adjoint de conférence"" are also part of the same class, indicating they share similar responsibilities or functions.
7. The ""Auteur"" role is also included in this classification, suggesting that authors may have a distinct but related function within the conference context.
8. Additionally, there is a mention of a conflict of interest, which is associated with the class that includes these roles, indicating that these positions may have ethical considerations tied to their responsibilities.

Overall, the subgraph outlines a framework of roles within a conference setting, highlighting their relationships and the potential for conflicts of interest."
http://cmt_fr#c-3407699-0090940,Source,Class,version compl te d article,"In the context of a conference, ""Version complète d'article"" translates to ""full version of the article."" This typically refers to the complete text of a research paper or article that provides detailed information, findings, and analyses presented at the conference. It is often made available for attendees or participants who wish to delve deeper into the subject matter discussed during the event.","The phrase can be verbalized as: ""The complete version of an article is a subclass of an article."""
