entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://cmt_cn#c-0108865-3676500,Source,Class,程序委员会主席,"In the context of a conference, ""程序委员会主席"" (chéngxù wěiyuánhuì zhǔxí) translates to ""Chair of the Program Committee."" This individual is responsible for overseeing the planning and organization of the conference program, which includes reviewing submitted papers, coordinating the selection of speakers, and ensuring the overall quality and relevance of the conference content. The chair plays a crucial role in shaping the academic and professional discussions that will take place during the event.","1. The action of ""结束审稿"" is associated with the domain of ""程序委员会主席"" (the chair of the program committee).
  
2. The role of ""程序委员会主席"" (the chair of the program committee) is a subclass of ""程序委员会成员"" (members of the program committee).The subgraph describes a hierarchy of leadership roles within a conference or event. It identifies three key positions: the ""大会主席"" (Conference Chair), the ""副主席"" (Vice Chair), and the ""程序委员会主席"" (Chair of the Program Committee). 

The ""大会主席"" is the first position listed, followed by the ""副主席,"" which is the second position. The ""程序委员会主席"" is also noted as a significant role, and it is part of a class that encompasses these leadership roles. 

The relationships indicate that the ""主席"" (Chair) is equivalent to the class that includes the aforementioned roles, suggesting that these positions are part of a structured leadership framework. The subgraph also shows that the ""副主席"" follows the ""大会主席"" in the hierarchy, while the ""程序委员会主席"" is linked to the ""副主席,"" indicating a sequential relationship among these roles. 

Overall, the subgraph outlines a clear structure of leadership within the context of a conference, highlighting the roles and their interconnections."
http://cmt_cn#c-0381608-3658679,Source,Class,非审稿人的作者,"In the context of a conference, the term ""非审稿人的作者"" (which translates to ""non-reviewer authors"") typically refers to authors of a paper or submission who are not involved in the peer review process of that paper. This distinction is important in academic settings, as it helps to maintain objectivity and avoid conflicts of interest. Non-reviewer authors may contribute to the research and writing of the paper but do not participate in evaluating or making decisions about its acceptance for presentation or publication at the conference.","The phrase can be verbalized as follows:

""The class of 'non-reviewer authors' is a subclass of 'authors' and is disjoint from both 'reviewers' and 'program committee members'."""
http://cmt_cn#c-0908936-3785080,Source,Class,管理人员,"In the context of a conference, 管理人员 (guǎn lǐ rén yuán) refers to management personnel or management staff. These are individuals responsible for overseeing and coordinating various aspects of the conference, such as planning, organization, logistics, and ensuring that everything runs smoothly. Their role is crucial for the successful execution of the event.","Here are the verbalized phrases based on the provided RDF triples:

1. ""管理人员可以启用虚拟会议。""
2. ""管理人员可以增补程序委员会成员。""
3. ""审稿人投标始于管理人员。""
4. ""管理人员可以开始审稿投标。""
5. ""管理人员可以录入会议详情。""
6. ""管理人员可以录入审稿标准。""
7. ""管理人员可以录用论文。""
8. ""管理人员可以打印硬拷贝邮件舱单。""
9. ""管理人员可以拒收论文。""
10. ""管理人员可以指定审稿人。""
11. ""虚拟会议由管理人员启动。""
12. ""增补由管理人员进行。""
13. ""审稿标准由管理人员录入。""
14. ""会议详情由管理人员录入。""
15. ""论文由管理人员录用。""
16. ""硬拷贝邮件舱单由管理人员打印。""
17. ""论文由管理人员拒收。""
18. ""审稿人由管理人员指定。""
19. ""论文分派定稿由管理人员进行。""
20. ""论文分派工具由管理人员运行。""
21. ""论文分派由管理人员定稿。""
22. ""管理人员可以设置最多论文数。""
23. ""管理人员可以运行论文分派工具。""
24. ""管理人员是用户的子类。""

These phrases encapsulate the relationships and actions described in the RDF triples."
http://cmt_cn#c-1411693-7966496,Source,Class,论文,"In the context of a conference, ""论文"" (lùn wén) refers to a research paper or academic paper that is presented or submitted for discussion. It typically contains original research findings, theoretical analysis, or reviews of existing literature, and is often a key component of academic conferences where scholars share their work and engage with peers.","Here are the verbalized phrases based on the provided triples:

1. ""分派给"" is a property that applies to ""论文"".
2. ""合著"" is a property that relates to ""论文"".
3. ""录用论文"" is a property that relates to ""论文"".
4. ""投稿"" is a property that relates to ""论文"".
5. ""拒收论文"" is a property that relates to ""论文"".
6. ""撰写论文"" is a property that relates to ""论文"".
7. ""有主题领域"" is a property that applies to ""论文"".
8. ""有作者"" is a property that applies to ""论文"".
9. ""有决定"" is a property that applies to ""论文"".
10. ""有分派论文"" is a property that relates to ""论文"".
11. ""有合著者"" is a property that applies to ""论文"".
12. ""有投标"" is a property that applies to ""论文"".
13. ""标注兴趣冲突"" is a property that relates to ""论文"".
14. ""标题"" is a property that applies to ""论文"".
15. ""由之录用"" is a property that applies to ""论文"".
16. ""由之拒收"" is a property that applies to ""论文"".
17. ""由审稿人审阅"" is a property that applies to ""论文"".
18. ""由综合审稿人审阅"" is a property that applies to ""论文"".
19. ""论文全文"" is a subclass of ""论文"".
20. ""论文序号"" is a property that applies to ""论文"".
21. ""论文摘要"" is a subclass of ""论文"".
22. ""阅读论文"" is a property that relates to ""论文"".
23. ""论文"" is a subclass of ""文件"" and is disjoint with ""审稿意见"". 

These phrases summarize the relationships and classifications defined in the RDF triples.The subgraph describes a classification and restriction structure related to the concept of ""论文"" (which translates to ""paper"" in English). 

1. The term ""论文"" is defined as a subclass of a restriction that has the property ""有决定"" (which means ""has a decision""). This restriction allows for a minimum cardinality of 0, indicating that a paper may or may not have a decision associated with it.

2. Additionally, ""论文"" is also classified as a subclass of another restriction that has the property ""由审稿人审阅"" (meaning ""reviewed by a reviewer""). This restriction requires a minimum cardinality of 1, meaning that every paper must be reviewed by at least one reviewer.

3. Furthermore, ""论文"" is classified under a third restriction that has the property ""由综合审稿人审阅"" (which translates to ""reviewed by a comprehensive reviewer""). This restriction allows for a maximum cardinality of 1, indicating that a paper can be reviewed by at most one comprehensive reviewer.

In summary, the structure outlines that a paper must be reviewed by at least one reviewer, may have a decision associated with it (which is optional), and can be reviewed by at most one comprehensive reviewer."
http://cmt_cn#c-1609047-4017692,Source,Class,合著者,"In the context of a conference, the term 合著者 (gōuzhùzhě) refers to a ""co-author"" or ""collaborating author."" This is someone who has contributed to the research or paper being presented at the conference, sharing responsibility for the work and its findings with other authors. Co-authors typically collaborate on the writing, research, and overall development of the project.","Here are the verbalized phrases based on the provided RDF triples:

1. The term ""合著"" (co-authorship) is associated with the domain of ""合著者"" (co-authors).
2. The term ""有合著者"" (has co-authors) is related to the range of ""合著者"" (co-authors).
3. The class ""合著者"" (co-authors) is a subclass of ""作者"" (authors)."
http://cmt_cn#c-3149294-9818820,Source,Class,副主席,"In the context of a conference, 副主席 (fù zhǔ xí) translates to ""vice chair"" or ""deputy chair."" This role typically involves assisting the chairperson in managing the conference proceedings, facilitating discussions, and stepping in to lead sessions when the chair is unavailable. The vice chair may also help coordinate activities, ensure that the agenda is followed, and support the overall organization of the event.","The phrase can be verbalized as follows:

""The Vice Chairman is a subclass of Meeting Members and is disjoint from the Conference Chairman.""The subgraph describes a hierarchy of roles within a conference or event organization. It identifies three key positions: the ""大会主席"" (Conference Chair), the ""副主席"" (Vice Chair), and the ""程序委员会主席"" (Program Committee Chair). 

The ""大会主席"" is the first position listed, followed by the ""副主席,"" which is also the first in its category. The ""程序委员会主席"" is associated with a class type that encompasses these roles. 

Additionally, the ""主席"" (Chair) is defined as equivalent to the class type that includes the ""大会主席"" and the ""程序委员会主席."" The relationships indicate that the ""副主席"" follows the ""大会主席,"" and the ""程序委员会主席"" is part of the same organizational structure, linking these roles together in a defined order. 

Overall, the subgraph illustrates the structure and relationships of leadership roles within the context of a conference."
http://cmt_cn#c-3211087-4346168,Source,Class,综合审稿人,"In the context of a conference, ""综合审稿人"" (zōnghé shěn gǎo rén) translates to ""comprehensive reviewer"" or ""integrated reviewer."" This term typically refers to a reviewer who evaluates submissions not only for their technical content but also considers various aspects such as originality, relevance, clarity, and overall contribution to the field. A comprehensive reviewer provides a holistic assessment of the work, ensuring that it meets the conference's standards and objectives.","1. ""由综合审稿人审阅"" 的范围是 ""综合审稿人""。
2. ""综合审稿人"" 是 ""审稿人"" 的子类。"
http://cmt_cn#c-4245259-3253907,Source,Class,偏爱,"In the context of a conference, 偏爱 (piān ài) means to have a preference or favoritism towards a particular topic, speaker, or idea. It suggests that someone may show a stronger interest or inclination towards certain aspects of the conference over others. For example, a participant might偏爱 certain sessions that align more closely with their professional interests or personal beliefs.","The term ""偏爱"" is disjoint with the following concepts: ""人员,"" ""会议,"" ""决定,"" ""投标,"" ""文件,"" and ""程序委员会."" This means that ""偏爱"" does not overlap or share any common characteristics with these concepts."
http://cmt_cn#c-4366560-5113302,Source,Class,审稿意见,"In the context of a conference, 审稿意见 (shěn gǎo yì jiàn) refers to the review comments or feedback provided by reviewers on a submitted paper or abstract. These comments typically assess the quality, originality, and relevance of the work, and may include suggestions for improvement or revisions before the paper can be accepted for presentation at the conference.","Here are the verbalized phrases based on the provided triples:

1. ""撰写审稿意见"" has a range of ""审稿意见.""
2. ""由之撰写"" has a domain of ""审稿意见.""
3. ""结束审稿"" has a range of ""审稿意见.""
4. ""综合审稿意见"" is a subclass of ""审稿意见.""
5. ""论文"" is disjoint with ""审稿意见.""
6. ""审稿意见"" is a subclass of ""文件."""
http://cmt_cn#c-4394296-4732223,Source,Class,用户,"In the context of a conference, ""用户"" (yònghù) translates to ""user"" in English. It typically refers to individuals or entities that utilize a product, service, or system being discussed at the conference. Understanding the needs and experiences of users is often a key focus in discussions about technology, software, or any user-centered design topics at such events.","Here are the verbalized phrases for the given RDF triples:

1. ""作者"" is a subclass of ""用户"".
2. ""审稿人"" is a subclass of ""用户"".
3. ""管理人员"" is a subclass of ""用户"".
4. ""用户"" is a subclass of ""人员""."
http://cmt_cn#c-4857754-7093471,Source,Class,拒收,"In the context of a conference, 拒收 (jù shōu) means ""refusal to accept"" or ""rejection of receipt."" This could refer to a situation where certain materials, documents, or items related to the conference are not accepted or acknowledged, possibly due to issues like non-compliance with guidelines, inappropriate content, or logistical reasons.","The phrase can be verbalized as follows:

""The concept of '拒收' (refusal) is a subclass of the concept '决定' (decision) and is disjoint from the concept '录用' (employment)."""
