entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://cmt_cn#c-0108865-3676500,Source,Class,程序委员会主席,"In the context of a conference, ""程序委员会主席"" (chéngxù wěiyuánhuì zhǔxí) translates to ""Chair of the Program Committee."" This individual is responsible for overseeing the planning and organization of the conference program, which includes reviewing submitted papers, coordinating the selection of speakers, and ensuring the overall quality and relevance of the conference content. The chair plays a crucial role in shaping the academic and professional discussions that will take place during the event.","1. The action of ""结束审稿"" is associated with the domain of ""程序委员会主席"" (Chair of the Program Committee).
  
2. The role of ""程序委员会主席"" (Chair of the Program Committee) is a subclass of ""程序委员会成员"" (Member of the Program Committee).The subgraph describes a hierarchical structure of leadership roles within an organization, specifically focusing on various types of chairpersons. 

1. The term ""主席"" (which translates to ""Chairperson"" or ""President"") is identified as an equivalent class to a certain abstract entity represented by the identifier '_:N7f2bfd606b7342b588760d374453364f'.
2. This entity is classified as a type of ""Class"" and is defined as a union of another entity represented by '_:Ncd72ab389d0b43ba8281a20f33a2650d'.
3. Within this structure, there are specific roles: 
   - The first role is ""大会主席"" (which translates to ""Conference Chair""), linked to the identifier '_:Nccd70426028043e490780fff4eb29b90'.
   - The second role is ""程序委员会主席"" (which translates to ""Program Committee Chair""), linked to the identifier '_:Ncd72ab389d0b43ba8281a20f33a2650d'.
   - Additionally, there is a role identified as ""副主席"" (which translates to ""Vice Chair""), associated with the identifier '_:N434ceee4ecaf4f2ea8cac196a0b7444f'.
4. The role of ""大会主席"" is noted to have no further roles or members associated with it, as indicated by the 'rest' relationship leading to 'nil'.

In summary, the subgraph outlines a classification of leadership roles, including a Chairperson, Conference Chair, Program Committee Chair, and Vice Chair, while establishing their relationships and hierarchies within a formal structure."
http://cmt_cn#c-0381608-3658679,Source,Class,非审稿人的作者,"In the context of a conference, the term ""非审稿人的作者"" (which translates to ""non-reviewer authors"") typically refers to authors of a paper or submission who are not involved in the peer review process of that paper. This distinction is important in academic settings, as it helps to identify individuals who may have a conflict of interest or who are not part of the evaluation process for the work being presented. Non-reviewer authors may still contribute to the research and writing of the paper but do not participate in assessing its quality or validity during the review phase.","The phrase can be verbalized as follows:

""The class of 'non-reviewer authors' is a subclass of 'authors' and is disjoint from both 'reviewers' and 'program committee members'."""
http://cmt_cn#c-0908936-3785080,Source,Class,管理人员,"In the context of a conference, 管理人员 (guǎn lǐ rén yuán) refers to management personnel or management staff. These are individuals responsible for overseeing and coordinating various aspects of the conference, such as planning, organization, logistics, and ensuring that everything runs smoothly. Their role is crucial for the successful execution of the event.","Here are the verbalized phrases based on the provided RDF triples:

1. ""管理人员可以启用虚拟会议。""
2. ""管理人员可以增补程序委员会成员。""
3. ""审稿人投标始于管理人员。""
4. ""管理人员可以开始审稿投标。""
5. ""管理人员可以录入会议详情。""
6. ""管理人员可以录入审稿标准。""
7. ""管理人员可以录用论文。""
8. ""管理人员可以打印硬拷贝邮件舱单。""
9. ""管理人员可以拒收论文。""
10. ""管理人员可以指定审稿人。""
11. ""虚拟会议由管理人员启动。""
12. ""增补由管理人员进行。""
13. ""审稿标准由管理人员录入。""
14. ""会议详情由管理人员录入。""
15. ""论文由管理人员录用。""
16. ""硬拷贝邮件舱单由管理人员打印。""
17. ""论文由管理人员拒收。""
18. ""审稿人由管理人员指定。""
19. ""论文分派定稿由管理人员进行。""
20. ""论文分派工具由管理人员运行。""
21. ""论文分派由管理人员定稿。""
22. ""管理人员可以设置最多论文数。""
23. ""管理人员可以运行论文分派工具。""
24. ""管理人员是用户的子类。""

These phrases encapsulate the relationships and actions described in the RDF triples."
http://cmt_cn#c-1411693-7966496,Source,Class,论文,"In the context of a conference, ""论文"" (lùn wén) refers to a research paper or academic paper that is presented or submitted for discussion. It typically contains original research findings, theoretical analysis, or reviews of existing literature, and is an essential component of academic conferences where scholars share their work and engage with peers.","Here are the verbalized phrases based on the provided triples:

1. ""分派给"" is a property that applies to ""论文"".
2. ""合著"" is a property that relates to ""论文"".
3. ""录用论文"" is a property that relates to ""论文"".
4. ""投稿"" is a property that relates to ""论文"".
5. ""拒收论文"" is a property that relates to ""论文"".
6. ""撰写论文"" is a property that relates to ""论文"".
7. ""有主题领域"" is a property that applies to ""论文"".
8. ""有作者"" is a property that applies to ""论文"".
9. ""有决定"" is a property that applies to ""论文"".
10. ""有分派论文"" is a property that relates to ""论文"".
11. ""有合著者"" is a property that applies to ""论文"".
12. ""有投标"" is a property that applies to ""论文"".
13. ""标注兴趣冲突"" is a property that relates to ""论文"".
14. ""标题"" is a property that applies to ""论文"".
15. ""由之录用"" is a property that applies to ""论文"".
16. ""由之拒收"" is a property that applies to ""论文"".
17. ""由审稿人审阅"" is a property that applies to ""论文"".
18. ""由综合审稿人审阅"" is a property that applies to ""论文"".
19. ""论文全文"" is a subclass of ""论文"".
20. ""论文序号"" is a property that applies to ""论文"".
21. ""论文摘要"" is a subclass of ""论文"".
22. ""阅读论文"" is a property that relates to ""论文"".
23. ""论文"" is a subclass of ""文件"" and is disjoint with ""审稿意见"". 

These phrases summarize the relationships and classifications defined in the RDF triples.The subgraph describes a set of restrictions and properties related to the class ""论文"" (which translates to ""paper"" in English). 

1. The class ""论文"" is defined as a subclass of three different restrictions, each represented by unique identifiers.
2. One of these restrictions specifies that a paper may have a decision (有决定) with a minimum cardinality of 0, meaning that it is optional for a paper to have a decision.
3. Another restriction indicates that a paper must be reviewed by a comprehensive reviewer (由综合审稿人审阅) and can have at most one such review.
4. A third restriction states that a paper must be reviewed by a reviewer (由审稿人审阅) with a minimum requirement of one review, meaning every paper must have at least one reviewer and can have at most one.
5. Each of these restrictions is categorized as a ""Restriction"" type, which implies they impose specific conditions on the properties of the class ""论文"".

In summary, the subgraph outlines the structural rules governing the class of papers, detailing the requirements for decisions and reviews associated with them."
http://cmt_cn#c-1609047-4017692,Source,Class,合著者,"In the context of a conference, the term 合著者 (gōuzhùzhě) refers to a ""co-author"" or ""joint author."" This indicates an individual who collaborates with one or more authors to contribute to a research paper, presentation, or other scholarly work that may be presented or discussed at the conference. Co-authors share responsibility for the content and findings of the work, and their contributions are typically acknowledged in the conference materials.","Here are the verbalized phrases for the given RDF triples:

1. The term ""合著"" (co-authorship) is associated with the domain of ""合著者"" (co-authors).
2. The term ""有合著者"" (has co-authors) is related to the range of ""合著者"" (co-authors).
3. The class ""合著者"" (co-authors) is a subclass of ""作者"" (authors)."
http://cmt_cn#c-3149294-9818820,Source,Class,副主席,"In the context of a conference, 副主席 (fù zhǔ xí) translates to ""Vice Chair"" or ""Vice President."" This title typically refers to an individual who assists the chairperson in overseeing the conference proceedings, managing sessions, and facilitating discussions. The vice chair may step in to lead when the chair is unavailable and often plays a key role in ensuring the smooth operation of the event.","The phrase can be verbalized as follows:

""The Vice Chairman is a subclass of Meeting Members and is disjoint from the Conference Chairman.""The subgraph describes a hierarchical structure of leadership roles within an organization, specifically focusing on various chair positions. 

1. The term ""主席"" (Chairperson) is defined as equivalent to a certain class represented by a unique identifier.
2. The role of ""大会主席"" (Conference Chair) is identified as the first position in a sequence, followed by another role.
3. The role of ""程序委员会主席"" (Program Committee Chair) is also identified as the first position in a different sequence, which leads to the same subsequent role as the Conference Chair.
4. The ""副主席"" (Vice Chair) is noted as the first position in yet another sequence.
5. The sequences of roles are interconnected, with the ""大会主席"" being the first in a list that ultimately concludes with a nil value, indicating the end of that sequence.
6. The class represented by ""主席"" is defined as a union of the roles of ""大会主席"" and ""程序委员会主席,"" indicating that both roles are part of a larger category of leadership positions.

In summary, the subgraph outlines the relationships and hierarchy among different chair positions within an organization, emphasizing their classifications and the connections between them."
http://cmt_cn#c-3211087-4346168,Source,Class,综合审稿人,"In the context of a conference, ""综合审稿人"" (zōnghé shěn gǎo rén) translates to ""comprehensive reviewer"" or ""integrated reviewer."" This term typically refers to a reviewer who evaluates submissions in a holistic manner, considering various aspects such as the quality of the research, methodology, relevance to the conference theme, and overall contribution to the field. Comprehensive reviewers play a crucial role in the peer review process, ensuring that the selected papers meet the standards and objectives of the conference.","1. ""由综合审稿人审阅"" 的范围是 ""综合审稿人""。
2. ""综合审稿人"" 是 ""审稿人"" 的子类。"
http://cmt_cn#c-4245259-3253907,Source,Class,偏爱,"In the context of a conference, 偏爱 (piān ài) means to have a preference or favoritism towards a particular topic, speaker, or idea. It suggests that someone may show a stronger interest or inclination towards certain subjects discussed at the conference, potentially influencing their engagement or participation in the event.","The term ""偏爱"" is disjoint with the following concepts: ""人员,"" ""会议,"" ""决定,"" ""投标,"" ""文件,"" and ""程序委员会."""
http://cmt_cn#c-4366560-5113302,Source,Class,审稿意见,"In the context of a conference, 审稿意见 (shěn gǎo yì jiàn) refers to the review comments or feedback provided by reviewers on a submitted paper or abstract. These comments typically assess the quality, originality, and relevance of the work, and may include suggestions for improvement or revisions before the paper can be accepted for presentation at the conference.","Here are the verbalized phrases based on the provided triples:

1. ""撰写审稿意见"" has a range of ""审稿意见.""
2. ""由之撰写"" has a domain of ""审稿意见.""
3. ""结束审稿"" has a range of ""审稿意见.""
4. ""综合审稿意见"" is a subclass of ""审稿意见.""
5. ""论文"" is disjoint with ""审稿意见.""
6. ""审稿意见"" is a subclass of ""文件."""
http://cmt_cn#c-4394296-4732223,Source,Class,用户,"In the context of a conference, ""用户"" (yònghù) translates to ""user"" in English. It typically refers to individuals or groups who utilize a product, service, or system being discussed at the conference. Understanding the needs and experiences of users is often a key focus in discussions about technology, design, and service delivery at such events.","Here are the verbalized phrases for the given RDF triples:

1. ""作者"" is a subclass of ""用户"".
2. ""审稿人"" is a subclass of ""用户"".
3. ""管理人员"" is a subclass of ""用户"".
4. ""用户"" is a subclass of ""人员""."
