entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://cmt_de#c-0277212-8406046,Source,Class,konferenzbeitrag,"In the context of a conference, ""Konferenzbeitrag"" refers to a contribution or submission made by a participant, typically in the form of a paper, presentation, or poster. It represents the research findings, ideas, or discussions that the contributor wishes to share with the conference attendees. These contributions are often reviewed and selected for presentation based on their relevance and quality, and they play a crucial role in the exchange of knowledge and networking within the academic or professional community.","Here are the verbalized phrases based on the provided RDF triples:

1. ""Zusammenfassung eines Konferenzbeitrags"" ist eine Unterklasse von ""Konferenzbeitrag"".
2. ""abgewiesen von"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
3. ""akzeptiert von"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
4. ""gelesen von Gutachter"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
5. ""gelesen von Meta-Gutachter"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
6. ""geschrieben von"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
7. ""hat Beitrag eingesendet"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
8. ""hat Beitrag geschrieben"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
9. ""hat Beitrag mitverfasst"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
10. ""hat Gebot erhalten"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
11. ""hat Gegenstandsbereich"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
12. ""hat ID"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
13. ""hat Papier abgelehnt"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
14. ""hat Papier gelesen"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
15. ""hat Titel"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
16. ""hat akzeptiert"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
17. ""ist entschieden worden als"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
18. ""ist zugeordnet worden"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
19. ""mitverfasst von"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
20. ""steht in Interessen-Konflikt mit Beitrag"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
21. ""vollständiger Konferenzbeitrag"" ist eine Unterklasse von ""Konferenzbeitrag"".
22. ""zugewiesen zu"" ist eine Eigenschaft, die für ""Konferenzbeitrag"" gilt.
23. ""Konferenzbeitrag"" ist eine Unterklasse von ""Dokument"" und steht im Widerspruch zu ""Gutachten"". 

These phrases summarize the relationships and classifications defined in the RDF triples.The subgraph describes the class ""Konferenzbeitrag"" (conference contribution) and its relationships and restrictions regarding its properties. 

1. **Subclass Relationships**: 
   - ""Konferenzbeitrag"" is a subclass of three restrictions:
     - The first restriction (denoted as _:Nbb449cefe3234e359518071f79a8d21d) requires that each conference contribution must be read by at least one reviewer (minCardinality of 1) and can be read by at most one meta-reviewer (maxCardinality of 1).
     - The second restriction (denoted as _:N83eab008fc8346989ba03220f9c5a88a) specifies that each conference contribution must be read by at least one reviewer (minCardinality of 1) and can be read by at most one reviewer (maxCardinality of 1).
     - The third restriction (denoted as _:Ne3f48f341068450eac3f1252858ac328) indicates that there can be zero or more decisions made regarding the conference contribution (minCardinality of 0).

2. **Properties**:
   - The property ""gelesen von Meta-Gutachter"" (read by meta-reviewer) is associated with the first restriction, indicating that a conference contribution can be read by a meta-reviewer.
   - The property ""gelesen von Gutachter"" (read by reviewer) is associated with the second restriction, indicating that a conference contribution can be read by a reviewer.
   - The property ""ist entschieden worden als"" (has been decided as) is associated with both the first and second restrictions, indicating that decisions can be made regarding the status of the conference contribution.

In summary, the ""Konferenzbeitrag"" class is defined with specific restrictions on how it can be reviewed and decided upon, ensuring that it is evaluated by reviewers and potentially by meta-reviewers, with clear limits on the number of each type of review."
http://cmt_de#c-1092336-2330592,Source,Class,entscheidung,"In the context of a conference, ""Entscheidung"" is a German word that translates to ""decision"" in English. It refers to the process of making a choice or reaching a conclusion, often after considering various options or discussions. During a conference, ""Entscheidung"" may pertain to the resolutions made by participants, the outcomes of discussions, or the strategic directions agreed upon by the attendees.","Here are the verbalized phrases based on the provided triples:

1. ""Akzeptanz"" is a subclass of ""Entscheidung.""
2. ""Zurückweisung"" is a subclass of ""Entscheidung.""
3. ""ist entschieden worden als"" has a range of ""Entscheidung.""
4. ""Entscheidung"" is disjoint with ""Dokument,"" ""Gebot,"" ""Konferenz,"" ""Person,"" ""Programm-Komitee,"" and ""Präferenz."""
http://cmt_de#c-1105419-5848060,Source,Class,zur ckweisung,"In the context of a conference, ""Zurückweisung"" is a German term that translates to ""rejection"" in English. It typically refers to the dismissal of a paper, proposal, or submission that has been evaluated by the conference committee. This could occur during the peer review process, where submissions are assessed for their quality, relevance, and contribution to the field. A ""Zurückweisung"" indicates that the submission did not meet the necessary criteria for acceptance into the conference program.","The term ""Zurückweisung"" is a subclass of ""Entscheidung"" and is disjoint with ""Akzeptanz."""
http://cmt_de#c-1253837-4887221,Source,Class,vollst ndiger konferenzbeitrag,"The term ""vollständiger Konferenzbeitrag"" translates to ""full conference paper"" in English. In the context of a conference, it refers to a comprehensive research paper that is submitted for presentation at the event. This type of contribution typically includes detailed findings, methodologies, and discussions relevant to the conference theme, and it is often subject to a peer-review process before acceptance. A vollständiger Konferenzbeitrag is usually longer and more in-depth than an abstract or a short paper, providing a complete overview of the research conducted.","The phrase can be verbalized as: ""A 'vollständiger Konferenzbeitrag' is a subclass of 'Konferenzbeitrag'."""
http://cmt_de#c-2036030-6478102,Source,Class,gutachten,"In the context of a conference, ""Gutachten"" refers to a formal report or expert opinion that evaluates a specific subject, often based on research or analysis. It is typically used to provide insights, recommendations, or assessments related to the topics being discussed at the conference. This could involve reviewing scientific studies, legal matters, or technical evaluations, depending on the focus of the conference.","Here are the verbalized phrases based on the provided triples:

1. ""Konferenzbeitrag"" is disjoint with ""Gutachten.""
2. ""Meta-Gutachten (Gutachten über ein Gutachten)"" is a subclass of ""Gutachten.""
3. The property ""geschrieben von"" has a domain of ""Gutachten.""
4. The property ""hat Gutachten geschrieben"" has a range of ""Gutachten.""
5. The property ""hat die Zeit des Begutachtens beendet"" has a range of ""Gutachten.""
6. ""Gutachten"" is a subclass of ""Dokument."""
http://cmt_de#c-2276280-7516043,Source,Class,vorsitzender,"In the context of a conference, ""Vorsitzender"" is a German term that translates to ""chairperson"" or ""chair"" in English. It refers to the individual who presides over the conference, leading discussions, managing the agenda, and ensuring that the proceedings run smoothly. The Vorsitzender is responsible for facilitating communication among participants and may also represent the conference in official capacities.","The term ""Vorsitzender"" is a subclass of ""Person.""The subgraph describes a classification system related to various roles within an organization, specifically focusing on leadership positions. 

At the top level, there is a class that encompasses different types of leadership roles. Within this class, the following positions are defined:

1. **Vorsitzender** (Chairperson) - This is the first role listed and is considered equivalent to another class that includes the position of **Vorsitzender der Konferenz** (Chairperson of the Conference).
2. **Stellvertretender Vorsitz** (Deputy Chairperson) - This role is also included in the classification but has no further subdivisions.
3. **Verfasser** (Author) - This role is defined but does not have any additional roles associated with it.
4. **Vorsitzender des Programm-Komitees** (Chairperson of the Program Committee) - This position is part of a chain that includes the Deputy Chairperson and is linked to the overall class of leadership roles.

Additionally, there is a role of **Gutachter** (Reviewer) that is associated with the Author role, indicating a connection between these two positions.

The subgraph also indicates that there is a conflict of interest with a contribution related to the overarching class of leadership roles. 

In summary, the subgraph outlines a structured classification of leadership roles within an organization, highlighting their relationships and equivalences, while also noting potential conflicts of interest."
http://cmt_de#c-2310106-7377133,Source,Class,akzeptanz,"In the context of a conference, ""Akzeptanz"" refers to the acceptance or approval of ideas, concepts, or practices presented during the event. It can pertain to how well participants embrace new information, methodologies, or technologies discussed at the conference. High levels of Akzeptanz among attendees can indicate a successful exchange of knowledge and a willingness to adopt innovative approaches within their respective fields.","1. ""Zurückweisung"" is disjoint with ""Akzeptanz.""
2. ""Akzeptanz"" is a subclass of ""Entscheidung."""
http://cmt_de#c-2600954-3812137,Source,Class,administrator,"In the context of a conference, an ""Administrator"" typically refers to an individual responsible for managing and organizing various aspects of the event. This can include tasks such as coordinating schedules, overseeing logistics, handling registrations, and ensuring that all necessary resources are available for speakers and attendees. The Administrator plays a crucial role in ensuring the smooth operation of the conference, facilitating communication among participants, and addressing any issues that may arise during the event.","Here are the verbalized phrases based on the provided triples:

1. Die Beitragszuordnung wurde abgeschlossen von einem Administrator.
2. Die Beitragszuordnungs-Software wurde ausgeführt von einem Administrator.
3. Details wurden eingefügt von einem Administrator.
4. Die Gebotsphase wurde gestartet von einem Administrator.
5. Kriterien zu Gutachten wurden eingefügt von einem Administrator.
6. Der Papierausdruck des Mailing-Manifests wurde gedruckt von einem Administrator.
7. Ein Beitrag wurde abgewiesen von einem Administrator.
8. Ein Beitrag wurde akzeptiert von einem Administrator.
9. Der Administrator bestimmt die maximale Anzahl an zugewiesenen Beiträgen.
10. Der Administrator druckt den Papierausdruck des Mailing-Manifests.
11. Der Administrator hat Details eingefügt in Bezug auf einen bestimmten Beitrag.
12. Der Administrator hat Kriterien zu Gutachten eingefügt.
13. Der Administrator hat ein Papier abgelehnt.
14. Der Administrator hat einen Beitrag akzeptiert.
15. Der Administrator hat die Beitrags-Zuordnungssoftware ausgeführt.
16. Der Administrator hat die Gebotsphase gestartet.
17. Der Administrator hat die Zuordnung der Beiträge abgeschlossen.
18. Der Administrator hat einen Beitrag hinzugefügt.
19. Der Administrator hat ein virtuelles Treffen veranlasst.
20. Der Administrator hat einen Beitrag zugewiesen.
21. Ein Beitrag wurde hinzugefügt von einem Administrator.
22. Ein virtuelles Treffen wurde veranlasst von einem Administrator.
23. Ein Beitrag wurde zugewiesen von einem Administrator.
24. Der Administrator ist eine Unterklasse von Benutzer."
http://cmt_de#c-2636048-9047841,Source,Class,gebot,"In the context of a conference, ""Gebot"" is a German term that translates to ""command"" or ""order"" in English. It can refer to a directive or guideline that participants are expected to follow during the event. For example, it might pertain to rules of conduct, procedures for presentations, or protocols for discussions. Understanding the ""Gebot"" in this setting is essential for ensuring that the conference runs smoothly and that all attendees are aligned with the expectations set forth by the organizers.","Here are the verbalized phrases based on the provided triples:

1. ""Entscheidung is disjoint with Gebot.""
2. ""The property 'abgeglichen von' has a domain of Gebot.""
3. ""The property 'hat Gebot erhalten' has a range of Gebot.""
4. ""The property 'hat abgeglichen' has a range of Gebot.""
5. ""Gebot is disjoint with Dokument, Konferenz, Person, Programm-Komitee, and Präferenz."""
http://cmt_de#c-3386094-8929437,Source,Class,dokument,"In the context of a conference, ""Dokument"" typically refers to a document or written material that is presented, shared, or discussed during the event. This could include research papers, presentations, agendas, minutes, or any other formal written content that contributes to the conference proceedings. It serves as a record of the information shared and can be used for reference by attendees.","Here are the verbalized phrases based on the provided triples:

1. ""Entscheidung"" is disjoint with ""Dokument.""
2. ""Gebot"" is disjoint with ""Dokument.""
3. ""Gutachten"" is a subclass of ""Dokument.""
4. ""Konferenzbeitrag"" is a subclass of ""Dokument.""
5. The property ""hat Interessenskonflikt in Bezug auf"" has a range of ""Dokument.""
6. ""Dokument"" is disjoint with ""Konferenz,"" ""Person,"" ""Programm-Komitee,"" and ""Präferenz."""
