entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://cmt_fr#c-0218338-0979990,Source,Class,document,"In the context of a conference, a ""document"" typically refers to any written or printed material that is used to convey information, support discussions, or provide evidence. This can include agendas, research papers, presentations, handouts, reports, or minutes from previous meetings. Documents serve as essential tools for participants to follow along, reference key points, and engage meaningfully in the conference proceedings.","1. The class ""Article"" is a subclass of the class ""Document.""
2. The class ""Rapport d'examen"" is a subclass of the class ""Document.""
3. The phrase ""a un conflit d'intérêt à propos de"" has a range that includes the class ""Document.""
4. The class ""Document"" is disjoint with the classes ""Comité de programme,"" ""Conférence,"" ""Décision,"" ""Personne,"" ""Proposition de relecture,"" and ""Préférence."""
http://cmt_fr#c-0480911-0003886,Source,Class,auteur,"In the context of a conference, the term ""auteur"" refers to a filmmaker or creator who exerts significant control over their work, often shaping it in a distinctive personal style. This concept emphasizes the individual's vision and artistic authority in the filmmaking process, suggesting that the director is the primary author of the film. Discussions at the conference may explore how the auteur theory influences film analysis, production practices, and the relationship between a creator's personal experiences and their artistic output.","Here are the verbalized phrases based on the provided RDF triples:

1. ""An author who is not a reviewer is a subclass of an author.""
2. ""A co-author is a subclass of an author.""
3. ""The property 'has an author' has a range of authors.""
4. ""The action 'submits the article' is associated with authors.""
5. ""The action 'writes the article' is associated with authors.""
6. ""An author is a subclass of both a conference member and a user.""The subgraph describes a relationship involving several entities and their attributes. 

1. There is an entity identified as ""Président,"" which is the first element in a sequence. This entity is linked to another entity that signifies a conflict of interest, represented by the identifier ""_:Nd1fddcb52a8e40b5b5df9a2c11704d7a."" 

2. The entity ""_:Nd1fddcb52a8e40b5b5df9a2c11704d7a"" is classified as a ""Class"" and is part of a union with another entity identified as ""_:N68abd32a87de436a88452598024dac7a.""

3. The entity ""_:N68abd32a87de436a88452598024dac7a"" contains ""Auteur"" as its first element, followed by another entity represented by ""_:N2ad0013fbf1d4af791b117a62bf66d3d.""

4. The entity ""_:N2ad0013fbf1d4af791b117a62bf66d3d"" is identified as ""Relecteur"" and is linked back to the ""Président"" entity.

In summary, the structure outlines a relationship where a ""Président"" is associated with a conflict of interest, which is classified under a certain class and is part of a union that includes an ""Auteur"" and a ""Relecteur."""
http://cmt_fr#c-0712755-6034378,Source,Class,acceptation,"In the context of a conference, ""acceptation"" refers to the formal acceptance or approval of ideas, proposals, or papers presented by participants. It signifies that the content has been recognized as valuable or relevant by the conference organizers or peers, often leading to further discussion, collaboration, or publication.","The class ""Acceptation"" is a subclass of the class ""Décision"" and is disjoint with the class ""Rejet."""
http://cmt_fr#c-0743498-8291005,Source,Class,m ta relecteur,"In the context of a conference, ""Méta-relecteur"" refers to a role or concept that involves a higher-level review or reflection on the content being presented or discussed. This could mean that the individual in this role is responsible for synthesizing information, providing critical feedback, or facilitating deeper understanding among participants. Essentially, a méta-relecteur acts as a meta-level reviewer or commentator, helping to connect ideas, clarify concepts, and enhance the overall discourse of the conference.","Here are the verbalized phrases based on the provided RDF triples:

1. ""Est lu par le méta-relecteur"" is associated with the range ""Méta-relecteur.""
2. ""Méta-relecteur"" is a subclass of ""Relecteur."""
http://cmt_fr#c-0752747-4444619,Source,Class,relecteur,"In the context of a conference, ""Relecteur"" typically refers to a reviewer or an individual responsible for evaluating submissions, such as research papers or presentations. This person assesses the quality, relevance, and originality of the work, providing feedback to the authors and helping the conference organizers determine which submissions should be accepted for presentation or publication.","Here are the verbalized phrases based on the provided triples:

1. ""Méta-relecteur"" is a subclass of ""Relecteur.""
2. ""A été associé à"" has a domain of ""Relecteur.""
3. ""Affecte le rôle de relecteur externe à"" has a domain of ""Relecteur.""
4. ""Affecte le rôle de relecteur à"" has a range of ""Relecteur.""
5. ""Ajuste la proposition de relecture"" has a domain of ""Relecteur.""
6. ""Est affecté par l'administrateur"" has a domain of ""Relecteur.""
7. ""Est affecté par le relecteur"" has a range of ""Relecteur.""
8. ""Est ajusté par"" has a range of ""Relecteur.""
9. ""Est assigné à"" has a range of ""Relecteur.""
10. ""Est lu par le relecteur"" has a range of ""Relecteur.""
11. ""Est écrit par"" has a range of ""Relecteur.""
12. ""Lit l'article"" has a domain of ""Relecteur.""
13. ""Écrit le rapport d'examen"" has a domain of ""Relecteur.""
14. ""Relecteur"" is a subclass of ""Membre de conférence"" and ""Utilisateur.""
15. ""Relecteur"" is disjoint with ""Auteur qui n'est pas relecteur"" and ""Relecteur externe.""The subgraph describes a relationship involving several entities and their attributes. 

1. There is an entity identified as ""Président,"" which is the first element in a sequence.
2. This entity is linked to a conflict of interest, which is associated with a domain represented by another entity.
3. The domain entity is classified as a ""Class.""
4. There is another entity identified as ""Relecteur,"" which is also the first element in its own sequence and is connected to the ""Président"" entity.
5. The domain entity is part of a union with another entity, which is represented as a collection.
6. This collection includes an entity identified as ""Auteur"" as its first element, followed by the ""Relecteur"" entity.

In summary, the structure outlines a relationship where a ""Président"" is involved in a conflict of interest within a certain domain, which is classified and connected to a ""Relecteur"" and an ""Auteur"" through a union of entities."
http://cmt_fr#c-0917731-1974635,Source,Class,pr sident de comit de programme,"In the context of a conference, ""Président de comité de programme"" refers to the ""Chair of the Program Committee."" This individual is responsible for overseeing the development and organization of the conference program, which includes selecting topics, inviting speakers, and ensuring the quality and relevance of the presentations and sessions. The chair plays a crucial role in shaping the conference's content and ensuring that it meets the objectives and interests of the attendees.","1. The President of the program committee finalizes the proofreading process.
2. The President of the program committee is a subclass of the member of the program committee.The subgraph describes a classification of roles related to conference leadership. It defines a class labeled as ""Class,"" which encompasses various positions. Within this class, there are three specific roles: ""Président de comité de programme"" (Chair of the Program Committee), ""Président de conférence"" (Chair of the Conference), and ""Président adjoint de conférence"" (Vice Chair of the Conference).

The role of ""Président"" is identified as equivalent to the defined class. The class is formed as a union of the three roles mentioned. The structure indicates that ""Président de comité de programme"" is the first role in a sequence, followed by ""Président de conférence,"" and concludes with ""Président adjoint de conférence,"" which is the last role in the sequence. The last role has no further elements following it, denoted by ""nil."""
http://cmt_fr#c-1646923-7206967,Source,Class,m ta rapport d examen,"In the context of a conference, ""Méta-rapport d'examen"" refers to a comprehensive report that synthesizes and analyzes the findings from various examinations or assessments conducted during the event. This type of report typically goes beyond summarizing individual presentations or discussions; it aims to provide a broader perspective on the themes, insights, and implications derived from the collective contributions of participants. The ""méta"" aspect indicates that it is a higher-level overview, integrating multiple viewpoints and data points to offer a cohesive understanding of the conference's outcomes.","The phrase can be verbalized as: ""The 'Méta-rapport d'examen' is a subclass of 'Rapport d'examen'."""
http://cmt_fr#c-2724520-3587324,Source,Class,membre de conf rence,"In the context of a conference, ""Membre de conférence"" is a French term that translates to ""Member of the conference"" in English. It typically refers to an individual who is a participant or a member of a conference, often involved in discussions, presentations, or decision-making processes. This designation can apply to speakers, panelists, or attendees who contribute to the conference's objectives and activities.","1. The class ""Auteur"" is a subclass of the class ""Membre de conférence.""
2. The class ""Membre de comité de programme"" is a subclass of the class ""Membre de conférence.""
3. The class ""Président adjoint de conférence"" is a subclass of the class ""Membre de conférence.""
4. The class ""Président de conférence"" is a subclass of the class ""Membre de conférence.""
5. The class ""Relecteur"" is a subclass of the class ""Membre de conférence.""
6. The property ""a pour membre de conférence"" has a range of ""Membre de conférence.""
7. The class ""Membre de conférence"" has a domain of ""Membre de conférence"" and is a subclass of ""Personne."""
http://cmt_fr#c-2745207-1642565,Source,Class,pr sident,"In the context of a conference, ""Président"" typically refers to the person who presides over the meeting or session. This individual is responsible for leading discussions, managing the agenda, ensuring that the conference runs smoothly, and facilitating interactions among participants. The role may also involve making decisions about the order of speakers, addressing questions, and summarizing key points.","The phrase can be verbalized as: ""The class of 'Président' is a subclass of the class 'Personne'.""The subgraph describes a classification of roles related to academic or conference settings, specifically focusing on various positions such as ""Président de comité de programme"" (Chair of the Program Committee), ""Président"" (President), ""Président adjoint de conférence"" (Vice President of the Conference), ""Relecteur"" (Reviewer), and ""Auteur"" (Author). 

The main class is identified as a general ""Class,"" which encompasses these specific roles. The ""Président"" is noted to be equivalent to the broader class, indicating that it shares common characteristics with the other roles listed. 

The structure of the subgraph suggests a hierarchy or a list where ""Président de comité de programme"" is the first entry, followed by ""Président de conférence"" and ""Président adjoint de conférence,"" with ""Relecteur"" and ""Auteur"" also included in the classification. 

Additionally, there is a mention of a conflict of interest associated with the role of ""Président,"" indicating that this position may have specific ethical considerations or responsibilities. 

Overall, the subgraph organizes these roles into a coherent classification system, highlighting their relationships and the potential implications of holding these positions within an academic or conference context."
http://cmt_fr#c-3407699-0090940,Source,Class,version compl te d article,"In the context of a conference, ""Version complète d'article"" translates to ""full version of the article."" This typically refers to the complete text of a research paper or article that provides detailed information, findings, and analyses, as opposed to a summary or abstract. Attendees or participants may be interested in accessing the full version for a comprehensive understanding of the presented work.","The phrase can be verbalized as: ""The complete version of an article is a subclass of an article."""
