entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
https://vocabs.acdh.oeaw.ac.at/dhataxonomy/Concept1,Source,Class,xml,"In the context of digital humanities, XML (Extensible Markup Language) refers to a W3C-standardised markup system that defines a set of rules for encoding digital documents. This allows for the structured representation of data, making it easier to store, transmit, and reconstruct text and other types of information in a consistent and machine-readable format. XML is particularly useful in digital humanities for tasks such as text encoding, metadata management, and the preservation of digital artifacts.","The concept ""XML"" is a top concept in the ""DHA Taxonomy"".

The ""DHA Taxonomy"" has ""XML"" as one of its top concepts."
https://vocabs.acdh.oeaw.ac.at/dhataxonomy/Concept10,Source,Class,political science,"Political science, within the context of digital humanities, refers to the branch of knowledge that deals with the state and systems of government. It involves the study of political structures, processes, and activities, and how they are influenced by and interact with digital technologies and data. This interdisciplinary approach allows for the analysis of political phenomena through digital tools and methodologies, enhancing our understanding of governance, policy-making, and political behavior in the digital age.","The ""DHA Taxonomy"" has the top concept ""political science"".

""Political science"" is the top concept of the ""DHA Taxonomy""."
https://vocabs.acdh.oeaw.ac.at/dhataxonomy/Concept11,Source,Class,gender studies,"In the context of digital humanities, gender studies refers to an interdisciplinary field and academic discipline that focuses on gender identity and gendered representation as central categories of analysis. This includes examining and analyzing issues related to women's studies, which concerns women, feminism, gender, and politics, as well as men's studies and LGBT studies. Gender studies in digital humanities might involve using digital tools and methodologies to explore and understand how gender is represented and constructed in various digital media, texts, and cultural artifacts.","The DHA Taxonomy has the top concept of gender studies.

Gender studies is the top concept of the DHA Taxonomy."
https://vocabs.acdh.oeaw.ac.at/dhataxonomy/Concept12,Source,Class,theatre studies,"Theatre studies, within the context of digital humanities, refers to the interdisciplinary examination of theatrical performance, considering its literary, physical, psycho-biological, sociological, and historical dimensions. This field integrates digital tools and methodologies to analyze and interpret the multifaceted aspects of theatre, enhancing our understanding of its impact and evolution across different contexts.","The ""DHA Taxonomy"" has ""theatre studies"" as a top concept.

""Theatre studies"" is a top concept of the ""DHA Taxonomy""."
https://vocabs.acdh.oeaw.ac.at/dhataxonomy/Concept13,Source,Class,theology,"In the context of digital humanities, theology refers to the critical study of concepts of God and the nature of religious ideas. This involves using digital tools and methodologies to analyze, interpret, and understand religious texts, beliefs, and practices. By leveraging technology, scholars can explore theological concepts in new ways, such as through data analysis, digital mapping, and online collaborative research.","The DHA Taxonomy has the top concept of theology.

Theology is the top concept of the DHA Taxonomy."
https://vocabs.acdh.oeaw.ac.at/dhataxonomy/Concept14,Source,Class,psychology,"In the context of digital humanities, psychology refers to the scientific study of the human mind and its functions, particularly as they relate to the interaction between humans and digital technologies. This includes understanding how people perceive, think, and behave in digital environments, and how digital tools can be designed to enhance human cognitive and emotional experiences.","The ""DHA Taxonomy"" has ""psychology"" as a top concept.

""Psychology"" is a top concept of the ""DHA Taxonomy""."
https://vocabs.acdh.oeaw.ac.at/dhataxonomy/Concept15,Source,Class,demography,"In the context of digital humanities, demography refers to the study of statistics that illustrate the changing structure of human populations. This involves analyzing data related to aspects such as age, gender, income, migration patterns, and other demographic variables to understand how populations evolve over time. Digital humanities leverage computational tools and digital methods to collect, analyze, and visualize this demographic data, providing insights into historical and contemporary human societies.","Sure, here are the triples verbalized into phrases:

1. ""DHA Taxonomy"" has the top concept ""demography"".
2. ""Demography"" is the top concept of ""DHA Taxonomy""."
https://vocabs.acdh.oeaw.ac.at/dhataxonomy/Concept16,Source,Class,economics,"In the context of digital humanities, economics refers to the branch of knowledge concerned with the production, consumption, and transfer of wealth. This can involve analyzing how digital technologies impact economic activities, studying the economic aspects of digital content creation and distribution, and understanding the financial implications of digital transformations in various sectors.","The ""DHA Taxonomy"" has ""economics"" as a top concept.

""Economics"" is a top concept of the ""DHA Taxonomy""."
https://vocabs.acdh.oeaw.ac.at/dhataxonomy/Concept17,Source,Class,education,"In the context of digital humanities, education refers to the process of facilitating learning and the acquisition of knowledge, skills, values, beliefs, and habits through the integration of digital tools and methodologies. This interdisciplinary field leverages technology to enhance the study and understanding of humanities subjects, enabling new forms of research, analysis, and dissemination of information. By incorporating digital resources, education in digital humanities aims to provide a more interactive, accessible, and comprehensive learning experience.","The concept ""education"" is a top concept in the ""DHA Taxonomy.""

The ""DHA Taxonomy"" includes ""education"" as one of its top concepts."
https://vocabs.acdh.oeaw.ac.at/dhataxonomy/Concept18,Source,Class,communication studies,"In the context of digital humanities, communication studies refer to the academic discipline that explores the processes of human communication, particularly as they intersect with digital technologies and media. This field examines how digital platforms, tools, and methods influence the way humans create, share, and interpret information. It encompasses a wide range of topics, including digital media, online interactions, virtual communities, and the impact of technology on traditional forms of communication. By integrating insights from both the humanities and digital technologies, communication studies within digital humanities aim to understand and improve the ways in which people connect and communicate in the digital age.","The DHA Taxonomy has the top concept of communication studies.

Communication studies is the top concept of the DHA Taxonomy."
https://vocabs.acdh.oeaw.ac.at/dhataxonomy/Concept19,Source,Class,architecture,"In the context of digital humanities, ""architecture"" refers to both the process and the product of planning, designing, and constructing digital frameworks and structures. This can include the creation of digital platforms, databases, and other virtual environments that support the research, analysis, and dissemination of humanities-related information. Just as traditional architecture involves the careful planning and construction of physical buildings, digital architecture involves the thoughtful design and implementation of digital systems that facilitate scholarly work in the humanities.","Sure, here are the triples verbalized into phrases:

1. The ""DHA Taxonomy"" has ""architecture"" as a top concept.
2. ""Architecture"" is the top concept of the ""DHA Taxonomy""."
https://vocabs.acdh.oeaw.ac.at/dhataxonomy/Concept2,Source,Class,text encoding,"In the context of digital humanities, text encoding refers to the process of representing printed texts in a digital format. This involves converting the text into a structured digital form that can be easily processed, analyzed, and accessed by computers. Text encoding often uses standardized markup languages, such as XML (eXtensible Markup Language) and TEI (Text Encoding Initiative), to ensure that the digital representation preserves the original text's structure, meaning, and other relevant features. This allows scholars to perform various computational analyses and facilitates the sharing and preservation of textual data.","Sure, here are the triples verbalised into phrases:

1. ""DHA Taxonomy"" has the top concept ""text encoding"".
2. ""Folia"" is broader than ""text encoding"".
3. ""TEI"" is broader than ""text encoding"".
4. ""Text encoding"" is narrower than ""Folia"" and ""TEI"".
5. ""Text encoding"" is the top concept of ""DHA Taxonomy""."
https://vocabs.acdh.oeaw.ac.at/dhataxonomy/Concept2.01,Source,Class,folia,"In the context of digital humanities, ""Folia"" refers to an XML-based annotation format that is suitable for the representation of linguistically annotated language resources. This format, known as FoLiA (Format for Linguistic Annotation), allows for the detailed and structured annotation of texts, making it a valuable tool for researchers working with linguistic data. The version mentioned, 2.01, indicates a specific iteration of this format, which may include updates or improvements over previous versions.","Sure, here are the triples verbalised into phrases:

1. ""Folia"" is a broader concept of ""text encoding"".
2. ""Text encoding"" is a narrower concept of ""Folia""."
