entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
https://ark.frantiq.fr/ark:/26678/crtYMh03R6mdT,Source,Class,pave profonde,"In the context of digital humanities, ""épave profonde"" is a French term that translates to ""deep wreck"" in English. It typically refers to the concept of deeply buried or hidden data, information, or artifacts that are not easily accessible or visible on the surface. This can pertain to digital archives, historical records, or any form of data that requires significant effort to uncover and analyze. The term metaphorically suggests that just as a deep-sea wreck requires specialized tools and techniques to explore, so too does deeply buried digital information require advanced methods and technologies to retrieve and study.","The term ""épave profonde"" has a broader concept, which is ""حُطام أعماق البحار"".

The term ""حُطام أعماق البحار"" has a narrower concept, which is ""épave profonde""."
https://ark.frantiq.fr/ark:/26678/crtdVpqD9Y6ym,Source,Class,site immerg,"In the context of digital humanities, ""site immergé"" refers to a permanent structure that has been submerged underwater due to a rise in water levels. This submersion can occur gradually over time or as a result of a catastrophic event. The study and documentation of such submerged sites often involve interdisciplinary approaches, including archaeology, history, and digital technologies, to reconstruct and analyze these underwater cultural heritage sites.","Sure, here are the triples verbalised into phrases:

1. The concept ""archäologische Fundstelle"" has a narrower concept ""site immergé"".
2. The concept ""site immergé"" has a broader concept ""archäologische Fundstelle"".
3. The concept ""site immergé"" is related to the concept ""pcrtvtdrjzINR5""."
https://ark.frantiq.fr/ark:/26678/pcrt0Krn6QJlhU,Source,Class,dolmen,"In the context of digital humanities, a ""dolmen"" refers to a type of megalithic monument consisting of one or more large flat stones (dalles de couverture) supported by upright stones (piliers), forming the walls of a burial chamber (chambre funéraire). This term is derived from archaeological studies and is used to describe ancient stone structures that were typically used for funerary purposes. The definition provided in French and Arabic aligns with this description, emphasizing the construction from large stone slabs and elevated stone supports.","Sure, here are the triples verbalised into phrases:

1. ""Dolmen a corridoio"" is a more specific concept within the broader category of ""dolmen"".
2. ""Megalith"" includes the narrower concept of ""dolmen"".
3. ""Taula"" is a more specific concept within the broader category of ""dolmen"".
4. ""Dolmen"" is a broader concept that includes ""megalith"".
5. ""Dolmen"" encompasses the narrower concepts of ""dolmen a corridoio"" and ""taula""."
https://ark.frantiq.fr/ark:/26678/pcrt1FD59O4eTz,Source,Class,cercle de pierres,"In the context of digital humanities, ""cercle de pierres"" translates from French to ""stone circle"" in English. Stone circles are prehistoric monuments consisting of a circular arrangement of standing stones. These structures are often studied within the fields of archaeology, anthropology, and history, which are integral parts of the digital humanities.

Digital humanities involve the use of digital tools and methods to enhance the study and understanding of humanities subjects. In this context, a ""cercle de pierres"" might be analyzed using various digital techniques such as 3D modeling, geographic information systems (GIS), and digital archiving. These methods can help researchers to better understand the construction, purpose, and cultural significance of stone circles, as well as to preserve and share this information with a wider audience.","Sure, here are the triples verbalised into phrases:

1. ""Cercle de pierres"" is a broader concept of ""megalith.""
2. ""Megalith"" is a narrower concept of ""cercle de pierres."""
https://ark.frantiq.fr/ark:/26678/pcrt36pke8yWxW,Source,Class,h hensiedlung,"In the context of digital humanities, ""Höhensiedlung"" refers to a type of settlement or habitation located at a high altitude, often on elevated terrain such as hills or mountains. These high-altitude settlements are of particular interest in archaeological and historical studies within the digital humanities because they can provide insights into the social, economic, and environmental adaptations of past human communities. Digital tools and methods, such as Geographic Information Systems (GIS), 3D modeling, and remote sensing, are often employed to analyze and visualize these sites, helping researchers to better understand their spatial organization, construction techniques, and the daily lives of their inhabitants.","Sure, here are the triples verbalised into phrases:

1. ""Höhensiedlung"" is a broader concept of ""archäologische Fundstelle"".
2. ""archäologische Fundstelle"" is a narrower concept of ""Höhensiedlung""."
https://ark.frantiq.fr/ark:/26678/pcrt3FTqaIdbpb,Source,Class,asentamiento de piemonte defendido,"In the context of digital humanities and based on the provided extra information, ""asentamiento de piemonte defendido"" refers to a type of fortified settlement located on a rocky promontory (éperon) whose isthmus has been cut off by a defensive structure such as a dry stone wall, palisade, or ditch. This form of fortification represents one of the earliest known types of defensive structures, with the oldest examples dating back to the Neolithic period.","Sure, here are the triples verbalised into phrases:

1. The term ""archäologische Fundstelle"" has a narrower concept, which is ""asentamiento de piemonte defendido"".
2. The term ""asentamiento de piemonte defendido"" has a broader concept, which is ""archäologische Fundstelle""."
https://ark.frantiq.fr/ark:/26678/pcrt3S7lIydczN,Source,Class,megalithik,"In the context of digital humanities, ""Megalithik"" refers to a digital platform or project that focuses on the study, documentation, and analysis of megalithic structures and monuments. These are large stone constructions typically associated with prehistoric cultures. The platform likely utilizes digital tools and methodologies, such as 3D modeling, geographic information systems (GIS), and databases, to enhance the research and understanding of these ancient structures.","The term ""Megalithik"" is broader than the term ""megalith"".

The term ""megalith"" is narrower than the term ""Megalithik""."
https://ark.frantiq.fr/ark:/26678/pcrt5MQsnfNDTD,Source,Class,palafitte,"In the context of digital humanities, the term ""palafitte"" refers to a type of stilt house or construction built on piles, typically located on the edge of or over a lake or pond, sometimes connected to the shore by a footbridge. This type of dwelling was common during the Protohistory period, particularly in the Neolithic and Bronze Age in Europe, especially in Switzerland. The study and digital reconstruction of such ancient habitats can be a significant area of interest within digital humanities, as it involves the use of technology to explore, visualize, and understand historical and archaeological sites.","Sure, here are the triples verbalised into phrases:

1. The concept ""palafitte"" has a broader concept ""محطة ساحلية"".
2. The concept ""palafitte"" has a related match ""Cité lacustre"".
3. The concept ""محطة ساحلية"" has a narrower concept ""palafitte""."
https://ark.frantiq.fr/ark:/26678/pcrt5ecRHjSZTM,Source,Class,huella de estructura,"In the context of digital humanities, ""huella de estructura"" (which translates to ""structure footprint"" in English) refers to the underlying structural patterns or frameworks that can be identified within digital texts or datasets. This concept involves analyzing the organization, relationships, and hierarchies within the data to uncover how information is structured and interconnected. By examining the ""structure footprint,"" researchers can gain insights into the composition, distribution, and contextual significance of the data, which can be crucial for tasks such as text analysis, data visualization, and the interpretation of digital artifacts.","Sure, here are the triples verbalised into phrases:

1. ""archäologische Fundstelle"" has a narrower concept ""huella de estructura"".
2. ""huella de estructura"" has a broader concept ""archäologische Fundstelle"".
3. ""huella de estructura"" is related to ""pcrtDI80hfdfHy""."
https://ark.frantiq.fr/ark:/26678/pcrt66PQUHwXaw,Source,Class,dolmen a corridoio,"In the context of digital humanities, ""dolmen a corridoio"" refers to a specific type of megalithic tomb structure, commonly known as a ""corridor dolmen"" or ""passage grave."" These ancient structures typically consist of a long, narrow passage leading to a burial chamber, constructed using large stone slabs. The term ""dolmen a corridoio"" is derived from Italian, where ""dolmen"" refers to a type of megalithic tomb and ""corridoio"" means corridor or passage.

In digital humanities, the study of such structures might involve the use of digital tools and methods to document, analyze, and interpret these archaeological sites. This could include 3D modeling, geographic information systems (GIS), digital mapping, and other technologies to enhance our understanding of the construction, use, and cultural significance of corridor dolmens in ancient societies.","Sure, here are the triples verbalised into phrases:

1. The term ""dolmen"" has a narrower concept, which is ""dolmen a corridoio"".
2. The term ""dolmen a corridoio"" has a broader concept, which is ""dolmen""."
