entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://thesauri.dainst.org/_003b194e,Source,Class,geneigt,"In archaeology, the German term ""geneigt"" means ""inclined"" or ""sloped."" It describes features or layers that are not horizontal—for example, a “geneigte Schicht” is an inclined/tilted stratum, or a “geneigter Befund” an obliquely oriented feature.","- “Bautechnische Merkmale” has narrower concept “geneigt”.
- “geneigt” has broader concept “Bautechnische Merkmale”."
http://thesauri.dainst.org/_00433119,Source,Class,nebenorte,"In archaeology (especially German scholarship), Nebenorte are “subsidiary sites” or “secondary places” associated with a main center (Hauptort). They are smaller settlements, activity areas, or outposts that depend on or relate functionally to a primary site—for example satellite villages, production locales, or peripheral ritual spots connected to a central town or sanctuary.","- “Nebenorte” is a broader concept of “Siedlungstypen/- areale”.
- “Siedlungstypen/- areale” has the narrower concept “Nebenorte”."
http://thesauri.dainst.org/_0043df4f,Source,Class,fundamentschnitte,"In archaeology (German context), Fundamentschnitte are narrow, targeted excavation trenches cut along or across a building’s foundations to expose and study the foundation structure, construction phases, and stratigraphy without opening a large area. They help date and interpret buildings while minimizing excavation.","- “Bauteile” has the narrower concept “Fundamentschnitte”.
- “Fundamentschnitte” has the broader concept “Bauteile”."
http://thesauri.dainst.org/_00a5ac27,Source,Class,paneele,"In archaeology, Paneele (German; singular: Paneel) are panel-like elements—flat, often rectangular segments—used to describe sections of wall decoration or relief, such as carved or painted panels in architectural contexts (e.g., panelled wall systems, relief panels on monuments or buildings).","- “Objektkomponenten” has the narrower concept “Paneele”.
- “Paneele” has the broader concept “Objektkomponenten”."
http://thesauri.dainst.org/_00b63a49,Source,Class,scheinkalypter,"In archaeology (esp. Greek/Roman funerary art), a Scheinkalypter is a “false cover”: a non-functional, sculpted or painted lid/cover motif that imitates a real lid (e.g., of a sarcophagus, chest, or urn) but is purely decorative and not an actual, removable cover.","- “Scheinkalypter” is a broader concept’s narrower term of “Ziegel.”
- “Ziegel” has the narrower concept “Scheinkalypter.”"
http://thesauri.dainst.org/_010e418a,Source,Class,schriftrollen,"In archaeology, “Schriftrollen” (German) means “scrolls” or “manuscript scrolls,” i.e., rolled writings made of materials like papyrus, parchment, or leather.","- “Bild- und Schriftträger” has narrower concept “Schriftrollen”.
- “Schriftrollen” has broader concept “Bild- und Schriftträger”."
http://thesauri.dainst.org/_010e95a0,Source,Class,turmh gel,"In archaeology, a Turmhügel is a small artificial mound bearing a tower—essentially a mound-and-tower fortification (a type of early medieval motte) used as a defensible residence or watchpost.","- “Siedlungstypen/- areale” has narrower concept “Turmhügel”.
- “Turmhügel” has broader concept “Siedlungstypen/- areale”."
http://thesauri.dainst.org/_0151189b,Source,Class,gewunden,"In archaeology context (from German), “gewunden” means “winding,” “twisted,” or “spiral-shaped.” It describes objects or features with a coiled, sinuous form (e.g., a twisted wire ornament or a winding pattern).","- “gewunden” is a narrower concept of “Merkmale der Form”.
- “Merkmale der Form” is a broader concept of “gewunden”."
http://thesauri.dainst.org/_0159d808,Source,Class,diadumenos,"In archaeology/art history, the Diadumenos is a type of ancient Greek statue depicting a young athlete tying a victory ribbon (diadema) around his head. The canonical example is by Polykleitos.","- “<nach Typ>” has narrower concept “Diadumenos”.
- “Diadumenos” has broader concept “<nach Typ>”."
http://thesauri.dainst.org/_019df4e5,Source,Class,sockel,"In archaeology (from German usage), Sockel means “plinth” or “base”—the lower supporting part of a structure, statue, column, or architectural element. It can refer to a constructed base or a natural/rock-cut footing that supports a feature.","- „Bauteile“ hat die Unterkategorie „Sockel“.
- „Sockel“ ist eine Oberkategorie von „Bauteile“."
http://thesauri.dainst.org/_01ad4a56,Source,Class,aneinandersto end,"In archaeology, aneinanderstoßend describes artifacts or features that are directly abutting or touching each other—i.e., adjoining/contiguous without a gap.","- “Bautechnische Merkmale” has narrower concept “aneinanderstoßend”.
- “aneinanderstoßend” has broader concept “Bautechnische Merkmale”."
