entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://cmt_pt#c-0141984-6988652,Source,Class,revis o,"In the context of a conference, ""revisão"" typically refers to the process of reviewing or revising materials, presentations, or papers that will be presented or discussed. This could involve evaluating the content for clarity, accuracy, and relevance, as well as making necessary adjustments to improve the overall quality of the work before it is shared with the audience. It may also pertain to the review of feedback from previous conferences to enhance future presentations.","Here are the verbalized phrases based on the provided triples:

1. The property ""escrito por"" has a domain of ""revisão.""
2. The class ""meta revisão"" is a subclass of ""revisão.""
3. The property ""revisão final"" has a range of ""revisão.""
4. The property ""revisão realizada"" has a range of ""revisão.""
5. The class ""revisão"" is a subclass of ""documento"" and is disjoint with the class ""artigo."""
http://cmt_pt#c-0552113-4846368,Source,Class,decis o,"In the context of a conference, ""decisão"" refers to a decision or resolution made during discussions or deliberations. It often pertains to the conclusions reached by participants regarding specific topics, actions to be taken, or agreements made. This could involve strategic choices, policy implementations, or any other determinations that guide the direction of the conference's objectives.","Here are the verbalized phrases based on the provided triples:

1. ""Aceitação"" is a subclass of ""decisão.""
2. The property ""possui decisão"" has a range of ""decisão.""
3. ""Rejeição"" is a subclass of ""decisão.""
4. The class ""decisão"" is disjoint with the classes ""comitê de programa,"" ""conferência,"" ""documento,"" ""pessoa,"" ""preferência,"" and ""propostas."""
http://cmt_pt#c-0659705-1004834,Source,Class,coordenador da confer ncia,"The term ""coordenador da conferência"" translates to ""conference coordinator"" in English. In the context of a conference, this individual is responsible for organizing and overseeing various aspects of the event, such as scheduling sessions, managing speakers, coordinating logistics, and ensuring that the conference runs smoothly. The conference coordinator plays a crucial role in facilitating communication among participants and ensuring that the objectives of the conference are met.","The phrase can be verbalized as follows:

""The role of 'coordenador da conferência' is a subclass of 'membro participante da conferência' and is disjoint from the role of 'coordenador associado do evento'.""The subgraph describes a classification of roles related to an event. It begins with a class that represents a union of different roles, specifically the ""coordenador da conferência"" (conference coordinator) and the ""coordenador associado do evento"" (associate coordinator of the event). 

The ""coordenador da conferência"" is the first role in this union, followed by the ""coordenador associado do evento,"" which is the first role in a subsequent list. The latter role is followed by another role, the ""coordenador do comitê de programa"" (program committee coordinator), which is the last role in this sequence. 

The ""coordenador geral do evento"" (general coordinator of the event) is identified as equivalent to the initial class representing the union of these roles. The structure indicates that the roles are organized in a list format, with each role linked to the next, culminating in the program committee coordinator, which has no further roles following it. 

Overall, this subgraph outlines a hierarchy of event coordination roles, emphasizing their relationships and classifications."
http://cmt_pt#c-0743480-8784777,Source,Class,autor n o revisor,"In the context of a conference, ""autor não revisor"" translates to ""author not reviewer"" in English. This term typically refers to a situation where the author of a paper or presentation is not involved in the peer review process of their own work. In academic and conference settings, it is common for authors to submit their work for review by other experts in the field to ensure quality and validity. When an author is designated as ""autor não revisor,"" it indicates that they will not be reviewing their own submission, which helps maintain objectivity and integrity in the review process.","The phrase can be verbalized as follows:

""The class 'autor não revisor' is a subclass of 'Autor' and is disjoint with the classes 'membro do comitê de programa' and 'revisor'."""
http://cmt_pt#c-1162044-8230678,Source,Class,co autor,"In the context of a conference, a ""co-author"" refers to an individual who collaborates with one or more authors to contribute to a research paper, presentation, or project. Co-authors share responsibility for the content and findings, and their contributions can include research, writing, data analysis, and other aspects of the work. In conference settings, co-authors are often acknowledged during presentations and in published materials, highlighting their collaborative efforts in the research process.","Here are the verbalized phrases based on the provided RDF triples:

1. ""Writing an article involves a co-author.""
2. ""A co-author is associated with the property of having a co-author.""
3. ""A co-author is a subclass of an Author."""
http://cmt_pt#c-1195022-1778322,Source,Class,comit de programa,"In the context of a conference, ""comitê de programa"" refers to the program committee. This is a group of experts responsible for reviewing submitted papers, proposals, or presentations, and selecting which ones will be included in the conference program. The committee typically evaluates the quality, relevance, and originality of the submissions to ensure that the conference maintains high academic and professional standards.","Here are the verbalized phrases based on the provided triples:

1. The term ""decisão"" is disjoint with ""comitê de programa,"" meaning that they do not overlap in their definitions or meanings.

2. The phrase ""membro do comitê de programa"" is defined to be within the range of ""comitê de programa,"" indicating that it pertains to or is associated with the committee.

3. The expression ""possui um membro do comitê de programa"" indicates that the subject has a member that belongs to the ""comitê de programa.""

4. The term ""comitê de programa"" is disjoint with several other terms, including ""conferência,"" ""documento,"" ""pessoa,"" ""preferência,"" and ""propostas,"" signifying that it is distinct from each of these concepts."
http://cmt_pt#c-1422675-8824916,Source,Class,meta revis o,"In the context of a conference, ""meta revisão"" refers to a systematic review or meta-analysis of existing research studies on a particular topic. It involves evaluating and synthesizing findings from multiple studies to draw broader conclusions, identify trends, and assess the overall evidence on a specific issue. This process helps to provide a comprehensive understanding of the subject matter, often guiding future research directions and informing best practices in the field.","The phrase can be verbalized as: ""The class 'meta revisão' is a subclass of the class 'revisão'."""
http://cmt_pt#c-1498775-2764289,Source,Class,artigo,"In the context of a conference, ""artigo"" typically refers to a scholarly article or paper that is presented or discussed during the event. It often contains research findings, theoretical discussions, or reviews of existing literature relevant to the conference's theme. Participants may submit artigos for consideration to be included in the conference proceedings or to be presented in sessions.","Here are the verbalized phrases based on the provided RDF triples:

1. ""Aceito por"" is a property that applies to an article.
2. ""Artigo aceito"" is a property that relates to an article.
3. ""Artigo escrito"" is a property that relates to an article.
4. ""Rejeitado por"" is a property that applies to an article.
5. ""Atribuído para"" is a property that applies to an article.
6. ""Envio de artigos"" is a property that relates to an article.
7. ""Escrever um artigo com"" is a property that relates to an article.
8. ""Leitura de artigo"" is a property that relates to an article.
9. ""Leitura realizada por um meta revisor"" is a property that applies to an article.
10. ""Leitura realizada por um revisor"" is a property that applies to an article.
11. ""Marca um conflito de interesse"" is a property that relates to an article.
12. ""Possui Atribuição"" is a property that relates to an article.
13. ""Possui Autor"" is a property that applies to an article.
14. ""Possui co-autor"" is a property that applies to an article.
15. ""Possui decisão"" is a property that applies to an article.
16. ""Possui pedido de revisão"" is a property that applies to an article.
17. ""Possui uma área"" is a property that applies to an article.
18. ""Rejeitar artigo"" is a property that relates to an article.
19. ""Resumo do artigo"" is a subclass of article.
20. ""Revisão"" is disjoint with article.
21. ""Tem código do artigo"" is a property that applies to an article.
22. ""Tem título"" is a property that applies to an article.
23. ""Versão completa do artigo"" is a subclass of article.
24. ""Artigo"" is a subclass of documento. 

These phrases summarize the relationships and classifications defined in the RDF triples.The subgraph describes a set of restrictions related to a class called ""artigo"" (which translates to ""article"" in English). 

1. The class ""artigo"" is defined as a subclass of two restrictions:
   - The first restriction requires that there is at least one instance of a property called ""possui decisão"" (which means ""has decision""). This restriction also specifies that there can be a maximum of one such instance.
   - The second restriction pertains to the property ""leitura realizada por um revisor"" (which translates to ""reading performed by a reviewer""). This restriction allows for zero or more instances of this property, but also enforces that there can be at most one instance.

2. Additionally, there is another restriction that also requires at least one instance of the property ""leitura realizada por um meta revisor"" (meaning ""reading performed by a meta reviewer""), with a maximum of one instance allowed.

In summary, the ""artigo"" class must have at least one decision associated with it, and it can have zero or one reading performed by a reviewer and at most one reading performed by a meta reviewer."
http://cmt_pt#c-1917558-7280420,Source,Class,propostas,"In the context of a conference, ""propostas"" is a Portuguese word that translates to ""proposals"" in English. It typically refers to suggestions or plans put forward for consideration or discussion during the event. These proposals could relate to various topics, such as research findings, project ideas, or strategies for collaboration, and are often a key part of the conference agenda, allowing participants to share their insights and recommendations.","Here are the verbalized phrases based on the provided triples:

1. The phrase ""ajustar o pedido de revisão"" is related to the range of ""propostas.""
2. The ""comitê de programa"" is disjoint with ""propostas,"" meaning they do not overlap.
3. The term ""decisão"" is also disjoint with ""propostas,"" indicating no shared elements.
4. The phrase ""pedido de revisao ajustado"" falls under the domain of ""propostas.""
5. The phrase ""possui pedido de revisão"" is related to the range of ""propostas.""
6. The term ""propostas"" is disjoint with ""conferência,"" ""documento,"" ""pessoa,"" and ""preferência,"" indicating that these categories do not intersect."
http://cmt_pt#c-2440688-9886376,Source,Class,prefer ncia,"In the context of a conference, ""preferência"" typically refers to the preference or priority given to certain topics, speakers, or sessions. It can indicate the choices made by attendees regarding which presentations or discussions they wish to attend, or it may relate to the selection criteria for speakers or panelists. Understanding ""preferência"" in this setting is important for organizing the agenda and ensuring that the most relevant and desired content is highlighted for participants.","Here are the verbalized phrases for the given triples:

1. The ""comitê de programa"" is disjoint with ""preferência.""
2. The ""decisão"" is disjoint with ""preferência.""
3. The ""propostas"" are disjoint with ""preferência.""
4. The ""preferência"" is disjoint with ""conferência.""
5. The ""preferência"" is disjoint with ""documento.""
6. The ""preferência"" is disjoint with ""pessoa."""
