entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://purl.obolibrary.org/obo/CHEBI_17992,Source,Class,sucrose,"Sucrose is a type of sugar that is commonly found in many foods and beverages. It is a disaccharide composed of glucose and fructose molecules. Sucrose is a source of energy and sweetness in the diet, but consuming too much can contribute to health issues such as obesity and tooth decay. It is important to monitor and limit intake of sucrose as part of a balanced diet.",Sucrose is a subclass of CHEBI_24407 and FOODON_03420108.
http://purl.obolibrary.org/obo/CHEBI_28757,Source,Class,chebi 28757,"CHEBI_28757 is a reference to a specific chemical compound in the Chemical Entities of Biological Interest (ChEBI) database. In the context of food nutritional composition, CHEBI_28757 could refer to a specific nutrient, additive, or contaminant present in a food item. To determine the exact meaning of CHEBI_28757 in this context, one would need to refer to the ChEBI database or other relevant sources for more information on the specific compound.",Information is not available.
http://purl.obolibrary.org/obo/CHEBI_2877,Source,Class,chebi 2877,CHEBI_2877 is the Chemical Entities of Biological Interest (ChEBI) identifier for a specific compound or chemical substance related to food nutritional composition. The exact meaning of CHEBI_2877 would depend on the specific compound it represents within the context of food nutritional composition.,Information is not available.
http://purl.obolibrary.org/obo/CHEBI_32111,Source,Class,chebi 32111,"CHEBI_32111 is the Chemical Entities of Biological Interest (ChEBI) identifier for Vitamin C, also known as ascorbic acid. It is an essential nutrient that plays a key role in maintaining overall health, including supporting the immune system, promoting healthy skin, and aiding in the absorption of iron from plant-based foods.",Information is not available.
http://purl.obolibrary.org/obo/CHEBI_32139,Source,Class,chebi 32139,"CHEBI_32139 is a reference to a specific chemical compound in the ChEBI (Chemical Entities of Biological Interest) database. In the context of food nutritional composition, CHEBI_32139 could refer to a specific nutrient or additive that is present in a food item. This code helps to identify and categorize the chemical compounds that contribute to the nutritional content of foods.",Information is not available.
http://purl.obolibrary.org/obo/CHEBI_5291,Source,Class,chebi 5291,"CHEBI_5291 is the Chemical Entities of Biological Interest (ChEBI) identifier for Vitamin C, also known as ascorbic acid. In the context of food nutritional composition, CHEBI_5291 refers to the essential nutrient that plays a key role in maintaining overall health, supporting the immune system, and acting as an antioxidant in the body.",Information is not available.
http://purl.obolibrary.org/obo/CHEBI_83163,Source,Class,chebi 83163,"CHEBI_83163 is a reference to a specific chemical compound in the Chemical Entities of Biological Interest (ChEBI) database. In the context of food nutritional composition, CHEBI_83163 could refer to a specific nutrient or additive present in a food item. To determine the exact meaning of CHEBI_83163 in this context, one would need to refer to the ChEBI database or other relevant sources for more information on the specific compound.",Information is not available.
http://purl.obolibrary.org/obo/ENVO_00003064,Source,Class,envo 00003064,"ENVO_00003064 refers to the term ""food nutritional composition"" in the context of environmental ontology. This term likely represents the specific attributes and components that make up the nutritional content of a food item, such as macronutrients (carbohydrates, proteins, fats), micronutrients (vitamins, minerals), and other nutritional factors. It is used to categorize and describe the nutritional properties of different foods within the environmental ontology framework.",Information is not available.
http://purl.obolibrary.org/obo/ENVO_00003096,Source,Class,envo 00003096,"ENVO_00003096 refers to the environmental ontology term for food nutritional composition. This term is used to describe the specific nutritional content of a food item, including information such as calories, macronutrients (such as carbohydrates, proteins, and fats), vitamins, and minerals. It helps to categorize and classify foods based on their nutritional value, making it easier for researchers and consumers to understand the health benefits of different food choices.",Information is not available.
http://purl.obolibrary.org/obo/FOODON_00001023,Source,Class,foodon 00001023,"FOODON_00001023 likely refers to a specific food item or ingredient within a database or system that categorizes and organizes food based on its nutritional composition. The code may represent a unique identifier for this particular food item, allowing for easy reference and analysis of its nutritional content.",Information is not available.
http://purl.obolibrary.org/obo/FOODON_00001216,Source,Class,foodon 00001216,FOODON_00001216 likely refers to a specific food item or ingredient within a database of food nutritional compositions. The exact meaning of this code would depend on the specific database or system being used.,Information is not available.
http://purl.obolibrary.org/obo/FOODON_00001273,Source,Class,foodon 00001273,"FOODON_00001273 likely refers to a specific food item within a database or system that categorizes and tracks the nutritional composition of various foods. The specific meaning of FOODON_00001273 would depend on the specific database or system being used, but it likely represents a unique identifier for a particular food item with detailed nutritional information.",Information is not available.
