entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://cmt_nl#c-0120110-7787945,Source,Class,onderwerp,"In the context of a conference, ""onderwerp"" is a Dutch word that translates to ""subject"" or ""topic"" in English. It refers to the main theme or focus of discussion during the conference sessions, presentations, or workshops.","The phrase can be verbalized as: ""The property 'heeft onderwerp' has a range of 'onderwerp'."""
http://cmt_nl#c-0236412-8230972,Source,Class,recensent,"In the context of a conference, ""recensent"" typically refers to a person who reviews or critiques a presentation, paper, or research work. This individual is responsible for providing feedback, assessing the quality of the work, and offering constructive criticism to help improve the research or presentation. The role of a recensent is important in academic and professional settings, as it contributes to the overall quality and rigor of the conference proceedings.","Here are the verbalized phrases based on the provided triples:

1. ""Aangepast door"" has a range of ""recensent.""
2. ""Artikel gelezen"" has a domain of ""recensent.""
3. ""Gelezen door reviewer"" has a range of ""recensent.""
4. ""Geschreven door"" has a range of ""recensent.""
5. ""Is toegekend"" has a domain of ""recensent.""
6. ""Metarecensent"" is a subclass of ""recensent.""
7. ""Pas bod aan"" has a domain of ""recensent.""
8. ""Schrijf recentie"" has a domain of ""recensent.""
9. ""Toegewezen aan"" has a range of ""recensent.""
10. ""Toegewezen door beheerder"" has a domain of ""recensent.""
11. ""Toegewezen door recencent"" has a range of ""recensent.""
12. ""Wijs externe recencent toe"" has a domain of ""recensent.""
13. ""Wijs recencent toe"" has a range of ""recensent.""
14. ""Recensent"" is a subclass of ""conferentielid"" and ""gebruiker.""
15. ""Recensent"" is disjoint with ""auteur niet-recensent"" and ""externe recencent."" 

These phrases summarize the relationships and classifications defined in the RDF triples.The subgraph describes a structure involving various roles and relationships. It identifies three key roles: a ""voorzitter"" (chairperson), a ""recensent"" (reviewer), and an ""auteur"" (author). 

The ""voorzitter"" is the first entity in a sequence, followed by the ""recensent,"" which is also the first in its own sequence. The ""recensent"" is linked to the ""voorzitter"" as part of a larger structure that includes a domain labeled ""markeer belangenverstrengeling"" (mark conflict of interest). This domain is associated with a class that encompasses the ""recensent.""

Additionally, the ""auteur"" is the first entity in another sequence, which is connected to the ""voorzitter"" through a chain of relationships. The structure indicates that the ""recensent"" and ""voorzitter"" are part of a union, suggesting they share a common context or purpose within the framework of the domain related to conflicts of interest.

Overall, the subgraph outlines a hierarchical relationship among these roles, emphasizing their connections and the overarching theme of managing conflicts of interest."
http://cmt_nl#c-0406770-7176287,Source,Class,voorzitter,"In the context of a conference, ""voorzitter"" is a Dutch term that translates to ""chairperson"" or ""chair"" in English. It refers to the individual who presides over the conference, leading discussions, managing the agenda, and ensuring that the proceedings run smoothly. The voorzitter is responsible for facilitating communication among participants and may also play a role in decision-making processes during the event.","The phrase can be verbalized as: ""The class of 'voorzitter' is a subclass of the class 'persoon'.""The subgraph describes a hierarchical structure of roles and relationships within a committee or organization. 

1. The first role mentioned is ""voorzitter"" (chairperson), which is linked to an equivalent class represented by a unique identifier.
2. Another role is ""recensent"" (reviewer), which is also associated with the same identifier as the chairperson.
3. The term ""conferentievoorzitter"" (conference chair) is introduced, indicating a specific type of chairperson role.
4. There is a union of roles that includes the ""recensent,"" suggesting that this role is part of a broader category.
5. The phrase ""markeer belangenverstrengeling"" (mark conflict of interest) is defined within the domain of the union mentioned earlier, indicating its relevance to the roles involved.
6. The equivalent class for the chairperson and reviewer is further defined as a union of another identifier, which includes the role of ""medevoorzitter"" (co-chair).
7. The structure also includes a ""voorzitter programmacommissie"" (chairperson of the program committee) and an ""auteur"" (author), indicating additional roles within the organization.
8. The relationships between these roles are organized in a way that shows a sequence, with some roles being the first in a list and others following as the rest.

Overall, the subgraph outlines a complex relationship between various roles within a committee, highlighting their interconnections and classifications."
http://cmt_nl#c-0744921-3144577,Source,Class,coauteur,"In the context of a conference, ""coauteur"" refers to a co-author, which is an individual who collaborates with one or more authors in the creation of a paper, presentation, or research project. Coauthors share responsibility for the content and contributions of the work, and their collaboration is often acknowledged during the conference presentations or in published materials.","Here are the verbalized phrases based on the provided RDF triples:

1. The term ""co-schrijf artikel"" is associated with the domain of ""coauteur.""
2. The term ""heeft coauteur"" is related to the range of ""coauteur.""
3. The class ""coauteur"" is a subclass of ""auteur."""
http://cmt_nl#c-0770334-7584608,Source,Class,bod,"In the context of a conference, ""BOD"" typically stands for ""Board of Directors."" This refers to a group of individuals elected to represent shareholders and oversee the activities and governance of an organization. During a conference, discussions may involve updates, decisions, or strategic planning related to the organization's direction as guided by the BOD.","Here are the verbalized phrases based on the provided triples:

1. The property ""aangepast door"" has a domain of ""bod.""
2. The property ""heeft bod"" has a range of ""bod.""
3. The property ""pas bod aan"" has a range of ""bod.""
4. The class ""bod"" is disjoint with the classes ""beslissing,"" ""conferentie,"" ""document,"" ""persoon,"" ""programmacommissie,"" and ""voorkeur."""
http://cmt_nl#c-1467412-7387436,Source,Class,programmacommissie,"In the context of a conference, ""programmacommissie"" refers to a program committee. This is a group of individuals responsible for planning and organizing the conference's agenda, including selecting topics, inviting speakers, and reviewing submitted papers or presentations. The program committee plays a crucial role in ensuring the quality and relevance of the conference content.","Here are the verbalized phrases based on the provided triples:

1. ""Bod is disjoint with programmacommissie.""
2. ""The term 'heeft programmacommisie lid' has a domain of programmacommissie.""
3. ""The term 'lid van programmacommissie' has a range of programmacommissie.""
4. ""Programmacommissie is disjoint with beslissing, conferentie, document, persoon, and voorkeur."""
http://cmt_nl#c-1711425-2244009,Source,Class,metarecentie,"The term ""metarecentie"" does not appear to be a widely recognized term in English or in academic discourse as of my last knowledge update in October 2023. However, it seems to be a combination of ""meta,"" which often refers to a higher level of abstraction or self-reference, and ""recentie,"" which could be derived from ""recency"" or ""recent,"" suggesting a focus on recent developments or trends.

In the context of a conference, ""metarecentie"" could potentially refer to discussions or analyses that examine recent trends or findings in a particular field from a higher-level perspective. This might involve reflecting on how recent developments impact the broader context of the discipline or how they relate to ongoing debates and theories.

If this term is specific to a particular conference or field, it may be helpful to consult the conference materials or organizers for a more precise definition.","The class ""metarecentie"" is a subclass of the class ""recentie."""
http://cmt_nl#c-2893658-5611916,Source,Class,auteur niet recensent,"In the context of a conference, ""auteur niet-recensent"" refers to a filmmaker or creator who is recognized for their distinctive personal style and vision (auteur) but does not engage in the practice of reviewing or critiquing the works of others (niet-recensent). This term highlights the focus on the individual's creative output rather than their role as a critic or commentator in the film industry. It suggests a discussion around the importance of personal expression in filmmaking, emphasizing the creator's unique perspective without the influence of external critique.","1. The class ""recensent"" is disjoint with the class ""auteur niet-recensent.""
2. The class ""auteur niet-recensent"" is a subclass of the class ""auteur.""
3. The class ""auteur niet-recensent"" is disjoint with the class ""programmacommissie lid."""
http://cmt_nl#c-3276253-9620830,Source,Class,externe recencent,"In the context of a conference, ""externe recencent"" likely refers to external reviewers or evaluators who assess the quality and relevance of submitted papers, presentations, or research. These external reviewers provide feedback and recommendations based on their expertise, helping to ensure that the conference maintains high academic standards and that the content presented is valuable to attendees. Their role is crucial in the peer review process, contributing to the overall credibility and success of the conference.","Here are the verbalized phrases based on the provided triples:

1. ""Recensent is disjoint with externe recencent.""
2. ""Toegewezen door recencent has a domain of externe recencent.""
3. ""Wijs externe recencent toe has a range of externe recencent.""
4. ""Externe recencent is a subclass of persoon.""The subgraph describes a restriction in a knowledge representation system. It indicates that there is a restriction defined as a cardinality of 1, which is associated with the property ""toegewezen door recencent"" (translated as ""assigned by reviewer""). Furthermore, it specifies that ""externe recencent"" (translated as ""external reviewer"") is a subclass of this restriction. In summary, the external reviewer is defined as a type of entity that must be assigned by exactly one reviewer according to the specified property."
http://cmt_nl#c-3466158-7243163,Source,Class,beslissing,"In the context of a conference, ""beslissing"" is a Dutch word that translates to ""decision"" in English. It refers to the act of making a choice or reaching a conclusion on a particular matter discussed during the conference. This could involve decisions related to policies, strategies, or actions that the participants agree upon as a result of their discussions.","Here are the verbalized phrases based on the provided triples:

1. The class ""acceptatie"" is a subclass of the class ""beslissing.""
2. The class ""afwijzing"" is a subclass of the class ""beslissing.""
3. The class ""bod"" is disjoint with the class ""beslissing.""
4. The property ""heeft beslissing"" has a range that is defined as the class ""beslissing.""
5. The class ""programmacommissie"" is disjoint with the class ""beslissing.""
6. The class ""beslissing"" is disjoint with the classes ""conferentie,"" ""document,"" ""persoon,"" and ""voorkeur."""
