entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://ekaw#Abstract,Source,Class,abstract,"In the context of a conference, an ""abstract"" is a brief summary of a research paper, presentation, or study that is submitted for consideration. It typically includes the main objectives, methods, results, and conclusions of the work. The abstract allows conference organizers and attendees to quickly understand the essence of the research and decide its relevance and interest to them.","Sure, here are the triples verbalised into phrases:

1. ""Invited_Talk_Abstract"" is a subclass of ""Abstract"".
2. ""Tutorial_Abstract"" is a subclass of ""Abstract"".
3. ""Abstract"" is a subclass of ""Document"".The given subgraph can be described in natural language as follows:

There are two classes, one of which is represented by the identifier `_:N3811fa7c16ae44279702b80678c89b4f` and the other by `_:N9b228f390b1047f3bd2b08f9c91c95c7`. 

The class `_:N3811fa7c16ae44279702b80678c89b4f` is defined as a union of two elements: `Abstract` and `Paper`. This is represented by the union list starting with `_:Nae0436d3d008415db8347ccf2b06084c`, which has `Abstract` as its first element and points to another list `_:N1561c3bb88c34d87aca2c1567512aedd`. This second list has `Paper` as its first element and ends with `nil`.

Similarly, the class `_:N9b228f390b1047f3bd2b08f9c91c95c7` is also defined as a union of two elements: `Abstract` and `Paper`. This is represented by the union list starting with `_:N94648f32369c4589be67fddeab2941fa`, which has `Abstract` as its first element and points to another list `_:N454a401822ea4d2d815a19c65fcfb7eb`. This second list has `Paper` as its first element and ends with `nil`.

Additionally, there are two properties defined:
1. The property `presentationOfPaper` has a range of the class `_:N9b228f390b1047f3bd2b08f9c91c95c7`.
2. The property `paperPresentedAs` has a domain of the class `_:N3811fa7c16ae44279702b80678c89b4f`.

In summary, the subgraph describes two classes, each defined as a union of `Abstract` and `Paper`, and two properties with specified domains and ranges."
http://ekaw#Academic_Institution,Source,Class,academic institution,"In the context of a conference, an ""Academic Institution"" refers to a school, college, university, or any other educational organization that engages in higher learning and research. These institutions often participate in conferences to present research findings, collaborate with other scholars, and contribute to the academic community. Faculty members, researchers, and students from academic institutions may attend and present papers, posters, or lectures at these conferences.","1. A Research Institute is a subclass of an Academic Institution.
2. A University is a subclass of an Academic Institution.
3. The property ""scientificallyOrganisedBy"" has a range of Academic Institution.
4. The property ""scientificallyOrganises"" has a domain of Academic Institution.
5. An Organising Agency is disjoint with an Academic Institution.
6. An Academic Institution is a subclass of an Organisation and is disjoint with an Organising Agency."
http://ekaw#Accepted_Paper,Source,Class,accepted paper,"In the context of a conference, an ""Accepted Paper"" refers to a research paper that has been reviewed and approved by the conference's review committee to be included in the conference proceedings. This means the paper has met the necessary standards and criteria set by the conference organizers. It is important to note that a ""camera-ready paper"" is not considered an ""accepted paper"" because it represents a finalized version that may have undergone further revisions after the initial acceptance. The term ""accepted paper"" specifically refers to the version that was initially approved for inclusion in the proceedings.","Sure, here are the triples verbalised into phrases:

1. ""Camera_Ready_Paper"" is disjoint with ""Accepted_Paper"".
2. ""Rejected_Paper"" is disjoint with ""Accepted_Paper"".
3. ""Accepted_Paper"" is a subclass of ""Evaluated_Paper"".
4. ""Accepted_Paper"" is disjoint with ""Camera_Ready_Paper"".
5. ""Accepted_Paper"" is disjoint with ""Rejected_Paper"".The given subgraph can be described in natural language as follows:

There are several restrictions and relationships defined among different entities related to academic papers and proceedings.

1. **Accepted Paper**:
   - An ""Accepted Paper"" is a subclass of a restriction that involves the property ""hasReview"" and requires some values from ""Positive Review"".

2. **Camera Ready Paper**:
   - A ""Camera Ready Paper"" is a subclass of a restriction that involves the property ""updatedVersionOf"" and requires some values from ""Accepted Paper"".

3. **Proceedings**:
   - ""Proceedings"" is a subclass of a restriction that involves the property ""volumeContainsPaper"" and requires all values from a union of ""Accepted Paper"" and ""Invited Talk Abstract"".

4. **Restrictions**:
   - There is a restriction on the property ""hasReview"" that requires some values from ""Positive Review"".
   - There is a restriction on the property ""updatedVersionOf"" that requires some values from ""Accepted Paper"".
   - There is a restriction on the property ""volumeContainsPaper"" that requires all values from a union of ""Accepted Paper"" and ""Invited Talk Abstract"".

5. **Union of Classes**:
   - The union of classes includes ""Accepted Paper"" and ""Invited Talk Abstract"".

In summary, the relationships and restrictions define how different types of papers (Accepted Paper, Camera Ready Paper) and proceedings are interconnected through properties like ""hasReview"", ""updatedVersionOf"", and ""volumeContainsPaper"", with specific requirements on the types of reviews and papers involved."
http://ekaw#Agency_Staff_Member,Source,Class,agency staff member,"In the context of a conference, an ""Agency_Staff_Member"" refers to an individual who is employed by a specific agency and is attending or participating in the conference in their professional capacity. This person may be involved in organizing, managing, or supporting the event, or they may be attending to represent their agency, gather information, network, or contribute to discussions and presentations.","The class ""Agency_Staff_Member"" is a subclass of the class ""Person""."
http://ekaw#Assigned_Paper,Source,Class,assigned paper,"In the context of a conference, ""Assigned_Paper"" refers to a research paper or presentation that has been allocated to a specific reviewer, session chair, or committee member for evaluation, discussion, or presentation. This assignment is part of the conference's organizational process to ensure that each submission is reviewed and managed appropriately.","Sure, here are the triples verbalised into phrases:

1. ""Evaluated_Paper"" is a subclass of ""Assigned_Paper"".
2. ""Assigned_Paper"" is a subclass of ""Submitted_Paper"".The class ""Assigned_Paper"" is a subclass of a restriction. This restriction specifies that there must be at least 3 instances of the property ""hasReviewer"" associated with it."
http://ekaw#Camera_Ready_Paper,Source,Class,camera ready paper,"In the context of a conference, a ""Camera-Ready Paper"" refers to the final version of a research paper that is ready for publication. This version has typically undergone peer review and any necessary revisions. It is formatted according to the conference's specific guidelines and is prepared to be included in the conference proceedings. The term ""camera-ready"" originates from the traditional printing process, where the final version of a document was ready to be photographed for printing.","Sure, here are the triples verbalised into phrases:

1. An ""Accepted_Paper"" is disjoint with a ""Camera_Ready_Paper"".
2. An ""Evaluated_Paper"" is disjoint with a ""Camera_Ready_Paper"".
3. A ""Submitted_Paper"" is disjoint with a ""Camera_Ready_Paper"".
4. A ""Camera_Ready_Paper"" is a subclass of ""Paper"".
5. A ""Camera_Ready_Paper"" is disjoint with an ""Accepted_Paper"".
6. A ""Camera_Ready_Paper"" is disjoint with an ""Evaluated_Paper"".
7. A ""Camera_Ready_Paper"" is disjoint with a ""Submitted_Paper"".The given subgraph can be described in natural language as follows:

A ""Camera Ready Paper"" is a subclass of a restriction that requires it to be written by a ""Conference Participant"". Additionally, a ""Camera Ready Paper"" is a subclass of another restriction that requires it to be an updated version of an ""Accepted Paper"".

A ""Contributed Talk"" is a subclass of a restriction that requires it to be a presentation of a ""Camera Ready Paper""."
http://ekaw#Conference,Source,Class,conference,"A conference, in the given context, refers to a formal meeting or gathering where individuals or groups come together to discuss specific topics, share information, and engage in collaborative activities. The term ""one edition of a conference"" implies a single instance or occurrence of such a meeting, typically part of a series that may happen annually, biannually, or at other regular intervals. Each edition of a conference usually focuses on a particular theme or set of issues relevant to the participants.","1. A ""Contributed Talk"" is disjoint with a ""Conference"".
2. An ""Invited Talk"" is disjoint with a ""Conference"".
3. A ""Session"" is disjoint with a ""Conference"".
4. A ""Social Event"" is disjoint with a ""Conference"".
5. A ""Track"" is disjoint with a ""Conference"".
6. A ""Tutorial"" is disjoint with a ""Conference"".
7. A ""Workshop"" is disjoint with a ""Conference"".
8. A ""Conference"" is a subclass of a ""Scientific Event"".
9. A ""Conference"" is disjoint with a ""Contributed Talk"".
10. A ""Conference"" is disjoint with an ""Invited Talk"".
11. A ""Conference"" is disjoint with a ""Session"".
12. A ""Conference"" is disjoint with a ""Social Event"".
13. A ""Conference"" is disjoint with a ""Track"".
14. A ""Conference"" is disjoint with a ""Tutorial"".
15. A ""Conference"" is disjoint with a ""Workshop"".The given subgraph describes a hierarchical structure of events and their relationships. Here is a natural language description of the subgraph:

1. **Conference Sessions and Events:**
   - A ""Conference_Session"" is a subclass of a certain restriction, which specifies that it is part of a ""Conference"".
   - This restriction is defined on the property ""partOfEvent"".

2. **Sessions:**
   - A ""Session"" is a subclass of two different restrictions:
     - The first restriction specifies that a ""Session"" is part of an event that belongs to a union of ""Conference"" and another class.
     - The second restriction specifies that a ""Session"" is part of an event that belongs to a union of ""Conference"" and ""Workshop"".

3. **Union of Events:**
   - The union of events includes ""Conference"" and ""Workshop"".
   - This union is represented in a list structure where:
     - The first element is ""Conference"".
     - The rest of the list includes ""Workshop"" and ""Track"".

4. **Track and Workshop:**
   - ""Track"" and ""Workshop"" are elements in the list of events.
   - ""Track"" is followed by ""Workshop"" in the list.

5. **Classes and Restrictions:**
   - The class ""_:N09ad0ce3c30a4ea88a8bc3c77b30a628"" is defined as a union of ""Conference"" and ""Workshop"".
   - The class ""_:N19cabfb5d0374762a73d45356ccce965"" is defined as a union of ""Conference"" and another class.

In summary, the subgraph describes a structure where ""Conference_Session"" and ""Session"" are subclasses of certain restrictions related to being part of events like ""Conference"" and ""Workshop"". The events are organized in a union, and the list includes ""Conference"", ""Workshop"", and ""Track""."
http://ekaw#Conference_Banquet,Source,Class,conference banquet,"In the context of a conference, a ""Conference Banquet"" refers to a formal meal or dinner event organized as part of the conference activities. It typically takes place in the evening and serves as an opportunity for attendees to network, socialize, and enjoy a meal together. The banquet may include speeches, presentations, entertainment, and awards, providing a more relaxed and social setting compared to the formal sessions and presentations of the conference.","The class ""Conference Banquet"" is a subclass of the class ""Social Event""."
http://ekaw#Conference_Paper,Source,Class,conference paper,"In the context of a conference, a ""Conference Paper"" refers to a scholarly paper that is presented by an author or authors at a professional conference. These papers are typically subject to a peer-review process before being accepted for presentation. The content of a conference paper usually includes original research, findings, or developments in a specific field of study. After presentation, the paper may be published in the conference proceedings, which is a collection of all the papers presented at the conference.","Sure, here are the triples verbalized into phrases:

1. ""Conference_Paper"" is a subclass of ""Paper"".
2. ""Conference_Paper"" is disjoint with ""Workshop_Paper"".
3. ""Workshop_Paper"" is disjoint with ""Conference_Paper"".The given subgraph can be described in natural language as follows:

There is a class that is defined as a union of two types: ""Conference_Paper"" and ""Invited_Talk_Abstract"". This class is involved in a restriction related to the property ""volumeContainsPaper"". Specifically, the restriction states that any instance of ""Conference_Proceedings"" must only contain papers that are instances of this union class."
http://ekaw#Conference_Participant,Source,Class,conference participant,"In the context of a conference, a ""Conference_Participant"" refers to an individual who attends and takes part in the conference. This can include a variety of roles such as speakers, presenters, panelists, attendees, and organizers. Participants engage in various activities such as listening to presentations, participating in discussions, networking with other attendees, and contributing to the overall objectives of the conference.","Sure, here are the triples verbalised into phrases:

1. A ""Demo Chair"" is a type of ""Conference Participant"".
2. An ""Early-Registered Participant"" is a type of ""Conference Participant"".
3. A ""Late-Registered Participant"" is a type of ""Conference Participant"".
4. An ""OC Member"" is a type of ""Conference Participant"".
5. A ""PC Chair"" is a type of ""Conference Participant"".
6. A ""Presenter"" is a type of ""Conference Participant"".
7. A ""Session Chair"" is a type of ""Conference Participant"".
8. A ""Tutorial Chair"" is a type of ""Conference Participant"".
9. A ""Workshop Chair"" is a type of ""Conference Participant"".
10. A ""Conference Participant"" is a type of ""Person"".The class ""Camera_Ready_Paper"" is a subclass of a restriction. This restriction specifies that the property ""writtenBy"" must have some values from the class ""Conference_Participant""."
