entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://conference#Abstract,Source,Class,abstract,"In the context of a conference, an ""abstract"" is a brief summary of a research paper, presentation, or study that is submitted for consideration. It typically includes the main objectives, methods, results, and conclusions of the work. The abstract allows conference organizers and attendees to quickly understand the essence of the research and decide its relevance and interest to them.","Sure, here are the triples verbalised into phrases:

1. The property ""has_an_abstract"" has a range of ""Abstract"".
2. The property ""is_the_1th_part_of"" has a domain of ""Abstract"".
3. The class ""Abstract"" is a subclass of ""Extended_abstract""."
http://conference#Accepted_contribution,Source,Class,accepted contribution,"In the context of a conference, ""Accepted_contribution"" refers to a research paper, presentation, poster, or any other form of scholarly work that has been submitted by an author or group of authors and has successfully passed the review process. This means that the contribution has been evaluated by the conference's review committee or panel of experts and has been deemed of sufficient quality and relevance to be included in the conference program. An accepted contribution is typically scheduled for presentation during the conference and may also be published in the conference proceedings.","Sure, here are the triples verbalised into phrases:

1. ""Camera_ready_contribution"" is a subclass of ""Accepted_contribution"".
2. ""Rejected_contribution"" is disjoint with ""Accepted_contribution"".
3. ""Accepted_contribution"" is a subclass of ""Reviewed_contribution"".
4. ""Accepted_contribution"" is disjoint with ""Rejected_contribution"".The class ""Reviewed_contribution"" is equivalent to a class that is the union of ""Accepted_contribution"" and ""Rejected_contribution""."
http://conference#Active_conference_participant,Source,Class,active conference participant,"In the context of a conference, an ""Active_conference_participant"" refers to an individual who is actively engaged in the conference activities. This can include attending sessions, participating in discussions, asking questions, contributing to workshops, and networking with other attendees. Active participants are typically more involved and contribute to the overall dynamic and success of the conference by sharing their insights, experiences, and feedback.","Sure, here are the triples verbalised into phrases:

1. The property ""gives_presentations"" has a domain of ""Active_conference_participant"".
2. The property ""is_given_by"" has a range of ""Active_conference_participant"".
3. ""Passive_conference_participant"" is disjoint with ""Active_conference_participant"".
4. ""Active_conference_participant"" is a subclass of both ""Conference_contributor"" and ""Conference_participant"".
5. ""Active_conference_participant"" is disjoint with ""Passive_conference_participant"".The subgraph describes a class hierarchy and relationships among different types of conference participants. Here's a natural language description:

1. There is a class referred to as `_:N0259903857f54baaa3d81b5248edcac6`, which is a union of several other classes.
2. The class `Conference_participant` is equivalent to another class identified as `_:N4906c95bc17e4b268f21fc7e21add4b7`.
3. The class `_:N4906c95bc17e4b268f21fc7e21add4b7` is a union of the class `_:Naf46e10cb0cc434aae3233ce0f49376d`.
4. The class `_:Naf46e10cb0cc434aae3233ce0f49376d` includes `Active_conference_participant` as its first element and has a rest element `_:N052a30f0f4134616b495e26dcb99a5e1`.
5. The class `_:N052a30f0f4134616b495e26dcb99a5e1` includes `Passive_conference_participant` as its first element and has no further elements (rest is `nil`).
6. The class `_:N0259903857f54baaa3d81b5248edcac6` is also a union of another class identified as `_:N82abcaab06a24abea360ad6785b581bf`.
7. The class `_:N82abcaab06a24abea360ad6785b581bf` includes `Invited_speaker` as its first element and has a rest element `_:N1da0cfa6205447c1a36c74e72c5fd310`.
8. The class `_:N1da0cfa6205447c1a36c74e72c5fd310` includes `Regular_author` as its first element and has no further elements (rest is `nil`).
9. The class `Active_conference_participant` is a subclass of `_:N0259903857f54baaa3d81b5248edcac6`.

In summary, the class `Conference_participant` is equivalent to a union of `Active_conference_participant`, `Passive_conference_participant`, `Invited_speaker`, and `Regular_author`. Additionally, `Active_conference_participant` is a subclass of another union class."
http://conference#Call_for_paper,Source,Class,call for paper,"In the context of a conference, a ""Call for Papers"" (CFP) is an invitation issued by the conference organizers for researchers, scholars, and professionals to submit their research papers, abstracts, or proposals for presentation at the conference. The CFP typically includes details about the conference themes, submission guidelines, important dates, and the review process. It serves as a formal request for contributions that align with the conference's topics and objectives.","The class ""Call for paper"" is a subclass of the class ""Conference document""."
http://conference#Call_for_participation,Source,Class,call for participation,"In the context of a conference, a ""Call for Participation"" (CFP) is an announcement or invitation issued by the conference organizers to solicit contributions from potential participants. This can include calls for papers, presentations, workshops, posters, panels, or other forms of participation. The CFP typically outlines the themes or topics of interest, submission guidelines, important dates, and any other relevant information that potential contributors need to know in order to submit their work for consideration. The goal is to encourage a wide range of submissions to ensure a diverse and comprehensive program for the conference.","The class ""Call for participation"" is a subclass of ""Conference document""."
http://conference#Camera_ready_contribution,Source,Class,camera ready contribution,"In the context of a conference, a ""camera-ready contribution"" refers to the final version of a paper or presentation that is ready to be published in the conference proceedings. This version has typically undergone peer review and any necessary revisions. It must adhere to the formatting and submission guidelines specified by the conference organizers, ensuring it is in a polished and professional state suitable for distribution to attendees and inclusion in official records.","The class ""Camera_ready_contribution"" is a subclass of the class ""Accepted_contribution""."
http://conference#Chair,Source,Class,chair,"In the context of a conference, the term ""Chair"" refers to the person who presides over the conference or a specific session within the conference. This individual is responsible for guiding the discussions, ensuring the agenda is followed, managing time, and facilitating interactions among participants. The Chair plays a crucial role in maintaining order and ensuring that the conference runs smoothly and efficiently.","Sure, here are the triples verbalised into phrases:

1. The property ""has_a_committee_chair"" has a range of ""Chair"".
2. The property ""was_a_committee_chair_of"" has a domain of ""Chair"".
3. The class ""Chair"" is a subclass of ""Committee_member"".The class ""Chair"" is defined as being equivalent to a restriction. This restriction specifies that the property ""was a committee chair of"" must have some values from the class ""Committee""."
http://conference#Co-chair,Source,Class,co chair,"In the context of a conference, a ""Co-chair"" refers to an individual who shares the responsibilities of leading and organizing the event with one or more other individuals. Co-chairs work collaboratively to oversee various aspects of the conference, such as planning the agenda, coordinating speakers, managing logistics, and ensuring the event runs smoothly. Their joint efforts help distribute the workload and bring diverse perspectives to the conference's management.","Sure, here are the triples verbalized into phrases:

1. The property ""has_a_committee_co-chair"" has a range of ""Co-chair"".
2. The property ""was_a_committee_co-chair_of"" has a domain of ""Co-chair"".
3. The class ""Co-chair"" is a subclass of ""Committee_member"".The class ""Co-chair"" is defined as a restriction where the property ""was a committee co-chair of"" must have some values from the class ""Committee""."
http://conference#Committee,Source,Class,committee,"In the context of a conference, a ""committee"" refers to a group of individuals who are appointed or elected to perform specific tasks related to the planning, organization, and execution of the conference. This can include responsibilities such as selecting speakers, organizing sessions, managing logistics, handling registrations, and ensuring the overall smooth operation of the event. The committee works collaboratively to ensure that the conference meets its objectives and provides value to its attendees.","1. An Organizing Committee is a subclass of a Committee.
2. A Program Committee is a subclass of a Committee.
3. A Steering Committee is a subclass of a Committee.
4. A Committee has a committee chair.
5. A Committee has a committee co-chair.
6. Something has a committee that is a Committee.
7. A Committee has members.
8. Something was a committee co-chair of a Committee.
9. Something was a committee chair of a Committee.
10. A Committee was a committee of something.
11. Something was a member of a Committee.The provided subgraph can be described in natural language as follows:

1. The class ""Chair"" is equivalent to a restriction where the property ""was_a_committee_chair_of"" has some values from the class ""Committee"".
2. The class ""Co-chair"" is equivalent to a restriction where the property ""was_a_committe_co-chair_of"" has some values from the class ""Committee"".
3. The class ""Committee_member"" is equivalent to a restriction where the property ""was_a_member_of"" has some values from the class ""Committee"".
4. The class ""Committee"" is equivalent to a union of the classes ""Organizing_committee"", ""Program_committee"", and ""Steering_committee"".

In summary, the subgraph defines the relationships and equivalences between different roles (Chair, Co-chair, Committee_member) and their association with the class ""Committee"", which itself is a union of specific types of committees (Organizing, Program, and Steering committees)."
http://conference#Committee_member,Source,Class,committee member,"In the context of a conference, a ""committee member"" refers to an individual who is part of a group responsible for organizing, planning, and overseeing various aspects of the conference. This can include tasks such as selecting speakers, arranging the schedule, managing logistics, and ensuring the event runs smoothly. Committee members typically collaborate to make decisions and contribute their expertise to ensure the success of the conference.","Sure, here are the triples verbalised into phrases:

1. A ""Chair"" is a subclass of ""Committee member"".
2. A ""Co-chair"" is a subclass of ""Committee member"".
3. The property ""has members"" has a range of ""Committee member"".
4. The property ""was a member of"" has a domain of ""Committee member"".
5. A ""Committee member"" is a subclass of ""Person"".The given subgraph can be described in natural language as follows:

There is a class named ""Organizer"" which is a subclass of another class represented by a union. This union consists of two elements: ""Organization"" and ""Committee_member"". The ""Committee_member"" class is equivalent to a restriction that specifies that its members must have been a member of a ""Committee"". This restriction is defined on the property ""was_a_member_of"". The union class itself is identified as a ""Class""."
